Symbol,PN,Type,Date,Volatility
AAPL,14593,QMLE-Trade,1996-1-2,0.170735
AAPL,14593,QMLE-Trade,1996-1-3,0.417636
AAPL,14593,QMLE-Trade,1996-1-4,0.282939
AAPL,14593,QMLE-Trade,1996-1-5,0.514619
AAPL,14593,QMLE-Trade,1996-1-8,0.303104
AAPL,14593,QMLE-Trade,1996-1-9,0.396681
AAPL,14593,QMLE-Trade,1996-1-10,0.6889
AAPL,14593,QMLE-Trade,1996-1-11,0.487402
AAPL,14593,QMLE-Trade,1996-1-12,0.479602
AAPL,14593,QMLE-Trade,1996-1-15,0.31941
AAPL,14593,QMLE-Trade,1996-1-16,0.227819
AAPL,14593,QMLE-Trade,1996-1-17,0.287041
AAPL,14593,QMLE-Trade,1996-1-18,0.661692
AAPL,14593,QMLE-Trade,1996-1-19,0.338709
AAPL,14593,QMLE-Trade,1996-1-22,0.424841
AAPL,14593,QMLE-Trade,1996-1-23,0.68555
AAPL,14593,QMLE-Trade,1996-1-24,0.206386
AAPL,14593,QMLE-Trade,1996-1-25,0.514922
AAPL,14593,QMLE-Trade,1996-1-26,0.857171
AAPL,14593,QMLE-Trade,1996-1-29,0.460257
AAPL,14593,QMLE-Trade,1996-1-30,0.685724
AAPL,14593,QMLE-Trade,1996-1-31,0.336212
AAPL,14593,QMLE-Trade,1996-2-1,0.258663
AAPL,14593,QMLE-Trade,1996-2-2,0.344989
AAPL,14593,QMLE-Trade,1996-2-5,0.186572
AAPL,14593,QMLE-Trade,1996-2-6,0.242538
AAPL,14593,QMLE-Trade,1996-2-7,0.770292
AAPL,14593,QMLE-Trade,1996-2-8,0.237634
AAPL,14593,QMLE-Trade,1996-2-9,0.292234
AAPL,14593,QMLE-Trade,1996-2-12,0.167127
AAPL,14593,QMLE-Trade,1996-2-13,0.482045
AAPL,14593,QMLE-Trade,1996-2-14,0.235115
AAPL,14593,QMLE-Trade,1996-2-15,0.261643
AAPL,14593,QMLE-Trade,1996-2-16,0.235697
AAPL,14593,QMLE-Trade,1996-2-20,0.00507046
AAPL,14593,QMLE-Trade,1996-2-21,0.215581
AAPL,14593,QMLE-Trade,1996-2-22,0.164821
AAPL,14593,QMLE-Trade,1996-2-23,0.116842
AAPL,14593,QMLE-Trade,1996-2-26,0.178832
AAPL,14593,QMLE-Trade,1996-2-27,0.247372
AAPL,14593,QMLE-Trade,1996-2-28,0.281555
AAPL,14593,QMLE-Trade,1996-2-29,0.157305
AAPL,14593,QMLE-Trade,1996-3-1,0.254006
AAPL,14593,QMLE-Trade,1996-3-4,0.273711
AAPL,14593,QMLE-Trade,1996-3-5,0.167945
AAPL,14593,QMLE-Trade,1996-3-6,0.24925
AAPL,14593,QMLE-Trade,1996-3-7,0.374309
AAPL,14593,QMLE-Trade,1996-3-8,0.307247
AAPL,14593,QMLE-Trade,1996-3-11,0.244324
AAPL,14593,QMLE-Trade,1996-3-12,0.324722
AAPL,14593,QMLE-Trade,1996-3-13,0.156871
AAPL,14593,QMLE-Trade,1996-3-14,0.139776
AAPL,14593,QMLE-Trade,1996-3-15,0.244686
AAPL,14593,QMLE-Trade,1996-3-18,0.130482
AAPL,14593,QMLE-Trade,1996-3-19,0.196074
AAPL,14593,QMLE-Trade,1996-3-20,0.224594
AAPL,14593,QMLE-Trade,1996-3-21,0.20732
AAPL,14593,QMLE-Trade,1996-3-22,0.165018
AAPL,14593,QMLE-Trade,1996-3-25,0.393844
AAPL,14593,QMLE-Trade,1996-3-26,0.427687
AAPL,14593,QMLE-Trade,1996-3-27,0.613172
AAPL,14593,QMLE-Trade,1996-3-28,0.47179
AAPL,14593,QMLE-Trade,1996-3-29,0.344861
AAPL,14593,QMLE-Trade,1996-4-1,0.384933
AAPL,14593,QMLE-Trade,1996-4-2,0.288298
AAPL,14593,QMLE-Trade,1996-4-3,0.205695
AAPL,14593,QMLE-Trade,1996-4-4,0.199299
AAPL,14593,QMLE-Trade,1996-4-8,0.262151
AAPL,14593,QMLE-Trade,1996-4-9,0.409169
AAPL,14593,QMLE-Trade,1996-4-10,0.298232
AAPL,14593,QMLE-Trade,1996-4-11,0.292543
AAPL,14593,QMLE-Trade,1996-4-12,0.252499
AAPL,14593,QMLE-Trade,1996-4-15,0.247532
AAPL,14593,QMLE-Trade,1996-4-16,0.121482
AAPL,14593,QMLE-Trade,1996-4-17,0.236627
AAPL,14593,QMLE-Trade,1996-4-18,0.381046
AAPL,14593,QMLE-Trade,1996-4-19,0.274149
AAPL,14593,QMLE-Trade,1996-4-22,0.25266
AAPL,14593,QMLE-Trade,1996-4-23,0.172499
AAPL,14593,QMLE-Trade,1996-4-24,0.19121
AAPL,14593,QMLE-Trade,1996-4-25,0.244227
AAPL,14593,QMLE-Trade,1996-4-26,0.18249
AAPL,14593,QMLE-Trade,1996-4-29,0.173865
AAPL,14593,QMLE-Trade,1996-4-30,0.234277
AAPL,14593,QMLE-Trade,1996-5-1,0.256334
AAPL,14593,QMLE-Trade,1996-5-2,0.330341
AAPL,14593,QMLE-Trade,1996-5-3,0.306589
AAPL,14593,QMLE-Trade,1996-5-6,0.417466
AAPL,14593,QMLE-Trade,1996-5-7,0.334623
AAPL,14593,QMLE-Trade,1996-5-8,0.460659
AAPL,14593,QMLE-Trade,1996-5-9,0.265506
AAPL,14593,QMLE-Trade,1996-5-10,0.373324
AAPL,14593,QMLE-Trade,1996-5-13,0.441758
AAPL,14593,QMLE-Trade,1996-5-14,0.189854
AAPL,14593,QMLE-Trade,1996-5-15,0.326141
AAPL,14593,QMLE-Trade,1996-5-16,0.235756
AAPL,14593,QMLE-Trade,1996-5-17,0.205993
AAPL,14593,QMLE-Trade,1996-5-20,0.182112
AAPL,14593,QMLE-Trade,1996-5-21,0.211505
AAPL,14593,QMLE-Trade,1996-5-22,0.345032
AAPL,14593,QMLE-Trade,1996-5-23,0.312683
AAPL,14593,QMLE-Trade,1996-5-24,0.305448
AAPL,14593,QMLE-Trade,1996-5-28,0.333078
AAPL,14593,QMLE-Trade,1996-5-29,0.328122
AAPL,14593,QMLE-Trade,1996-5-30,0.313215
AAPL,14593,QMLE-Trade,1996-5-31,0.390131
AAPL,14593,QMLE-Trade,1996-6-3,0.379491
AAPL,14593,QMLE-Trade,1996-6-4,0.195802
AAPL,14593,QMLE-Trade,1996-6-5,0.325867
AAPL,14593,QMLE-Trade,1996-6-6,0.360364
AAPL,14593,QMLE-Trade,1996-6-7,0.323215
AAPL,14593,QMLE-Trade,1996-6-10,0.17978
AAPL,14593,QMLE-Trade,1996-6-11,0.0876358
AAPL,14593,QMLE-Trade,1996-6-12,0.197472
AAPL,14593,QMLE-Trade,1996-6-13,0.250943
AAPL,14593,QMLE-Trade,1996-6-14,0.218301
AAPL,14593,QMLE-Trade,1996-6-17,0.215196
AAPL,14593,QMLE-Trade,1996-6-18,0.325638
AAPL,14593,QMLE-Trade,1996-6-19,0.343242
AAPL,14593,QMLE-Trade,1996-6-20,0.249895
AAPL,14593,QMLE-Trade,1996-6-21,0.130624
AAPL,14593,QMLE-Trade,1996-6-24,0.180465
AAPL,14593,QMLE-Trade,1996-6-25,0.40934
AAPL,14593,QMLE-Trade,1996-6-26,0.389879
AAPL,14593,QMLE-Trade,1996-6-27,0.481744
AAPL,14593,QMLE-Trade,1996-6-28,0.11797
AAPL,14593,QMLE-Trade,1996-7-1,0.153687
AAPL,14593,QMLE-Trade,1996-7-2,0.303641
AAPL,14593,QMLE-Trade,1996-7-3,0.319288
AAPL,14593,QMLE-Trade,1996-7-5,0.201081
AAPL,14593,QMLE-Trade,1996-7-8,0.239941
AAPL,14593,QMLE-Trade,1996-7-9,0.323169
AAPL,14593,QMLE-Trade,1996-7-10,0.261593
AAPL,14593,QMLE-Trade,1996-7-11,0.496075
AAPL,14593,QMLE-Trade,1996-7-12,0.523079
AAPL,14593,QMLE-Trade,1996-7-15,0.333873
AAPL,14593,QMLE-Trade,1996-7-16,0.570914
AAPL,14593,QMLE-Trade,1996-7-17,0.310766
AAPL,14593,QMLE-Trade,1996-7-18,0.510133
AAPL,14593,QMLE-Trade,1996-7-19,0.237975
AAPL,14593,QMLE-Trade,1996-7-22,0.372897
AAPL,14593,QMLE-Trade,1996-7-23,0.200041
AAPL,14593,QMLE-Trade,1996-7-24,0.32717
AAPL,14593,QMLE-Trade,1996-7-25,0.302271
AAPL,14593,QMLE-Trade,1996-7-26,0.288027
AAPL,14593,QMLE-Trade,1996-7-29,0.251027
AAPL,14593,QMLE-Trade,1996-7-30,0.396405
AAPL,14593,QMLE-Trade,1996-7-31,0.322147
AAPL,14593,QMLE-Trade,1996-8-1,0.258606
AAPL,14593,QMLE-Trade,1996-8-2,0.305728
AAPL,14593,QMLE-Trade,1996-8-5,0.334209
AAPL,14593,QMLE-Trade,1996-8-6,0.218124
AAPL,14593,QMLE-Trade,1996-8-7,0.357204
AAPL,14593,QMLE-Trade,1996-8-8,0.296355
AAPL,14593,QMLE-Trade,1996-8-9,0.410289
AAPL,14593,QMLE-Trade,1996-8-12,0.381093
AAPL,14593,QMLE-Trade,1996-8-13,0.257655
AAPL,14593,QMLE-Trade,1996-8-14,0.211656
AAPL,14593,QMLE-Trade,1996-8-15,0.176852
AAPL,14593,QMLE-Trade,1996-8-16,0.171131
AAPL,14593,QMLE-Trade,1996-8-19,0.323605
AAPL,14593,QMLE-Trade,1996-8-20,0.190427
AAPL,14593,QMLE-Trade,1996-8-21,0.237321
AAPL,14593,QMLE-Trade,1996-8-22,0.153346
AAPL,14593,QMLE-Trade,1996-8-23,0.396527
AAPL,14593,QMLE-Trade,1996-8-26,0.20813
AAPL,14593,QMLE-Trade,1996-8-27,0.361342
AAPL,14593,QMLE-Trade,1996-8-28,0.334724
AAPL,14593,QMLE-Trade,1996-8-29,0.169487
AAPL,14593,QMLE-Trade,1996-8-30,0.182228
AAPL,14593,QMLE-Trade,1996-9-3,0.268605
AAPL,14593,QMLE-Trade,1996-9-4,0.324388
AAPL,14593,QMLE-Trade,1996-9-5,0.231752
