Symbol,PN,Type,Date,Volatility
AMGN,14008,QMLE-Trade,1996-1-2,0.294492
AMGN,14008,QMLE-Trade,1996-1-3,0.264981
AMGN,14008,QMLE-Trade,1996-1-4,0.333149
AMGN,14008,QMLE-Trade,1996-1-5,0.298109
AMGN,14008,QMLE-Trade,1996-1-8,0.278801
AMGN,14008,QMLE-Trade,1996-1-9,0.32514
AMGN,14008,QMLE-Trade,1996-1-10,0.380958
AMGN,14008,QMLE-Trade,1996-1-11,0.289283
AMGN,14008,QMLE-Trade,1996-1-12,0.362955
AMGN,14008,QMLE-Trade,1996-1-15,0.25647
AMGN,14008,QMLE-Trade,1996-1-16,0.237704
AMGN,14008,QMLE-Trade,1996-1-17,0.317381
AMGN,14008,QMLE-Trade,1996-1-18,0.207872
AMGN,14008,QMLE-Trade,1996-1-19,0.237585
AMGN,14008,QMLE-Trade,1996-1-22,0.242594
AMGN,14008,QMLE-Trade,1996-1-23,0.258647
AMGN,14008,QMLE-Trade,1996-1-24,0.141806
AMGN,14008,QMLE-Trade,1996-1-25,0.209525
AMGN,14008,QMLE-Trade,1996-1-26,0.276044
AMGN,14008,QMLE-Trade,1996-1-29,0.181441
AMGN,14008,QMLE-Trade,1996-1-30,0.287179
AMGN,14008,QMLE-Trade,1996-1-31,0.32449
AMGN,14008,QMLE-Trade,1996-2-1,0.361304
AMGN,14008,QMLE-Trade,1996-2-2,0.267807
AMGN,14008,QMLE-Trade,1996-2-5,0.210636
AMGN,14008,QMLE-Trade,1996-2-6,0.282361
AMGN,14008,QMLE-Trade,1996-2-7,0.251704
AMGN,14008,QMLE-Trade,1996-2-8,0.215166
AMGN,14008,QMLE-Trade,1996-2-9,0.223924
AMGN,14008,QMLE-Trade,1996-2-12,0.181657
AMGN,14008,QMLE-Trade,1996-2-13,0.270967
AMGN,14008,QMLE-Trade,1996-2-14,0.223972
AMGN,14008,QMLE-Trade,1996-2-15,0.21996
AMGN,14008,QMLE-Trade,1996-2-16,0.217992
AMGN,14008,QMLE-Trade,1996-2-20,0.178089
AMGN,14008,QMLE-Trade,1996-2-21,0.201516
AMGN,14008,QMLE-Trade,1996-2-22,0.237309
AMGN,14008,QMLE-Trade,1996-2-23,0.286164
AMGN,14008,QMLE-Trade,1996-2-26,0.267341
AMGN,14008,QMLE-Trade,1996-2-27,0.188475
AMGN,14008,QMLE-Trade,1996-2-28,0.214596
AMGN,14008,QMLE-Trade,1996-2-29,0.176686
AMGN,14008,QMLE-Trade,1996-3-1,0.236811
AMGN,14008,QMLE-Trade,1996-3-4,0.263409
AMGN,14008,QMLE-Trade,1996-3-5,0.320231
AMGN,14008,QMLE-Trade,1996-3-6,0.262997
AMGN,14008,QMLE-Trade,1996-3-7,0.275636
AMGN,14008,QMLE-Trade,1996-3-8,0.381568
AMGN,14008,QMLE-Trade,1996-3-11,0.329939
AMGN,14008,QMLE-Trade,1996-3-12,0.324346
AMGN,14008,QMLE-Trade,1996-3-13,0.253495
AMGN,14008,QMLE-Trade,1996-3-14,0.299703
AMGN,14008,QMLE-Trade,1996-3-15,0.202185
AMGN,14008,QMLE-Trade,1996-3-18,0.205783
AMGN,14008,QMLE-Trade,1996-3-19,0.277356
AMGN,14008,QMLE-Trade,1996-3-20,0.223598
AMGN,14008,QMLE-Trade,1996-3-21,0.27957
AMGN,14008,QMLE-Trade,1996-3-22,0.00721175
AMGN,14008,QMLE-Trade,1996-3-25,0.375031
AMGN,14008,QMLE-Trade,1996-3-26,0.332167
AMGN,14008,QMLE-Trade,1996-3-27,0.233956
AMGN,14008,QMLE-Trade,1996-3-28,0.250986
AMGN,14008,QMLE-Trade,1996-3-29,0.471911
AMGN,14008,QMLE-Trade,1996-4-1,0.232124
AMGN,14008,QMLE-Trade,1996-4-2,0.243897
AMGN,14008,QMLE-Trade,1996-4-3,0.161172
AMGN,14008,QMLE-Trade,1996-4-4,0.147394
AMGN,14008,QMLE-Trade,1996-4-8,0.260559
AMGN,14008,QMLE-Trade,1996-4-9,0.263506
AMGN,14008,QMLE-Trade,1996-4-10,0.363753
AMGN,14008,QMLE-Trade,1996-4-11,0.356836
AMGN,14008,QMLE-Trade,1996-4-12,0.23283
AMGN,14008,QMLE-Trade,1996-4-15,0.380655
AMGN,14008,QMLE-Trade,1996-4-16,0.460682
AMGN,14008,QMLE-Trade,1996-4-17,0.349589
AMGN,14008,QMLE-Trade,1996-4-18,0.320913
AMGN,14008,QMLE-Trade,1996-4-19,0.287466
AMGN,14008,QMLE-Trade,1996-4-22,0.260456
AMGN,14008,QMLE-Trade,1996-4-23,0.204834
AMGN,14008,QMLE-Trade,1996-4-24,0.295726
AMGN,14008,QMLE-Trade,1996-4-25,0.292352
AMGN,14008,QMLE-Trade,1996-4-26,0.219136
AMGN,14008,QMLE-Trade,1996-4-29,0.26722
AMGN,14008,QMLE-Trade,1996-4-30,0.170053
AMGN,14008,QMLE-Trade,1996-5-1,0.156033
AMGN,14008,QMLE-Trade,1996-5-2,0.313598
AMGN,14008,QMLE-Trade,1996-5-3,0.303093
AMGN,14008,QMLE-Trade,1996-5-6,0.291923
AMGN,14008,QMLE-Trade,1996-5-7,0.217515
AMGN,14008,QMLE-Trade,1996-5-8,0.352333
AMGN,14008,QMLE-Trade,1996-5-9,0.233944
AMGN,14008,QMLE-Trade,1996-5-10,0.216859
AMGN,14008,QMLE-Trade,1996-5-13,0.228907
AMGN,14008,QMLE-Trade,1996-5-14,0.190931
AMGN,14008,QMLE-Trade,1996-5-15,0.166349
AMGN,14008,QMLE-Trade,1996-5-16,0.211771
AMGN,14008,QMLE-Trade,1996-5-17,0.284969
AMGN,14008,QMLE-Trade,1996-5-20,0.283854
AMGN,14008,QMLE-Trade,1996-5-21,0.193356
AMGN,14008,QMLE-Trade,1996-5-22,0.257269
AMGN,14008,QMLE-Trade,1996-5-23,0.239138
AMGN,14008,QMLE-Trade,1996-5-24,0.150398
AMGN,14008,QMLE-Trade,1996-5-28,0.261239
AMGN,14008,QMLE-Trade,1996-5-29,0.254772
AMGN,14008,QMLE-Trade,1996-5-30,0.201808
AMGN,14008,QMLE-Trade,1996-5-31,0.189372
AMGN,14008,QMLE-Trade,1996-6-3,0.188209
AMGN,14008,QMLE-Trade,1996-6-4,0.154005
AMGN,14008,QMLE-Trade,1996-6-5,0.128901
AMGN,14008,QMLE-Trade,1996-6-6,0.158567
AMGN,14008,QMLE-Trade,1996-6-7,0.224672
AMGN,14008,QMLE-Trade,1996-6-10,0.157634
AMGN,14008,QMLE-Trade,1996-6-11,0.128413
AMGN,14008,QMLE-Trade,1996-6-12,0.0828407
AMGN,14008,QMLE-Trade,1996-6-13,0.270732
AMGN,14008,QMLE-Trade,1996-6-14,0.176668
AMGN,14008,QMLE-Trade,1996-6-17,0.163217
AMGN,14008,QMLE-Trade,1996-6-18,0.130034
AMGN,14008,QMLE-Trade,1996-6-19,0.237713
AMGN,14008,QMLE-Trade,1996-6-20,0.400783
AMGN,14008,QMLE-Trade,1996-6-21,0.238551
AMGN,14008,QMLE-Trade,1996-6-24,0.391024
AMGN,14008,QMLE-Trade,1996-6-25,0.163523
AMGN,14008,QMLE-Trade,1996-6-26,0.100466
AMGN,14008,QMLE-Trade,1996-6-27,0.233633
AMGN,14008,QMLE-Trade,1996-6-28,0.226791
AMGN,14008,QMLE-Trade,1996-7-1,0.239822
AMGN,14008,QMLE-Trade,1996-7-2,0.277589
AMGN,14008,QMLE-Trade,1996-7-3,0.146496
AMGN,14008,QMLE-Trade,1996-7-5,0.240864
AMGN,14008,QMLE-Trade,1996-7-8,0.170038
AMGN,14008,QMLE-Trade,1996-7-9,0.219628
AMGN,14008,QMLE-Trade,1996-7-10,0.214187
AMGN,14008,QMLE-Trade,1996-7-11,0.314753
AMGN,14008,QMLE-Trade,1996-7-12,0.324374
AMGN,14008,QMLE-Trade,1996-7-15,0.385976
AMGN,14008,QMLE-Trade,1996-7-16,0.409898
AMGN,14008,QMLE-Trade,1996-7-17,0.337686
AMGN,14008,QMLE-Trade,1996-7-18,0.231778
AMGN,14008,QMLE-Trade,1996-7-19,0.358384
AMGN,14008,QMLE-Trade,1996-7-22,0.314414
AMGN,14008,QMLE-Trade,1996-7-23,0.324731
AMGN,14008,QMLE-Trade,1996-7-24,0.377921
AMGN,14008,QMLE-Trade,1996-7-25,0.272075
AMGN,14008,QMLE-Trade,1996-7-26,0.101313
AMGN,14008,QMLE-Trade,1996-7-29,0.276891
AMGN,14008,QMLE-Trade,1996-7-30,0.253333
AMGN,14008,QMLE-Trade,1996-7-31,0.211083
AMGN,14008,QMLE-Trade,1996-8-1,0.23825
AMGN,14008,QMLE-Trade,1996-8-2,0.133226
AMGN,14008,QMLE-Trade,1996-8-5,0.102478
AMGN,14008,QMLE-Trade,1996-8-6,0.209752
AMGN,14008,QMLE-Trade,1996-8-7,0.209172
AMGN,14008,QMLE-Trade,1996-8-8,0.0938876
AMGN,14008,QMLE-Trade,1996-8-9,0.0937393
AMGN,14008,QMLE-Trade,1996-8-12,0.25593
AMGN,14008,QMLE-Trade,1996-8-13,0.229416
AMGN,14008,QMLE-Trade,1996-8-14,0.248835
AMGN,14008,QMLE-Trade,1996-8-15,0.244769
AMGN,14008,QMLE-Trade,1996-8-16,0.180494
AMGN,14008,QMLE-Trade,1996-8-19,0.170828
AMGN,14008,QMLE-Trade,1996-8-20,0.202602
AMGN,14008,QMLE-Trade,1996-8-21,0.234468
AMGN,14008,QMLE-Trade,1996-8-22,0.219385
AMGN,14008,QMLE-Trade,1996-8-23,0.201895
AMGN,14008,QMLE-Trade,1996-8-26,0.176216
AMGN,14008,QMLE-Trade,1996-8-27,0.131584
AMGN,14008,QMLE-Trade,1996-8-28,0.231684
AMGN,14008,QMLE-Trade,1996-8-29,0.215881
AMGN,14008,QMLE-Trade,1996-8-30,0.211502
AMGN,14008,QMLE-Trade,1996-9-3,0.23568
AMGN,14008,QMLE-Trade,1996-9-4,0.201554
AMGN,14008,QMLE-Trade,1996-9-5,0.197275
AMGN,14008,QMLE-Trade,1996-9-6,0.206857
AMGN,14008,QMLE-Trade,1996-9-9,0.202982
AMGN,14008,QMLE-Trade,1996-9-10,0.179679
AMGN,14008,QMLE-Trade,1996-9-11,0.220821
AMGN,14008,QMLE-Trade,1996-9-12,0.279853
AMGN,14008,QMLE-Trade,1996-9-13,0.204802
AMGN,14008,QMLE-Trade,1996-9-16,0.162993
AMGN,14008,QMLE-Trade,1996-9-17,0.144288
