Symbol,PN,Type,Date,Volatility
AMZN,84788,QMLE-Trade,1997-5-15,1.90211
AMZN,84788,QMLE-Trade,1997-5-16,1.19235
AMZN,84788,QMLE-Trade,1997-5-19,0.87556
AMZN,84788,QMLE-Trade,1997-5-20,0.530198
AMZN,84788,QMLE-Trade,1997-5-21,1.26389
AMZN,84788,QMLE-Trade,1997-5-22,0.850123
AMZN,84788,QMLE-Trade,1997-5-23,0.866605
AMZN,84788,QMLE-Trade,1997-5-27,0.951539
AMZN,84788,QMLE-Trade,1997-5-28,0.510683
AMZN,84788,QMLE-Trade,1997-5-29,0.341411
AMZN,84788,QMLE-Trade,1997-5-30,0.19509
AMZN,84788,QMLE-Trade,1997-6-2,0.0934737
AMZN,84788,QMLE-Trade,1997-6-3,0.443081
AMZN,84788,QMLE-Trade,1997-6-4,0.572245
AMZN,84788,QMLE-Trade,1997-6-5,0.73485
AMZN,84788,QMLE-Trade,1997-6-6,0.737448
AMZN,84788,QMLE-Trade,1997-6-9,0.378003
AMZN,84788,QMLE-Trade,1997-6-10,1.0549
AMZN,84788,QMLE-Trade,1997-6-11,0.387383
AMZN,84788,QMLE-Trade,1997-6-12,0.782834
AMZN,84788,QMLE-Trade,1997-6-13,0.228766
AMZN,84788,QMLE-Trade,1997-6-16,0.176768
AMZN,84788,QMLE-Trade,1997-6-17,0.576587
AMZN,84788,QMLE-Trade,1997-6-18,0.289904
AMZN,84788,QMLE-Trade,1997-6-19,0.110206
AMZN,84788,QMLE-Trade,1997-6-20,0.266603
AMZN,84788,QMLE-Trade,1997-6-23,0.278147
AMZN,84788,QMLE-Trade,1997-6-24,0.255178
AMZN,84788,QMLE-Trade,1997-6-25,0.0736415
AMZN,84788,QMLE-Trade,1997-6-26,0.0278306
AMZN,84788,QMLE-Trade,1997-6-27,0.310959
AMZN,84788,QMLE-Trade,1997-6-30,0.759807
AMZN,84788,QMLE-Trade,1997-7-1,0.210799
AMZN,84788,QMLE-Trade,1997-7-2,0.46126
AMZN,84788,QMLE-Trade,1997-7-3,1.4801
AMZN,84788,QMLE-Trade,1997-7-7,0.781672
AMZN,84788,QMLE-Trade,1997-7-8,0.906317
AMZN,84788,QMLE-Trade,1997-7-9,0.591215
AMZN,84788,QMLE-Trade,1997-7-10,0.656887
AMZN,84788,QMLE-Trade,1997-7-11,1.13903
AMZN,84788,QMLE-Trade,1997-7-14,0.691892
AMZN,84788,QMLE-Trade,1997-7-15,0.814624
AMZN,84788,QMLE-Trade,1997-7-16,0.560873
