Symbol,PN,Type,Date,Volatility
AXP,59176,QMLE-Trade,1996-1-2,0.214692
AXP,59176,QMLE-Trade,1996-1-3,0.163509
AXP,59176,QMLE-Trade,1996-1-4,0.209796
AXP,59176,QMLE-Trade,1996-1-5,0.141783
AXP,59176,QMLE-Trade,1996-1-8,0.137254
AXP,59176,QMLE-Trade,1996-1-9,0.169754
AXP,59176,QMLE-Trade,1996-1-10,0.45028
AXP,59176,QMLE-Trade,1996-1-11,0.160954
AXP,59176,QMLE-Trade,1996-1-12,0.238379
AXP,59176,QMLE-Trade,1996-1-15,0.213128
AXP,59176,QMLE-Trade,1996-1-16,0.208589
AXP,59176,QMLE-Trade,1996-1-17,0.321698
AXP,59176,QMLE-Trade,1996-1-18,0.263472
AXP,59176,QMLE-Trade,1996-1-19,0.32646
AXP,59176,QMLE-Trade,1996-1-22,0.18696
AXP,59176,QMLE-Trade,1996-1-23,0.386921
AXP,59176,QMLE-Trade,1996-1-24,0.329318
AXP,59176,QMLE-Trade,1996-1-25,0.393602
AXP,59176,QMLE-Trade,1996-1-26,0.820065
AXP,59176,QMLE-Trade,1996-1-29,0.338865
AXP,59176,QMLE-Trade,1996-1-30,0.174473
AXP,59176,QMLE-Trade,1996-1-31,0.441719
AXP,59176,QMLE-Trade,1996-2-1,0.303183
AXP,59176,QMLE-Trade,1996-2-2,0.624968
AXP,59176,QMLE-Trade,1996-2-5,0.254486
AXP,59176,QMLE-Trade,1996-2-6,0.150912
AXP,59176,QMLE-Trade,1996-2-7,0.17211
AXP,59176,QMLE-Trade,1996-2-8,0.303931
AXP,59176,QMLE-Trade,1996-2-9,0.279864
AXP,59176,QMLE-Trade,1996-2-12,0.116656
AXP,59176,QMLE-Trade,1996-2-13,0.156242
AXP,59176,QMLE-Trade,1996-2-14,0.0000801801
AXP,59176,QMLE-Trade,1996-2-15,0.0979426
AXP,59176,QMLE-Trade,1996-2-16,0.128197
AXP,59176,QMLE-Trade,1996-2-20,0.22165
AXP,59176,QMLE-Trade,1996-2-21,0.223883
AXP,59176,QMLE-Trade,1996-2-22,0.0738817
AXP,59176,QMLE-Trade,1996-2-23,0.45747
AXP,59176,QMLE-Trade,1996-2-26,0.254517
AXP,59176,QMLE-Trade,1996-2-27,0.222156
AXP,59176,QMLE-Trade,1996-2-28,0.435844
AXP,59176,QMLE-Trade,1996-2-29,0.312662
AXP,59176,QMLE-Trade,1996-3-1,0.110753
AXP,59176,QMLE-Trade,1996-3-4,0.0936263
AXP,59176,QMLE-Trade,1996-3-5,0.205985
AXP,59176,QMLE-Trade,1996-3-6,0.180462
AXP,59176,QMLE-Trade,1996-3-7,0.0843559
AXP,59176,QMLE-Trade,1996-3-8,0.265328
AXP,59176,QMLE-Trade,1996-3-11,0.225997
AXP,59176,QMLE-Trade,1996-3-12,0.301413
AXP,59176,QMLE-Trade,1996-3-13,0.178847
