Symbol,PN,Type,Date,Volatility
BA,19561,QMLE-Trade,1996-1-2,0.326248
BA,19561,QMLE-Trade,1996-1-3,0.324634
BA,19561,QMLE-Trade,1996-1-4,0.367737
BA,19561,QMLE-Trade,1996-1-5,0.337995
BA,19561,QMLE-Trade,1996-1-8,0.172236
BA,19561,QMLE-Trade,1996-1-9,0.337956
BA,19561,QMLE-Trade,1996-1-10,0.363022
BA,19561,QMLE-Trade,1996-1-11,0.346472
BA,19561,QMLE-Trade,1996-1-12,0.257358
BA,19561,QMLE-Trade,1996-1-15,0.130957
BA,19561,QMLE-Trade,1996-1-16,0.241156
BA,19561,QMLE-Trade,1996-1-17,0.172786
BA,19561,QMLE-Trade,1996-1-18,0.249835
BA,19561,QMLE-Trade,1996-1-19,0.35044
BA,19561,QMLE-Trade,1996-1-22,0.370078
BA,19561,QMLE-Trade,1996-1-23,0.199603
BA,19561,QMLE-Trade,1996-1-24,0.223265
BA,19561,QMLE-Trade,1996-1-25,0.250353
BA,19561,QMLE-Trade,1996-1-26,0.217898
BA,19561,QMLE-Trade,1996-1-29,0.121317
BA,19561,QMLE-Trade,1996-1-30,0.147189
BA,19561,QMLE-Trade,1996-1-31,0.122455
BA,19561,QMLE-Trade,1996-2-1,0.150477
BA,19561,QMLE-Trade,1996-2-2,0.146984
BA,19561,QMLE-Trade,1996-2-5,0.144307
BA,19561,QMLE-Trade,1996-2-6,0.240706
BA,19561,QMLE-Trade,1996-2-7,0.169479
BA,19561,QMLE-Trade,1996-2-8,0.0780692
BA,19561,QMLE-Trade,1996-2-9,0.298692
BA,19561,QMLE-Trade,1996-2-12,0.238493
BA,19561,QMLE-Trade,1996-2-13,0.140475
BA,19561,QMLE-Trade,1996-2-14,0.195553
BA,19561,QMLE-Trade,1996-2-15,0.093188
BA,19561,QMLE-Trade,1996-2-16,0.160452
BA,19561,QMLE-Trade,1996-2-20,0.227652
BA,19561,QMLE-Trade,1996-2-21,0.289602
BA,19561,QMLE-Trade,1996-2-22,0.286064
BA,19561,QMLE-Trade,1996-2-23,0.117348
BA,19561,QMLE-Trade,1996-2-26,0.192659
BA,19561,QMLE-Trade,1996-2-27,0.320509
BA,19561,QMLE-Trade,1996-2-28,0.287392
BA,19561,QMLE-Trade,1996-2-29,0.3249
BA,19561,QMLE-Trade,1996-3-1,0.47814
BA,19561,QMLE-Trade,1996-3-4,0.257179
BA,19561,QMLE-Trade,1996-3-5,0.18502
BA,19561,QMLE-Trade,1996-3-6,0.274364
BA,19561,QMLE-Trade,1996-3-7,0.141086
BA,19561,QMLE-Trade,1996-3-8,0.477774
BA,19561,QMLE-Trade,1996-3-11,0.404341
BA,19561,QMLE-Trade,1996-3-12,0.236626
BA,19561,QMLE-Trade,1996-3-13,0.143426
BA,19561,QMLE-Trade,1996-3-14,0.175772
BA,19561,QMLE-Trade,1996-3-15,0.25678
BA,19561,QMLE-Trade,1996-3-18,0.351198
BA,19561,QMLE-Trade,1996-3-19,0.324943
BA,19561,QMLE-Trade,1996-3-20,0.106995
BA,19561,QMLE-Trade,1996-3-21,0.178238
BA,19561,QMLE-Trade,1996-3-22,0.212302
BA,19561,QMLE-Trade,1996-3-25,0.31054
BA,19561,QMLE-Trade,1996-3-26,0.240106
BA,19561,QMLE-Trade,1996-3-27,0.172868
BA,19561,QMLE-Trade,1996-3-28,0.18675
BA,19561,QMLE-Trade,1996-3-29,0.224868
BA,19561,QMLE-Trade,1996-4-1,0.350471
BA,19561,QMLE-Trade,1996-4-2,0.178775
BA,19561,QMLE-Trade,1996-4-3,0.229899
BA,19561,QMLE-Trade,1996-4-4,0.252818
BA,19561,QMLE-Trade,1996-4-8,0.269322
BA,19561,QMLE-Trade,1996-4-9,0.268921
BA,19561,QMLE-Trade,1996-4-10,0.342253
BA,19561,QMLE-Trade,1996-4-11,0.467705
BA,19561,QMLE-Trade,1996-4-12,0.258304
BA,19561,QMLE-Trade,1996-4-15,0.056929
BA,19561,QMLE-Trade,1996-4-16,0.123872
BA,19561,QMLE-Trade,1996-4-17,0.166603
BA,19561,QMLE-Trade,1996-4-18,0.316061
BA,19561,QMLE-Trade,1996-4-19,0.177181
BA,19561,QMLE-Trade,1996-4-22,0.24368
BA,19561,QMLE-Trade,1996-4-23,0.151072
BA,19561,QMLE-Trade,1996-4-24,0.218422
BA,19561,QMLE-Trade,1996-4-25,0.217436
BA,19561,QMLE-Trade,1996-4-26,0.113805
BA,19561,QMLE-Trade,1996-4-29,0.348762
BA,19561,QMLE-Trade,1996-4-30,0.208326
BA,19561,QMLE-Trade,1996-5-1,0.177113
BA,19561,QMLE-Trade,1996-5-2,0.425547
BA,19561,QMLE-Trade,1996-5-3,0.255055
BA,19561,QMLE-Trade,1996-5-6,0.281492
BA,19561,QMLE-Trade,1996-5-7,0.298888
BA,19561,QMLE-Trade,1996-5-8,0.40944
BA,19561,QMLE-Trade,1996-5-9,0.371134
BA,19561,QMLE-Trade,1996-5-10,0.159779
BA,19561,QMLE-Trade,1996-5-13,0.240193
BA,19561,QMLE-Trade,1996-5-14,0.184208
BA,19561,QMLE-Trade,1996-5-15,0.152155
BA,19561,QMLE-Trade,1996-5-16,0.254333
BA,19561,QMLE-Trade,1996-5-17,0.150134
BA,19561,QMLE-Trade,1996-5-20,0.166877
BA,19561,QMLE-Trade,1996-5-21,0.170808
BA,19561,QMLE-Trade,1996-5-22,0.301368
BA,19561,QMLE-Trade,1996-5-23,0.197626
BA,19561,QMLE-Trade,1996-5-24,0.300111
BA,19561,QMLE-Trade,1996-5-28,0.16843
BA,19561,QMLE-Trade,1996-5-29,0.229118
BA,19561,QMLE-Trade,1996-5-30,0.255038
BA,19561,QMLE-Trade,1996-5-31,0.142777
BA,19561,QMLE-Trade,1996-6-3,0.166496
BA,19561,QMLE-Trade,1996-6-4,0.151767
BA,19561,QMLE-Trade,1996-6-5,0.164337
BA,19561,QMLE-Trade,1996-6-6,0.0638035
BA,19561,QMLE-Trade,1996-6-7,0.267273
BA,19561,QMLE-Trade,1996-6-10,0.219157
BA,19561,QMLE-Trade,1996-6-11,0.182343
BA,19561,QMLE-Trade,1996-6-12,0.145648
BA,19561,QMLE-Trade,1996-6-13,0.214118
BA,19561,QMLE-Trade,1996-6-14,0.0220127
BA,19561,QMLE-Trade,1996-6-17,0.0606819
BA,19561,QMLE-Trade,1996-6-18,0.206733
BA,19561,QMLE-Trade,1996-6-19,0.287601
BA,19561,QMLE-Trade,1996-6-20,0.264039
BA,19561,QMLE-Trade,1996-6-21,0.272569
BA,19561,QMLE-Trade,1996-6-24,0.12734
BA,19561,QMLE-Trade,1996-6-25,0.246906
BA,19561,QMLE-Trade,1996-6-26,0.250539
BA,19561,QMLE-Trade,1996-6-27,0.138466
BA,19561,QMLE-Trade,1996-6-28,0.181741
BA,19561,QMLE-Trade,1996-7-1,0.245588
BA,19561,QMLE-Trade,1996-7-2,0.379221
BA,19561,QMLE-Trade,1996-7-3,0.208712
BA,19561,QMLE-Trade,1996-7-5,0.204662
BA,19561,QMLE-Trade,1996-7-8,0.189488
BA,19561,QMLE-Trade,1996-7-9,0.100104
BA,19561,QMLE-Trade,1996-7-10,0.307728
BA,19561,QMLE-Trade,1996-7-11,0.426269
BA,19561,QMLE-Trade,1996-7-12,0.419647
BA,19561,QMLE-Trade,1996-7-15,0.286794
BA,19561,QMLE-Trade,1996-7-16,0.935984
BA,19561,QMLE-Trade,1996-7-17,0.397943
BA,19561,QMLE-Trade,1996-7-18,0.324961
BA,19561,QMLE-Trade,1996-7-19,0.210458
