Symbol,PN,Type,Date,Volatility
CAT,18542,QMLE-Trade,1996-1-2,0.237751
CAT,18542,QMLE-Trade,1996-1-3,0.343952
CAT,18542,QMLE-Trade,1996-1-4,0.179384
CAT,18542,QMLE-Trade,1996-1-5,0.331932
CAT,18542,QMLE-Trade,1996-1-8,0.154398
CAT,18542,QMLE-Trade,1996-1-9,0.23851
CAT,18542,QMLE-Trade,1996-1-10,0.365699
CAT,18542,QMLE-Trade,1996-1-11,0.098904
CAT,18542,QMLE-Trade,1996-1-12,0.344649
CAT,18542,QMLE-Trade,1996-1-15,0.245605
CAT,18542,QMLE-Trade,1996-1-16,0.30494
CAT,18542,QMLE-Trade,1996-1-17,0.42575
CAT,18542,QMLE-Trade,1996-1-18,0.822184
CAT,18542,QMLE-Trade,1996-1-19,0.309123
CAT,18542,QMLE-Trade,1996-1-22,0.422754
CAT,18542,QMLE-Trade,1996-1-23,0.25979
CAT,18542,QMLE-Trade,1996-1-24,0.127884
CAT,18542,QMLE-Trade,1996-1-25,0.218734
CAT,18542,QMLE-Trade,1996-1-26,0.375995
CAT,18542,QMLE-Trade,1996-1-29,0.201307
CAT,18542,QMLE-Trade,1996-1-30,0.200352
CAT,18542,QMLE-Trade,1996-1-31,0.322369
CAT,18542,QMLE-Trade,1996-2-1,0.2308
CAT,18542,QMLE-Trade,1996-2-2,0.301337
CAT,18542,QMLE-Trade,1996-2-5,0.239952
CAT,18542,QMLE-Trade,1996-2-6,0.149824
CAT,18542,QMLE-Trade,1996-2-7,0.22912
CAT,18542,QMLE-Trade,1996-2-8,0.163147
CAT,18542,QMLE-Trade,1996-2-9,0.23005
CAT,18542,QMLE-Trade,1996-2-12,0.318409
CAT,18542,QMLE-Trade,1996-2-13,0.278899
CAT,18542,QMLE-Trade,1996-2-14,0.187355
CAT,18542,QMLE-Trade,1996-2-15,0.145722
CAT,18542,QMLE-Trade,1996-2-16,0.259832
CAT,18542,QMLE-Trade,1996-2-20,0.232994
CAT,18542,QMLE-Trade,1996-2-21,0.237123
CAT,18542,QMLE-Trade,1996-2-22,0.221702
CAT,18542,QMLE-Trade,1996-2-23,0.300742
CAT,18542,QMLE-Trade,1996-2-26,0.246949
CAT,18542,QMLE-Trade,1996-2-27,0.309119
CAT,18542,QMLE-Trade,1996-2-28,0.274026
CAT,18542,QMLE-Trade,1996-2-29,0.247225
CAT,18542,QMLE-Trade,1996-3-1,0.40856
CAT,18542,QMLE-Trade,1996-3-4,0.275466
CAT,18542,QMLE-Trade,1996-3-5,0.157649
CAT,18542,QMLE-Trade,1996-3-6,0.251886
CAT,18542,QMLE-Trade,1996-3-7,0.247964
CAT,18542,QMLE-Trade,1996-3-8,0.307608
CAT,18542,QMLE-Trade,1996-3-11,0.367184
CAT,18542,QMLE-Trade,1996-3-12,0.346526
CAT,18542,QMLE-Trade,1996-3-13,0.188373
CAT,18542,QMLE-Trade,1996-3-14,0.0971476
CAT,18542,QMLE-Trade,1996-3-15,0.210715
CAT,18542,QMLE-Trade,1996-3-18,0.220017
CAT,18542,QMLE-Trade,1996-3-19,0.330088
CAT,18542,QMLE-Trade,1996-3-20,0.294206
CAT,18542,QMLE-Trade,1996-3-21,0.112532
CAT,18542,QMLE-Trade,1996-3-22,0.141779
CAT,18542,QMLE-Trade,1996-3-25,0.299418
CAT,18542,QMLE-Trade,1996-3-26,0.185242
CAT,18542,QMLE-Trade,1996-3-27,0.167568
CAT,18542,QMLE-Trade,1996-3-28,0.214506
CAT,18542,QMLE-Trade,1996-3-29,0.177526
CAT,18542,QMLE-Trade,1996-4-1,0.195331
CAT,18542,QMLE-Trade,1996-4-2,0.275537
CAT,18542,QMLE-Trade,1996-4-3,0.25334
CAT,18542,QMLE-Trade,1996-4-4,0.200771
CAT,18542,QMLE-Trade,1996-4-8,0.240542
CAT,18542,QMLE-Trade,1996-4-9,0.16527
CAT,18542,QMLE-Trade,1996-4-10,0.219799
CAT,18542,QMLE-Trade,1996-4-11,0.353369
CAT,18542,QMLE-Trade,1996-4-12,0.289826
CAT,18542,QMLE-Trade,1996-4-15,0.210663
CAT,18542,QMLE-Trade,1996-4-16,0.376507
CAT,18542,QMLE-Trade,1996-4-17,0.226416
CAT,18542,QMLE-Trade,1996-4-18,0.328683
CAT,18542,QMLE-Trade,1996-4-19,0.10356
CAT,18542,QMLE-Trade,1996-4-22,0.069422
CAT,18542,QMLE-Trade,1996-4-23,0.21347
CAT,18542,QMLE-Trade,1996-4-24,0.152585
CAT,18542,QMLE-Trade,1996-4-25,0.297682
CAT,18542,QMLE-Trade,1996-4-26,0.173917
CAT,18542,QMLE-Trade,1996-4-29,0.165771
CAT,18542,QMLE-Trade,1996-4-30,0.119656
CAT,18542,QMLE-Trade,1996-5-1,0.255083
CAT,18542,QMLE-Trade,1996-5-2,0.35689
CAT,18542,QMLE-Trade,1996-5-3,0.212617
CAT,18542,QMLE-Trade,1996-5-6,0.126879
CAT,18542,QMLE-Trade,1996-5-7,0.0765793
CAT,18542,QMLE-Trade,1996-5-8,0.170219
CAT,18542,QMLE-Trade,1996-5-9,0.184114
CAT,18542,QMLE-Trade,1996-5-10,0.141698
CAT,18542,QMLE-Trade,1996-5-13,0.0958414
CAT,18542,QMLE-Trade,1996-5-14,0.251889
CAT,18542,QMLE-Trade,1996-5-15,0.246881
CAT,18542,QMLE-Trade,1996-5-16,0.24755
CAT,18542,QMLE-Trade,1996-5-17,0.146069
CAT,18542,QMLE-Trade,1996-5-20,0.130275
CAT,18542,QMLE-Trade,1996-5-21,0.0882669
CAT,18542,QMLE-Trade,1996-5-22,0.208626
CAT,18542,QMLE-Trade,1996-5-23,0.436939
CAT,18542,QMLE-Trade,1996-5-24,0.153687
CAT,18542,QMLE-Trade,1996-5-28,0.160246
CAT,18542,QMLE-Trade,1996-5-29,0.0937633
CAT,18542,QMLE-Trade,1996-5-30,0.15379
CAT,18542,QMLE-Trade,1996-5-31,0.00233958
CAT,18542,QMLE-Trade,1996-6-3,0.224111
CAT,18542,QMLE-Trade,1996-6-4,0.152489
CAT,18542,QMLE-Trade,1996-6-5,0.198244
CAT,18542,QMLE-Trade,1996-6-6,0.148908
CAT,18542,QMLE-Trade,1996-6-7,0.346918
CAT,18542,QMLE-Trade,1996-6-10,0.24861
CAT,18542,QMLE-Trade,1996-6-11,0.215681
CAT,18542,QMLE-Trade,1996-6-12,0.277289
CAT,18542,QMLE-Trade,1996-6-13,0.269483
CAT,18542,QMLE-Trade,1996-6-14,0.158054
CAT,18542,QMLE-Trade,1996-6-17,0.158105
CAT,18542,QMLE-Trade,1996-6-18,0.361054
CAT,18542,QMLE-Trade,1996-6-19,0.254316
CAT,18542,QMLE-Trade,1996-6-20,0.236674
CAT,18542,QMLE-Trade,1996-6-21,0.276968
CAT,18542,QMLE-Trade,1996-6-24,0.246396
CAT,18542,QMLE-Trade,1996-6-25,0.165274
CAT,18542,QMLE-Trade,1996-6-26,0.292425
CAT,18542,QMLE-Trade,1996-6-27,0.115203
CAT,18542,QMLE-Trade,1996-6-28,0.234162
CAT,18542,QMLE-Trade,1996-7-1,0.400813
CAT,18542,QMLE-Trade,1996-7-2,0.177275
CAT,18542,QMLE-Trade,1996-7-3,0.315703
CAT,18542,QMLE-Trade,1996-7-5,0.479966
CAT,18542,QMLE-Trade,1996-7-8,0.22604
CAT,18542,QMLE-Trade,1996-7-9,0.107214
CAT,18542,QMLE-Trade,1996-7-10,0.17318
CAT,18542,QMLE-Trade,1996-7-11,0.264725
CAT,18542,QMLE-Trade,1996-7-12,0.32652
CAT,18542,QMLE-Trade,1996-7-15,0.380369
CAT,18542,QMLE-Trade,1996-7-16,0.783645
CAT,18542,QMLE-Trade,1996-7-17,0.339193
CAT,18542,QMLE-Trade,1996-7-18,0.19326
CAT,18542,QMLE-Trade,1996-7-19,0.201072
CAT,18542,QMLE-Trade,1996-7-22,0.146568
CAT,18542,QMLE-Trade,1996-7-23,0.210387
CAT,18542,QMLE-Trade,1996-7-24,0.262626
CAT,18542,QMLE-Trade,1996-7-25,0.38241
CAT,18542,QMLE-Trade,1996-7-26,0.306839
CAT,18542,QMLE-Trade,1996-7-29,0.0894408
CAT,18542,QMLE-Trade,1996-7-30,0.181701
CAT,18542,QMLE-Trade,1996-7-31,0.214972
CAT,18542,QMLE-Trade,1996-8-1,0.260943
CAT,18542,QMLE-Trade,1996-8-2,0.16727
CAT,18542,QMLE-Trade,1996-8-5,0.103029
CAT,18542,QMLE-Trade,1996-8-6,0.135248
CAT,18542,QMLE-Trade,1996-8-7,0.125502
CAT,18542,QMLE-Trade,1996-8-8,0.197453
CAT,18542,QMLE-Trade,1996-8-9,0.0676947
CAT,18542,QMLE-Trade,1996-8-12,0.238968
CAT,18542,QMLE-Trade,1996-8-13,0.129066
CAT,18542,QMLE-Trade,1996-8-14,0.0710681
CAT,18542,QMLE-Trade,1996-8-15,0.0896123
CAT,18542,QMLE-Trade,1996-8-16,0.0150707
CAT,18542,QMLE-Trade,1996-8-19,0.238665
CAT,18542,QMLE-Trade,1996-8-20,0.244069
CAT,18542,QMLE-Trade,1996-8-21,0.198649
CAT,18542,QMLE-Trade,1996-8-22,0.0462514
CAT,18542,QMLE-Trade,1996-8-23,0.12701
CAT,18542,QMLE-Trade,1996-8-26,0.17301
CAT,18542,QMLE-Trade,1996-8-27,0.0794303
CAT,18542,QMLE-Trade,1996-8-28,0.134795
CAT,18542,QMLE-Trade,1996-8-29,0.111244
CAT,18542,QMLE-Trade,1996-8-30,0.137589
CAT,18542,QMLE-Trade,1996-9-3,0.0788745
CAT,18542,QMLE-Trade,1996-9-4,0.245375
CAT,18542,QMLE-Trade,1996-9-5,0.199707
CAT,18542,QMLE-Trade,1996-9-6,0.283294
CAT,18542,QMLE-Trade,1996-9-9,0.16669
CAT,18542,QMLE-Trade,1996-9-10,0.196412
CAT,18542,QMLE-Trade,1996-9-11,0.174528
CAT,18542,QMLE-Trade,1996-9-12,0.184397
CAT,18542,QMLE-Trade,1996-9-13,0.229608
CAT,18542,QMLE-Trade,1996-9-16,0.13276
CAT,18542,QMLE-Trade,1996-9-17,0.248457
CAT,18542,QMLE-Trade,1996-9-18,0.186826
CAT,18542,QMLE-Trade,1996-9-19,0.233266
CAT,18542,QMLE-Trade,1996-9-20,0.109327
CAT,18542,QMLE-Trade,1996-9-23,0.0608735
CAT,18542,QMLE-Trade,1996-9-24,0.219331
CAT,18542,QMLE-Trade,1996-9-25,0.158861
CAT,18542,QMLE-Trade,1996-9-26,0.136042
CAT,18542,QMLE-Trade,1996-9-27,0.177219
CAT,18542,QMLE-Trade,1996-9-30,0.228509
CAT,18542,QMLE-Trade,1996-10-1,0.252929
CAT,18542,QMLE-Trade,1996-10-2,0.185726
CAT,18542,QMLE-Trade,1996-10-3,0.204346
CAT,18542,QMLE-Trade,1996-10-4,0.183055
CAT,18542,QMLE-Trade,1996-10-7,0.136984
CAT,18542,QMLE-Trade,1996-10-8,0.0500783
CAT,18542,QMLE-Trade,1996-10-9,0.108836
CAT,18542,QMLE-Trade,1996-10-10,0.159556
CAT,18542,QMLE-Trade,1996-10-11,0.161939
CAT,18542,QMLE-Trade,1996-10-14,0.192109
CAT,18542,QMLE-Trade,1996-10-15,0.373563
CAT,18542,QMLE-Trade,1996-10-16,0.322598
CAT,18542,QMLE-Trade,1996-10-17,0.248445
CAT,18542,QMLE-Trade,1996-10-18,0.0592685
CAT,18542,QMLE-Trade,1996-10-21,0.135548
CAT,18542,QMLE-Trade,1996-10-22,0.134772
CAT,18542,QMLE-Trade,1996-10-23,0.191442
CAT,18542,QMLE-Trade,1996-10-24,0.178143
CAT,18542,QMLE-Trade,1996-10-25,0.197654
CAT,18542,QMLE-Trade,1996-10-28,0.194173
CAT,18542,QMLE-Trade,1996-10-29,0.219518
CAT,18542,QMLE-Trade,1996-10-30,0.234945
CAT,18542,QMLE-Trade,1996-10-31,0.119423
CAT,18542,QMLE-Trade,1996-11-1,0.280662
CAT,18542,QMLE-Trade,1996-11-4,0.143189
CAT,18542,QMLE-Trade,1996-11-5,0.0258473
CAT,18542,QMLE-Trade,1996-11-6,0.131323
CAT,18542,QMLE-Trade,1996-11-7,0.247638
CAT,18542,QMLE-Trade,1996-11-8,0.183583
CAT,18542,QMLE-Trade,1996-11-11,0.00200954
CAT,18542,QMLE-Trade,1996-11-12,0.274995
CAT,18542,QMLE-Trade,1996-11-13,0.27537
CAT,18542,QMLE-Trade,1996-11-14,0.171242
CAT,18542,QMLE-Trade,1996-11-15,0.198934
CAT,18542,QMLE-Trade,1996-11-18,0.147461
CAT,18542,QMLE-Trade,1996-11-19,0.0317896
CAT,18542,QMLE-Trade,1996-11-20,0.183797
CAT,18542,QMLE-Trade,1996-11-21,0.16126
CAT,18542,QMLE-Trade,1996-11-22,0.385707
CAT,18542,QMLE-Trade,1996-11-25,0.21531
CAT,18542,QMLE-Trade,1996-11-26,0.283157
CAT,18542,QMLE-Trade,1996-11-27,0.148609
CAT,18542,QMLE-Trade,1996-11-29,0.179616
CAT,18542,QMLE-Trade,1996-12-2,0.230907
CAT,18542,QMLE-Trade,1996-12-3,0.200389
CAT,18542,QMLE-Trade,1996-12-4,0.115097
CAT,18542,QMLE-Trade,1996-12-5,0.354284
CAT,18542,QMLE-Trade,1996-12-6,0.203381
CAT,18542,QMLE-Trade,1996-12-9,0.0731028
CAT,18542,QMLE-Trade,1996-12-10,0.217393
CAT,18542,QMLE-Trade,1996-12-11,0.268965
CAT,18542,QMLE-Trade,1996-12-12,0.105297
CAT,18542,QMLE-Trade,1996-12-13,0.211653
CAT,18542,QMLE-Trade,1996-12-16,0.263315
CAT,18542,QMLE-Trade,1996-12-17,0.164455
CAT,18542,QMLE-Trade,1996-12-18,0.354341
CAT,18542,QMLE-Trade,1996-12-19,0.248098
CAT,18542,QMLE-Trade,1996-12-20,0.189857
CAT,18542,QMLE-Trade,1996-12-23,0.17114
CAT,18542,QMLE-Trade,1996-12-24,0.0897102
CAT,18542,QMLE-Trade,1996-12-26,0.106611
CAT,18542,QMLE-Trade,1996-12-27,0.0721386
CAT,18542,QMLE-Trade,1996-12-30,0.160461
CAT,18542,QMLE-Trade,1996-12-31,0.218312
CAT,18542,QMLE-Trade,1997-1-2,0.300803
CAT,18542,QMLE-Trade,1997-1-3,0.290087
CAT,18542,QMLE-Trade,1997-1-6,0.239902
CAT,18542,QMLE-Trade,1997-1-7,0.241404
CAT,18542,QMLE-Trade,1997-1-8,0.218598
CAT,18542,QMLE-Trade,1997-1-9,0.234012
CAT,18542,QMLE-Trade,1997-1-10,0.316985
CAT,18542,QMLE-Trade,1997-1-13,0.158839
CAT,18542,QMLE-Trade,1997-1-14,0.13058
CAT,18542,QMLE-Trade,1997-1-15,0.0623339
CAT,18542,QMLE-Trade,1997-1-16,0.0595443
CAT,18542,QMLE-Trade,1997-1-17,0.167123
CAT,18542,QMLE-Trade,1997-1-20,0.074811
CAT,18542,QMLE-Trade,1997-1-21,0.279116
CAT,18542,QMLE-Trade,1997-1-22,0.223106
CAT,18542,QMLE-Trade,1997-1-23,0.235138
CAT,18542,QMLE-Trade,1997-1-24,0.129671
CAT,18542,QMLE-Trade,1997-1-27,0.115146
CAT,18542,QMLE-Trade,1997-1-28,0.207758
CAT,18542,QMLE-Trade,1997-1-29,0.0575048
CAT,18542,QMLE-Trade,1997-1-30,0.127834
CAT,18542,QMLE-Trade,1997-1-31,0.14979
CAT,18542,QMLE-Trade,1997-2-3,0.15394
CAT,18542,QMLE-Trade,1997-2-4,0.183968
CAT,18542,QMLE-Trade,1997-2-5,0.137984
CAT,18542,QMLE-Trade,1997-2-6,0.000874373
CAT,18542,QMLE-Trade,1997-2-7,0.348055
CAT,18542,QMLE-Trade,1997-2-10,0.190457
CAT,18542,QMLE-Trade,1997-2-11,0.189455
CAT,18542,QMLE-Trade,1997-2-12,0.139337
CAT,18542,QMLE-Trade,1997-2-13,0.399827
CAT,18542,QMLE-Trade,1997-2-14,0.262368
CAT,18542,QMLE-Trade,1997-2-18,0.186272
CAT,18542,QMLE-Trade,1997-2-19,0.301833
CAT,18542,QMLE-Trade,1997-2-20,0.126634
CAT,18542,QMLE-Trade,1997-2-21,0.0915956
CAT,18542,QMLE-Trade,1997-2-24,0.221936
CAT,18542,QMLE-Trade,1997-2-25,0.183522
CAT,18542,QMLE-Trade,1997-2-26,0.315816
CAT,18542,QMLE-Trade,1997-2-27,0.19834
CAT,18542,QMLE-Trade,1997-2-28,0.0775066
CAT,18542,QMLE-Trade,1997-3-3,0.092999
CAT,18542,QMLE-Trade,1997-3-4,0.173481
CAT,18542,QMLE-Trade,1997-3-5,0.141934
CAT,18542,QMLE-Trade,1997-3-6,0.167513
CAT,18542,QMLE-Trade,1997-3-7,0.128974
CAT,18542,QMLE-Trade,1997-3-10,0.219518
CAT,18542,QMLE-Trade,1997-3-11,0.191747
CAT,18542,QMLE-Trade,1997-3-12,0.151113
CAT,18542,QMLE-Trade,1997-3-13,0.192876
CAT,18542,QMLE-Trade,1997-3-14,0.17172
CAT,18542,QMLE-Trade,1997-3-17,0.0763816
CAT,18542,QMLE-Trade,1997-3-18,0.145747
CAT,18542,QMLE-Trade,1997-3-19,0.159252
CAT,18542,QMLE-Trade,1997-3-20,0.26043
CAT,18542,QMLE-Trade,1997-3-21,0.0791604
CAT,18542,QMLE-Trade,1997-3-24,0.235109
CAT,18542,QMLE-Trade,1997-3-25,0.239273
CAT,18542,QMLE-Trade,1997-3-26,0.189799
CAT,18542,QMLE-Trade,1997-3-27,0.172916
CAT,18542,QMLE-Trade,1997-3-31,0.272864
CAT,18542,QMLE-Trade,1997-4-1,0.208792
CAT,18542,QMLE-Trade,1997-4-2,0.265807
CAT,18542,QMLE-Trade,1997-4-3,0.158437
CAT,18542,QMLE-Trade,1997-4-4,0.367368
CAT,18542,QMLE-Trade,1997-4-7,0.118801
CAT,18542,QMLE-Trade,1997-4-8,0.0200666
CAT,18542,QMLE-Trade,1997-4-9,0.0661421
CAT,18542,QMLE-Trade,1997-4-10,0.176603
CAT,18542,QMLE-Trade,1997-4-11,0.177338
CAT,18542,QMLE-Trade,1997-4-14,0.261401
CAT,18542,QMLE-Trade,1997-4-15,0.421827
CAT,18542,QMLE-Trade,1997-4-16,0.414079
CAT,18542,QMLE-Trade,1997-4-17,0.17487
CAT,18542,QMLE-Trade,1997-4-18,0.201731
CAT,18542,QMLE-Trade,1997-4-21,0.170796
CAT,18542,QMLE-Trade,1997-4-22,0.272029
CAT,18542,QMLE-Trade,1997-4-23,0.290013
CAT,18542,QMLE-Trade,1997-4-24,0.287357
CAT,18542,QMLE-Trade,1997-4-25,0.314552
CAT,18542,QMLE-Trade,1997-4-28,0.183552
CAT,18542,QMLE-Trade,1997-4-29,0.297396
CAT,18542,QMLE-Trade,1997-4-30,0.356398
CAT,18542,QMLE-Trade,1997-5-1,0.234463
CAT,18542,QMLE-Trade,1997-5-2,0.313843
CAT,18542,QMLE-Trade,1997-5-5,0.267468
CAT,18542,QMLE-Trade,1997-5-6,0.154288
CAT,18542,QMLE-Trade,1997-5-7,0.161997
CAT,18542,QMLE-Trade,1997-5-8,0.299895
CAT,18542,QMLE-Trade,1997-5-9,0.221955
CAT,18542,QMLE-Trade,1997-5-12,0.132986
CAT,18542,QMLE-Trade,1997-5-13,0.231311
CAT,18542,QMLE-Trade,1997-5-14,0.33798
CAT,18542,QMLE-Trade,1997-5-15,0.412745
CAT,18542,QMLE-Trade,1997-5-16,0.249339
CAT,18542,QMLE-Trade,1997-5-19,0.292341
CAT,18542,QMLE-Trade,1997-5-20,0.272063
CAT,18542,QMLE-Trade,1997-5-21,0.432358
CAT,18542,QMLE-Trade,1997-5-22,0.0211638
CAT,18542,QMLE-Trade,1997-5-23,0.18025
CAT,18542,QMLE-Trade,1997-5-27,0.243088
CAT,18542,QMLE-Trade,1997-5-28,0.174293
CAT,18542,QMLE-Trade,1997-5-29,0.109499
CAT,18542,QMLE-Trade,1997-5-30,0.256579
CAT,18542,QMLE-Trade,1997-6-2,0.161441
CAT,18542,QMLE-Trade,1997-6-3,0.231665
CAT,18542,QMLE-Trade,1997-6-4,0.103782
CAT,18542,QMLE-Trade,1997-6-5,0.180842
CAT,18542,QMLE-Trade,1997-6-6,0.316154
