Symbol,PN,Type,Date,Volatility
CSCO,76076,QMLE-Trade,1996-1-2,0.52119
CSCO,76076,QMLE-Trade,1996-1-3,0.370493
CSCO,76076,QMLE-Trade,1996-1-4,0.524149
CSCO,76076,QMLE-Trade,1996-1-5,0.500855
CSCO,76076,QMLE-Trade,1996-1-8,0.181113
CSCO,76076,QMLE-Trade,1996-1-9,0.316768
CSCO,76076,QMLE-Trade,1996-1-10,0.819632
CSCO,76076,QMLE-Trade,1996-1-11,0.363532
CSCO,76076,QMLE-Trade,1996-1-12,0.503591
CSCO,76076,QMLE-Trade,1996-1-15,0.425996
CSCO,76076,QMLE-Trade,1996-1-16,0.851597
CSCO,76076,QMLE-Trade,1996-1-17,0.904598
CSCO,76076,QMLE-Trade,1996-1-18,0.42009
CSCO,76076,QMLE-Trade,1996-1-19,0.706475
CSCO,76076,QMLE-Trade,1996-1-22,0.693703
CSCO,76076,QMLE-Trade,1996-1-23,0.25983
CSCO,76076,QMLE-Trade,1996-1-24,0.232142
CSCO,76076,QMLE-Trade,1996-1-25,0.293372
CSCO,76076,QMLE-Trade,1996-1-26,0.379467
CSCO,76076,QMLE-Trade,1996-1-29,0.252842
CSCO,76076,QMLE-Trade,1996-1-30,0.201969
CSCO,76076,QMLE-Trade,1996-1-31,0.306552
CSCO,76076,QMLE-Trade,1996-2-1,0.189383
CSCO,76076,QMLE-Trade,1996-2-2,0.186687
CSCO,76076,QMLE-Trade,1996-2-5,0.213629
CSCO,76076,QMLE-Trade,1996-2-6,0.213583
CSCO,76076,QMLE-Trade,1996-2-7,0.285824
CSCO,76076,QMLE-Trade,1996-2-8,0.225152
CSCO,76076,QMLE-Trade,1996-2-9,0.385008
CSCO,76076,QMLE-Trade,1996-2-12,0.194149
CSCO,76076,QMLE-Trade,1996-2-13,0.202654
CSCO,76076,QMLE-Trade,1996-2-14,0.294069
CSCO,76076,QMLE-Trade,1996-2-15,0.263998
CSCO,76076,QMLE-Trade,1996-2-16,0.22398
CSCO,76076,QMLE-Trade,1996-2-20,0.46702
CSCO,76076,QMLE-Trade,1996-2-21,0.393187
CSCO,76076,QMLE-Trade,1996-2-22,0.168001
CSCO,76076,QMLE-Trade,1996-2-23,0.376245
CSCO,76076,QMLE-Trade,1996-2-26,0.348906
CSCO,76076,QMLE-Trade,1996-2-27,0.360139
CSCO,76076,QMLE-Trade,1996-2-28,0.304368
CSCO,76076,QMLE-Trade,1996-2-29,0.539344
CSCO,76076,QMLE-Trade,1996-3-1,0.692185
