Symbol,PN,Type,Date,Volatility
DIS,26403,QMLE-Trade,1996-1-2,0.196204
DIS,26403,QMLE-Trade,1996-1-3,0.200125
DIS,26403,QMLE-Trade,1996-1-4,0.259127
DIS,26403,QMLE-Trade,1996-1-5,0.241213
DIS,26403,QMLE-Trade,1996-1-8,0.0861056
DIS,26403,QMLE-Trade,1996-1-9,0.168178
DIS,26403,QMLE-Trade,1996-1-10,0.266363
DIS,26403,QMLE-Trade,1996-1-11,0.171352
DIS,26403,QMLE-Trade,1996-1-12,0.0996918
DIS,26403,QMLE-Trade,1996-1-15,0.107956
DIS,26403,QMLE-Trade,1996-1-16,0.191314
DIS,26403,QMLE-Trade,1996-1-17,0.162275
DIS,26403,QMLE-Trade,1996-1-18,0.101939
DIS,26403,QMLE-Trade,1996-1-19,0.0971331
DIS,26403,QMLE-Trade,1996-1-22,0.172057
DIS,26403,QMLE-Trade,1996-1-23,0.239482
DIS,26403,QMLE-Trade,1996-1-24,0.27446
DIS,26403,QMLE-Trade,1996-1-25,0.120729
DIS,26403,QMLE-Trade,1996-1-26,0.134272
DIS,26403,QMLE-Trade,1996-1-29,0.129424
DIS,26403,QMLE-Trade,1996-1-30,0.172949
DIS,26403,QMLE-Trade,1996-1-31,0.206034
DIS,26403,QMLE-Trade,1996-2-1,0.175719
DIS,26403,QMLE-Trade,1996-2-2,0.122534
DIS,26403,QMLE-Trade,1996-2-5,0.206076
DIS,26403,QMLE-Trade,1996-2-6,0.227738
DIS,26403,QMLE-Trade,1996-2-7,0.210408
DIS,26403,QMLE-Trade,1996-2-8,0.129162
DIS,26403,QMLE-Trade,1996-2-9,0.187324
DIS,26403,QMLE-Trade,1996-2-12,0.145796
DIS,26403,QMLE-Trade,1996-2-13,0.232265
DIS,26403,QMLE-Trade,1996-2-14,0.16921
DIS,26403,QMLE-Trade,1996-2-15,0.137693
DIS,26403,QMLE-Trade,1996-2-16,0.140863
DIS,26403,QMLE-Trade,1996-2-20,0.192933
DIS,26403,QMLE-Trade,1996-2-21,0.134052
DIS,26403,QMLE-Trade,1996-2-22,0.100188
DIS,26403,QMLE-Trade,1996-2-23,0.182598
DIS,26403,QMLE-Trade,1996-2-26,0.15903
DIS,26403,QMLE-Trade,1996-2-27,0.140954
DIS,26403,QMLE-Trade,1996-2-28,0.0862619
DIS,26403,QMLE-Trade,1996-2-29,0.138888
DIS,26403,QMLE-Trade,1996-3-1,0.124277
DIS,26403,QMLE-Trade,1996-3-4,0.0601265
DIS,26403,QMLE-Trade,1996-3-5,0.0953541
DIS,26403,QMLE-Trade,1996-3-6,0.0764435
DIS,26403,QMLE-Trade,1996-3-7,0.149526
DIS,26403,QMLE-Trade,1996-3-8,0.416092
DIS,26403,QMLE-Trade,1996-3-11,0.263953
DIS,26403,QMLE-Trade,1996-3-12,0.283021
DIS,26403,QMLE-Trade,1996-3-13,0.173863
DIS,26403,QMLE-Trade,1996-3-14,0.162477
DIS,26403,QMLE-Trade,1996-3-15,0.12757
DIS,26403,QMLE-Trade,1996-3-18,0.237433
DIS,26403,QMLE-Trade,1996-3-19,0.340398
DIS,26403,QMLE-Trade,1996-3-20,0.133698
DIS,26403,QMLE-Trade,1996-3-21,0.181669
DIS,26403,QMLE-Trade,1996-3-22,0.183263
DIS,26403,QMLE-Trade,1996-3-25,0.180664
DIS,26403,QMLE-Trade,1996-3-26,0.104871
DIS,26403,QMLE-Trade,1996-3-27,0.0686273
DIS,26403,QMLE-Trade,1996-3-28,0.0408722
DIS,26403,QMLE-Trade,1996-3-29,0.0865495
DIS,26403,QMLE-Trade,1996-4-1,0.127963
DIS,26403,QMLE-Trade,1996-4-2,0.092735
DIS,26403,QMLE-Trade,1996-4-3,0.102163
DIS,26403,QMLE-Trade,1996-4-4,0.141151
DIS,26403,QMLE-Trade,1996-4-8,0.188078
DIS,26403,QMLE-Trade,1996-4-9,0.1501
DIS,26403,QMLE-Trade,1996-4-10,0.244034
DIS,26403,QMLE-Trade,1996-4-11,0.302124
DIS,26403,QMLE-Trade,1996-4-12,0.18561
DIS,26403,QMLE-Trade,1996-4-15,0.175848
DIS,26403,QMLE-Trade,1996-4-16,0.132993
DIS,26403,QMLE-Trade,1996-4-17,0.121938
DIS,26403,QMLE-Trade,1996-4-18,0.109229
DIS,26403,QMLE-Trade,1996-4-19,0.117719
DIS,26403,QMLE-Trade,1996-4-22,0.134871
DIS,26403,QMLE-Trade,1996-4-23,0.255896
DIS,26403,QMLE-Trade,1996-4-24,0.273793
DIS,26403,QMLE-Trade,1996-4-25,0.155211
DIS,26403,QMLE-Trade,1996-4-26,0.167722
DIS,26403,QMLE-Trade,1996-4-29,0.0680711
DIS,26403,QMLE-Trade,1996-4-30,0.100502
DIS,26403,QMLE-Trade,1996-5-1,0.210145
DIS,26403,QMLE-Trade,1996-5-2,0.197274
DIS,26403,QMLE-Trade,1996-5-3,0.219631
DIS,26403,QMLE-Trade,1996-5-6,0.29051
DIS,26403,QMLE-Trade,1996-5-7,0.183515
DIS,26403,QMLE-Trade,1996-5-8,0.246298
DIS,26403,QMLE-Trade,1996-5-9,0.194637
DIS,26403,QMLE-Trade,1996-5-10,0.262081
DIS,26403,QMLE-Trade,1996-5-13,0.24211
DIS,26403,QMLE-Trade,1996-5-14,0.153678
DIS,26403,QMLE-Trade,1996-5-15,0.284975
DIS,26403,QMLE-Trade,1996-5-16,0.194485
DIS,26403,QMLE-Trade,1996-5-17,0.100746
DIS,26403,QMLE-Trade,1996-5-20,0.147042
DIS,26403,QMLE-Trade,1996-5-21,0.123048
DIS,26403,QMLE-Trade,1996-5-22,0.206264
DIS,26403,QMLE-Trade,1996-5-23,0.152802
DIS,26403,QMLE-Trade,1996-5-24,0.109011
DIS,26403,QMLE-Trade,1996-5-28,0.222429
DIS,26403,QMLE-Trade,1996-5-29,0.201764
DIS,26403,QMLE-Trade,1996-5-30,0.181771
DIS,26403,QMLE-Trade,1996-5-31,0.199632
DIS,26403,QMLE-Trade,1996-6-3,0.0684289
DIS,26403,QMLE-Trade,1996-6-4,0.147989
DIS,26403,QMLE-Trade,1996-6-5,0.191809
DIS,26403,QMLE-Trade,1996-6-6,0.201863
DIS,26403,QMLE-Trade,1996-6-7,0.34471
DIS,26403,QMLE-Trade,1996-6-10,0.195532
DIS,26403,QMLE-Trade,1996-6-11,0.178323
DIS,26403,QMLE-Trade,1996-6-12,0.165254
DIS,26403,QMLE-Trade,1996-6-13,0.167931
