Symbol,PN,Type,Date,Volatility
GS,86868,QMLE-Trade,1999-5-4,0.985787
GS,86868,QMLE-Trade,1999-5-5,0.593759
GS,86868,QMLE-Trade,1999-5-6,0.420276
GS,86868,QMLE-Trade,1999-5-7,0.677173
GS,86868,QMLE-Trade,1999-5-10,0.496217
GS,86868,QMLE-Trade,1999-5-11,0.402995
GS,86868,QMLE-Trade,1999-5-12,0.501351
GS,86868,QMLE-Trade,1999-5-13,0.436437
GS,86868,QMLE-Trade,1999-5-14,0.534827
GS,86868,QMLE-Trade,1999-5-17,0.434336
GS,86868,QMLE-Trade,1999-5-18,0.467484
GS,86868,QMLE-Trade,1999-5-19,0.184366
GS,86868,QMLE-Trade,1999-5-20,0.173962
GS,86868,QMLE-Trade,1999-5-21,0.187354
GS,86868,QMLE-Trade,1999-5-24,0.242861
GS,86868,QMLE-Trade,1999-5-25,0.341751
GS,86868,QMLE-Trade,1999-5-26,0.643428
GS,86868,QMLE-Trade,1999-5-27,0.44591
GS,86868,QMLE-Trade,1999-5-28,0.528642
GS,86868,QMLE-Trade,1999-6-1,0.452533
GS,86868,QMLE-Trade,1999-6-2,0.341573
GS,86868,QMLE-Trade,1999-6-3,0.181258
GS,86868,QMLE-Trade,1999-6-4,0.412077
GS,86868,QMLE-Trade,1999-6-7,0.359028
GS,86868,QMLE-Trade,1999-6-8,0.256677
GS,86868,QMLE-Trade,1999-6-9,0.266887
GS,86868,QMLE-Trade,1999-6-10,0.249432
GS,86868,QMLE-Trade,1999-6-11,0.335043
GS,86868,QMLE-Trade,1999-6-14,0.345564
GS,86868,QMLE-Trade,1999-6-15,0.242399
GS,86868,QMLE-Trade,1999-6-16,0.275695
GS,86868,QMLE-Trade,1999-6-17,0.396292
GS,86868,QMLE-Trade,1999-6-18,0.329501
GS,86868,QMLE-Trade,1999-6-21,0.413045
GS,86868,QMLE-Trade,1999-6-22,0.494346
GS,86868,QMLE-Trade,1999-6-23,0.408379
GS,86868,QMLE-Trade,1999-6-24,0.356441
GS,86868,QMLE-Trade,1999-6-25,0.244509
GS,86868,QMLE-Trade,1999-6-28,0.228028
GS,86868,QMLE-Trade,1999-6-29,0.288473
GS,86868,QMLE-Trade,1999-6-30,0.706639
GS,86868,QMLE-Trade,1999-7-1,0.413722
GS,86868,QMLE-Trade,1999-7-2,0.316875
GS,86868,QMLE-Trade,1999-7-6,0.337538
GS,86868,QMLE-Trade,1999-7-7,0.230806
GS,86868,QMLE-Trade,1999-7-8,0.262321
GS,86868,QMLE-Trade,1999-7-9,0.160692
GS,86868,QMLE-Trade,1999-7-12,0.2108
GS,86868,QMLE-Trade,1999-7-13,0.0896307
GS,86868,QMLE-Trade,1999-7-14,0.0543938
GS,86868,QMLE-Trade,1999-7-15,0.0978654
GS,86868,QMLE-Trade,1999-7-16,0.194233
GS,86868,QMLE-Trade,1999-7-19,0.27751
GS,86868,QMLE-Trade,1999-7-20,0.380556
GS,86868,QMLE-Trade,1999-7-21,0.133454
GS,86868,QMLE-Trade,1999-7-22,0.284016
GS,86868,QMLE-Trade,1999-7-23,0.200499
GS,86868,QMLE-Trade,1999-7-26,0.217435
GS,86868,QMLE-Trade,1999-7-27,0.258681
GS,86868,QMLE-Trade,1999-7-28,0.320637
GS,86868,QMLE-Trade,1999-7-29,0.140427
GS,86868,QMLE-Trade,1999-7-30,0.244432
GS,86868,QMLE-Trade,1999-8-2,0.384056
GS,86868,QMLE-Trade,1999-8-3,0.249649
GS,86868,QMLE-Trade,1999-8-4,0.31163
GS,86868,QMLE-Trade,1999-8-5,0.434434
GS,86868,QMLE-Trade,1999-8-6,0.466511
GS,86868,QMLE-Trade,1999-8-9,0.38492
GS,86868,QMLE-Trade,1999-8-10,0.432983
GS,86868,QMLE-Trade,1999-8-11,0.386713
GS,86868,QMLE-Trade,1999-8-12,0.30845
GS,86868,QMLE-Trade,1999-8-13,0.213414
GS,86868,QMLE-Trade,1999-8-16,0.404835
GS,86868,QMLE-Trade,1999-8-17,0.303497
GS,86868,QMLE-Trade,1999-8-18,0.27784
GS,86868,QMLE-Trade,1999-8-19,0.3453
GS,86868,QMLE-Trade,1999-8-20,0.172612
GS,86868,QMLE-Trade,1999-8-23,0.171672
GS,86868,QMLE-Trade,1999-8-24,0.379567
GS,86868,QMLE-Trade,1999-8-25,0.233108
GS,86868,QMLE-Trade,1999-8-26,0.427111
GS,86868,QMLE-Trade,1999-8-27,0.209365
GS,86868,QMLE-Trade,1999-8-30,0.276291
GS,86868,QMLE-Trade,1999-8-31,0.348242
GS,86868,QMLE-Trade,1999-9-1,0.190188
GS,86868,QMLE-Trade,1999-9-2,0.286748
GS,86868,QMLE-Trade,1999-9-3,0.270756
GS,86868,QMLE-Trade,1999-9-7,0.263483
GS,86868,QMLE-Trade,1999-9-8,0.299417
GS,86868,QMLE-Trade,1999-9-9,0.265109
GS,86868,QMLE-Trade,1999-9-10,0.244674
GS,86868,QMLE-Trade,1999-9-13,0.20394
GS,86868,QMLE-Trade,1999-9-14,0.485151
GS,86868,QMLE-Trade,1999-9-15,0.231204
GS,86868,QMLE-Trade,1999-9-16,0.263171
GS,86868,QMLE-Trade,1999-9-17,0.255411
GS,86868,QMLE-Trade,1999-9-20,0.222613
GS,86868,QMLE-Trade,1999-9-21,0.51372
GS,86868,QMLE-Trade,1999-9-22,0.422653
GS,86868,QMLE-Trade,1999-9-23,0.26449
GS,86868,QMLE-Trade,1999-9-24,0.359744
GS,86868,QMLE-Trade,1999-9-27,0.223535
GS,86868,QMLE-Trade,1999-9-28,0.237412
GS,86868,QMLE-Trade,1999-9-29,0.358654
GS,86868,QMLE-Trade,1999-9-30,0.297229
GS,86868,QMLE-Trade,1999-10-1,0.370204
GS,86868,QMLE-Trade,1999-10-4,0.197623
GS,86868,QMLE-Trade,1999-10-5,0.354325
GS,86868,QMLE-Trade,1999-10-6,0.323851
GS,86868,QMLE-Trade,1999-10-7,0.207901
GS,86868,QMLE-Trade,1999-10-8,0.366375
GS,86868,QMLE-Trade,1999-10-11,0.0671818
GS,86868,QMLE-Trade,1999-10-12,0.263639
GS,86868,QMLE-Trade,1999-10-13,0.215979
GS,86868,QMLE-Trade,1999-10-14,0.316168
GS,86868,QMLE-Trade,1999-10-15,0.424862
GS,86868,QMLE-Trade,1999-10-18,0.320075
GS,86868,QMLE-Trade,1999-10-19,0.274347
GS,86868,QMLE-Trade,1999-10-20,0.508183
GS,86868,QMLE-Trade,1999-10-21,0.231289
GS,86868,QMLE-Trade,1999-10-22,0.30215
GS,86868,QMLE-Trade,1999-10-25,0.253409
GS,86868,QMLE-Trade,1999-10-26,0.298207
GS,86868,QMLE-Trade,1999-10-27,0.391189
GS,86868,QMLE-Trade,1999-10-28,0.482867
GS,86868,QMLE-Trade,1999-10-29,0.403229
GS,86868,QMLE-Trade,1999-11-1,0.264172
GS,86868,QMLE-Trade,1999-11-2,0.325133
