Symbol,PN,Type,Date,Volatility
HD,66181,QMLE-Trade,1996-1-2,0.30055
HD,66181,QMLE-Trade,1996-1-3,0.213609
HD,66181,QMLE-Trade,1996-1-4,0.200336
HD,66181,QMLE-Trade,1996-1-5,0.260224
HD,66181,QMLE-Trade,1996-1-8,0.130961
HD,66181,QMLE-Trade,1996-1-9,0.235582
HD,66181,QMLE-Trade,1996-1-10,0.331015
HD,66181,QMLE-Trade,1996-1-11,0.161572
HD,66181,QMLE-Trade,1996-1-12,0.174816
HD,66181,QMLE-Trade,1996-1-15,0.155625
HD,66181,QMLE-Trade,1996-1-16,0.229817
HD,66181,QMLE-Trade,1996-1-17,0.302731
HD,66181,QMLE-Trade,1996-1-18,0.220233
HD,66181,QMLE-Trade,1996-1-19,0.244158
HD,66181,QMLE-Trade,1996-1-22,0.181069
HD,66181,QMLE-Trade,1996-1-23,0.21633
HD,66181,QMLE-Trade,1996-1-24,0.187826
HD,66181,QMLE-Trade,1996-1-25,0.149498
HD,66181,QMLE-Trade,1996-1-26,0.14702
HD,66181,QMLE-Trade,1996-1-29,0.21391
HD,66181,QMLE-Trade,1996-1-30,0.14285
HD,66181,QMLE-Trade,1996-1-31,0.246222
HD,66181,QMLE-Trade,1996-2-1,0.276336
HD,66181,QMLE-Trade,1996-2-2,0.210247
HD,66181,QMLE-Trade,1996-2-5,0.162616
HD,66181,QMLE-Trade,1996-2-6,0.178016
HD,66181,QMLE-Trade,1996-2-7,0.211455
HD,66181,QMLE-Trade,1996-2-8,0.0901061
HD,66181,QMLE-Trade,1996-2-9,0.236963
HD,66181,QMLE-Trade,1996-2-12,0.158679
HD,66181,QMLE-Trade,1996-2-13,0.288197
HD,66181,QMLE-Trade,1996-2-14,0.178497
HD,66181,QMLE-Trade,1996-2-15,0.276427
HD,66181,QMLE-Trade,1996-2-16,0.213513
HD,66181,QMLE-Trade,1996-2-20,0.397366
HD,66181,QMLE-Trade,1996-2-21,0.309527
HD,66181,QMLE-Trade,1996-2-22,0.168754
HD,66181,QMLE-Trade,1996-2-23,0.223229
HD,66181,QMLE-Trade,1996-2-26,0.211155
HD,66181,QMLE-Trade,1996-2-27,0.283512
HD,66181,QMLE-Trade,1996-2-28,0.325825
HD,66181,QMLE-Trade,1996-2-29,0.416467
HD,66181,QMLE-Trade,1996-3-1,0.315237
HD,66181,QMLE-Trade,1996-3-4,0.507113
HD,66181,QMLE-Trade,1996-3-5,0.27379
HD,66181,QMLE-Trade,1996-3-6,0.294376
HD,66181,QMLE-Trade,1996-3-7,0.205416
HD,66181,QMLE-Trade,1996-3-8,0.427249
HD,66181,QMLE-Trade,1996-3-11,0.220421
HD,66181,QMLE-Trade,1996-3-12,0.215347
HD,66181,QMLE-Trade,1996-3-13,0.162215
HD,66181,QMLE-Trade,1996-3-14,0.158958
HD,66181,QMLE-Trade,1996-3-15,0.157088
HD,66181,QMLE-Trade,1996-3-18,0.156943
HD,66181,QMLE-Trade,1996-3-19,0.338711
HD,66181,QMLE-Trade,1996-3-20,0.168482
HD,66181,QMLE-Trade,1996-3-21,0.181211
HD,66181,QMLE-Trade,1996-3-22,0.121038
HD,66181,QMLE-Trade,1996-3-25,0.255793
HD,66181,QMLE-Trade,1996-3-26,0.169349
HD,66181,QMLE-Trade,1996-3-27,0.229569
HD,66181,QMLE-Trade,1996-3-28,0.222989
HD,66181,QMLE-Trade,1996-3-29,0.227117
HD,66181,QMLE-Trade,1996-4-1,0.107894
HD,66181,QMLE-Trade,1996-4-2,0.143155
HD,66181,QMLE-Trade,1996-4-3,0.123998
HD,66181,QMLE-Trade,1996-4-4,0.184948
HD,66181,QMLE-Trade,1996-4-8,0.188642
HD,66181,QMLE-Trade,1996-4-9,0.196066
HD,66181,QMLE-Trade,1996-4-10,0.281182
HD,66181,QMLE-Trade,1996-4-11,0.752553
HD,66181,QMLE-Trade,1996-4-12,0.26555
HD,66181,QMLE-Trade,1996-4-15,0.243032
HD,66181,QMLE-Trade,1996-4-16,0.0975177
HD,66181,QMLE-Trade,1996-4-17,0.157557
HD,66181,QMLE-Trade,1996-4-18,0.112376
HD,66181,QMLE-Trade,1996-4-19,0.118475
HD,66181,QMLE-Trade,1996-4-22,0.213241
HD,66181,QMLE-Trade,1996-4-23,0.220009
HD,66181,QMLE-Trade,1996-4-24,0.154893
HD,66181,QMLE-Trade,1996-4-25,0.292479
HD,66181,QMLE-Trade,1996-4-26,0.182064
HD,66181,QMLE-Trade,1996-4-29,0.17423
HD,66181,QMLE-Trade,1996-4-30,0.140055
HD,66181,QMLE-Trade,1996-5-1,0.114121
HD,66181,QMLE-Trade,1996-5-2,0.176352
HD,66181,QMLE-Trade,1996-5-3,0.196958
HD,66181,QMLE-Trade,1996-5-6,0.155146
HD,66181,QMLE-Trade,1996-5-7,0.106625
HD,66181,QMLE-Trade,1996-5-8,0.266065
HD,66181,QMLE-Trade,1996-5-9,0.218265
HD,66181,QMLE-Trade,1996-5-10,0.229609
HD,66181,QMLE-Trade,1996-5-13,0.269115
HD,66181,QMLE-Trade,1996-5-14,0.244182
HD,66181,QMLE-Trade,1996-5-15,0.263355
HD,66181,QMLE-Trade,1996-5-16,0.250499
HD,66181,QMLE-Trade,1996-5-17,0.170391
HD,66181,QMLE-Trade,1996-5-20,0.321292
HD,66181,QMLE-Trade,1996-5-21,0.184301
HD,66181,QMLE-Trade,1996-5-22,0.0841033
HD,66181,QMLE-Trade,1996-5-23,0.216754
HD,66181,QMLE-Trade,1996-5-24,0.160913
HD,66181,QMLE-Trade,1996-5-28,0.249128
HD,66181,QMLE-Trade,1996-5-29,0.186222
HD,66181,QMLE-Trade,1996-5-30,0.379647
HD,66181,QMLE-Trade,1996-5-31,0.287341
HD,66181,QMLE-Trade,1996-6-3,0.232264
HD,66181,QMLE-Trade,1996-6-4,0.233134
HD,66181,QMLE-Trade,1996-6-5,0.365385
HD,66181,QMLE-Trade,1996-6-6,0.275612
HD,66181,QMLE-Trade,1996-6-7,0.308545
HD,66181,QMLE-Trade,1996-6-10,0.257147
HD,66181,QMLE-Trade,1996-6-11,0.247966
HD,66181,QMLE-Trade,1996-6-12,0.243822
HD,66181,QMLE-Trade,1996-6-13,0.306556
HD,66181,QMLE-Trade,1996-6-14,0.139687
HD,66181,QMLE-Trade,1996-6-17,0.156996
HD,66181,QMLE-Trade,1996-6-18,0.224651
HD,66181,QMLE-Trade,1996-6-19,0.226647
HD,66181,QMLE-Trade,1996-6-20,0.294453
HD,66181,QMLE-Trade,1996-6-21,0.361739
HD,66181,QMLE-Trade,1996-6-24,0.38785
HD,66181,QMLE-Trade,1996-6-25,0.227361
HD,66181,QMLE-Trade,1996-6-26,0.294625
HD,66181,QMLE-Trade,1996-6-27,0.287954
HD,66181,QMLE-Trade,1996-6-28,0.181983
HD,66181,QMLE-Trade,1996-7-1,0.26384
HD,66181,QMLE-Trade,1996-7-2,0.20748
HD,66181,QMLE-Trade,1996-7-3,0.289622
HD,66181,QMLE-Trade,1996-7-5,0.118625
HD,66181,QMLE-Trade,1996-7-8,0.377747
HD,66181,QMLE-Trade,1996-7-9,0.30427
HD,66181,QMLE-Trade,1996-7-10,0.257607
HD,66181,QMLE-Trade,1996-7-11,0.424374
HD,66181,QMLE-Trade,1996-7-12,0.376876
HD,66181,QMLE-Trade,1996-7-15,0.449798
HD,66181,QMLE-Trade,1996-7-16,0.508594
HD,66181,QMLE-Trade,1996-7-17,0.378355
HD,66181,QMLE-Trade,1996-7-18,0.384106
HD,66181,QMLE-Trade,1996-7-19,0.305228
HD,66181,QMLE-Trade,1996-7-22,0.385313
HD,66181,QMLE-Trade,1996-7-23,0.399583
HD,66181,QMLE-Trade,1996-7-24,0.40824
HD,66181,QMLE-Trade,1996-7-25,0.118861
HD,66181,QMLE-Trade,1996-7-26,0.109633
HD,66181,QMLE-Trade,1996-7-29,0.334587
HD,66181,QMLE-Trade,1996-7-30,0.318556
HD,66181,QMLE-Trade,1996-7-31,0.209197
HD,66181,QMLE-Trade,1996-8-1,0.32249
HD,66181,QMLE-Trade,1996-8-2,0.30833
HD,66181,QMLE-Trade,1996-8-5,0.205616
HD,66181,QMLE-Trade,1996-8-6,0.231865
HD,66181,QMLE-Trade,1996-8-7,0.120281
HD,66181,QMLE-Trade,1996-8-8,0.25139
HD,66181,QMLE-Trade,1996-8-9,0.296121
HD,66181,QMLE-Trade,1996-8-12,0.179304
HD,66181,QMLE-Trade,1996-8-13,0.434052
HD,66181,QMLE-Trade,1996-8-14,0.25494
HD,66181,QMLE-Trade,1996-8-15,0.112505
HD,66181,QMLE-Trade,1996-8-16,0.27433
HD,66181,QMLE-Trade,1996-8-19,0.0946321
HD,66181,QMLE-Trade,1996-8-20,0.0681638
HD,66181,QMLE-Trade,1996-8-21,0.201857
HD,66181,QMLE-Trade,1996-8-22,0.120611
HD,66181,QMLE-Trade,1996-8-23,0.208035
HD,66181,QMLE-Trade,1996-8-26,0.0747086
HD,66181,QMLE-Trade,1996-8-27,0.0826964
HD,66181,QMLE-Trade,1996-8-28,0.109384
HD,66181,QMLE-Trade,1996-8-29,0.225807
HD,66181,QMLE-Trade,1996-8-30,0.289226
HD,66181,QMLE-Trade,1996-9-3,0.096014
HD,66181,QMLE-Trade,1996-9-4,0.213683
HD,66181,QMLE-Trade,1996-9-5,0.13721
HD,66181,QMLE-Trade,1996-9-6,0.246693
HD,66181,QMLE-Trade,1996-9-9,0.15127
HD,66181,QMLE-Trade,1996-9-10,0.146364
HD,66181,QMLE-Trade,1996-9-11,0.166463
HD,66181,QMLE-Trade,1996-9-12,0.240736
HD,66181,QMLE-Trade,1996-9-13,0.169335
HD,66181,QMLE-Trade,1996-9-16,0.256966
HD,66181,QMLE-Trade,1996-9-17,0.299208
HD,66181,QMLE-Trade,1996-9-18,0.200713
HD,66181,QMLE-Trade,1996-9-19,0.285245
HD,66181,QMLE-Trade,1996-9-20,0.164323
HD,66181,QMLE-Trade,1996-9-23,0.182406
HD,66181,QMLE-Trade,1996-9-24,0.171005
HD,66181,QMLE-Trade,1996-9-25,0.305834
HD,66181,QMLE-Trade,1996-9-26,0.22126
HD,66181,QMLE-Trade,1996-9-27,0.0868719
HD,66181,QMLE-Trade,1996-9-30,0.150703
HD,66181,QMLE-Trade,1996-10-1,0.243813
HD,66181,QMLE-Trade,1996-10-2,0.199339
HD,66181,QMLE-Trade,1996-10-3,0.0327442
HD,66181,QMLE-Trade,1996-10-4,0.113301
HD,66181,QMLE-Trade,1996-10-7,0.150867
HD,66181,QMLE-Trade,1996-10-8,0.140113
HD,66181,QMLE-Trade,1996-10-9,0.252851
HD,66181,QMLE-Trade,1996-10-10,0.205103
HD,66181,QMLE-Trade,1996-10-11,0.148094
HD,66181,QMLE-Trade,1996-10-14,0.162715
HD,66181,QMLE-Trade,1996-10-15,0.282706
HD,66181,QMLE-Trade,1996-10-16,0.135283
HD,66181,QMLE-Trade,1996-10-17,0.27798
HD,66181,QMLE-Trade,1996-10-18,0.0942642
HD,66181,QMLE-Trade,1996-10-21,0.183273
HD,66181,QMLE-Trade,1996-10-22,0.139428
HD,66181,QMLE-Trade,1996-10-23,0.272236
HD,66181,QMLE-Trade,1996-10-24,0.160048
HD,66181,QMLE-Trade,1996-10-25,0.179379
HD,66181,QMLE-Trade,1996-10-28,0.238445
HD,66181,QMLE-Trade,1996-10-29,0.170901
HD,66181,QMLE-Trade,1996-10-30,0.276748
HD,66181,QMLE-Trade,1996-10-31,0.264655
HD,66181,QMLE-Trade,1996-11-1,0.244095
HD,66181,QMLE-Trade,1996-11-4,0.179769
HD,66181,QMLE-Trade,1996-11-5,0.134582
HD,66181,QMLE-Trade,1996-11-6,0.261739
HD,66181,QMLE-Trade,1996-11-7,0.571501
HD,66181,QMLE-Trade,1996-11-8,0.421358
HD,66181,QMLE-Trade,1996-11-11,0.20032
HD,66181,QMLE-Trade,1996-11-12,0.513485
HD,66181,QMLE-Trade,1996-11-13,0.313944
HD,66181,QMLE-Trade,1996-11-14,0.173319
HD,66181,QMLE-Trade,1996-11-15,0.192021
HD,66181,QMLE-Trade,1996-11-18,0.230721
HD,66181,QMLE-Trade,1996-11-19,0.182414
HD,66181,QMLE-Trade,1996-11-20,0.245516
HD,66181,QMLE-Trade,1996-11-21,0.309638
HD,66181,QMLE-Trade,1996-11-22,0.369403
HD,66181,QMLE-Trade,1996-11-25,0.318298
HD,66181,QMLE-Trade,1996-11-26,0.229898
HD,66181,QMLE-Trade,1996-11-27,0.204277
HD,66181,QMLE-Trade,1996-11-29,0.124695
HD,66181,QMLE-Trade,1996-12-2,0.237248
HD,66181,QMLE-Trade,1996-12-3,0.276376
HD,66181,QMLE-Trade,1996-12-4,0.181331
HD,66181,QMLE-Trade,1996-12-5,0.282387
HD,66181,QMLE-Trade,1996-12-6,0.407941
HD,66181,QMLE-Trade,1996-12-9,0.203269
HD,66181,QMLE-Trade,1996-12-10,0.227546
HD,66181,QMLE-Trade,1996-12-11,0.302573
