Symbol,PN,Type,Date,Volatility
IBM,12490,QMLE-Trade,1996-1-2,0.175222
IBM,12490,QMLE-Trade,1996-1-3,0.153395
IBM,12490,QMLE-Trade,1996-1-4,0.379804
IBM,12490,QMLE-Trade,1996-1-5,0.319876
IBM,12490,QMLE-Trade,1996-1-8,0.145893
IBM,12490,QMLE-Trade,1996-1-9,0.280658
IBM,12490,QMLE-Trade,1996-1-10,0.350594
IBM,12490,QMLE-Trade,1996-1-11,0.305838
IBM,12490,QMLE-Trade,1996-1-12,0.254081
IBM,12490,QMLE-Trade,1996-1-15,0.2789
IBM,12490,QMLE-Trade,1996-1-16,0.346402
IBM,12490,QMLE-Trade,1996-1-17,0.456558
IBM,12490,QMLE-Trade,1996-1-18,0.370947
IBM,12490,QMLE-Trade,1996-1-19,0.484046
IBM,12490,QMLE-Trade,1996-1-22,0.310836
IBM,12490,QMLE-Trade,1996-1-23,0.263574
IBM,12490,QMLE-Trade,1996-1-24,0.372455
IBM,12490,QMLE-Trade,1996-1-25,0.272634
IBM,12490,QMLE-Trade,1996-1-26,0.351992
IBM,12490,QMLE-Trade,1996-1-29,0.220076
IBM,12490,QMLE-Trade,1996-1-30,0.241581
IBM,12490,QMLE-Trade,1996-1-31,0.25671
IBM,12490,QMLE-Trade,1996-2-1,0.230067
IBM,12490,QMLE-Trade,1996-2-2,0.211518
IBM,12490,QMLE-Trade,1996-2-5,0.178397
IBM,12490,QMLE-Trade,1996-2-6,0.159637
IBM,12490,QMLE-Trade,1996-2-7,0.288097
IBM,12490,QMLE-Trade,1996-2-8,0.215398
IBM,12490,QMLE-Trade,1996-2-9,0.164322
IBM,12490,QMLE-Trade,1996-2-12,0.132937
IBM,12490,QMLE-Trade,1996-2-13,0.180614
IBM,12490,QMLE-Trade,1996-2-14,0.151577
IBM,12490,QMLE-Trade,1996-2-15,0.28986
IBM,12490,QMLE-Trade,1996-2-16,0.204919
IBM,12490,QMLE-Trade,1996-2-20,0.238371
IBM,12490,QMLE-Trade,1996-2-21,0.212541
IBM,12490,QMLE-Trade,1996-2-22,0.247641
IBM,12490,QMLE-Trade,1996-2-23,0.177317
