Symbol,PN,Type,Date,Volatility
KO,11308,QMLE-Trade,1996-1-2,0.144378
KO,11308,QMLE-Trade,1996-1-3,0.168623
KO,11308,QMLE-Trade,1996-1-4,0.180826
KO,11308,QMLE-Trade,1996-1-5,0.159112
KO,11308,QMLE-Trade,1996-1-8,0.115858
KO,11308,QMLE-Trade,1996-1-9,0.245344
KO,11308,QMLE-Trade,1996-1-10,0.179563
KO,11308,QMLE-Trade,1996-1-11,0.286109
KO,11308,QMLE-Trade,1996-1-12,0.283521
KO,11308,QMLE-Trade,1996-1-15,0.158131
KO,11308,QMLE-Trade,1996-1-16,0.228127
KO,11308,QMLE-Trade,1996-1-17,0.238784
KO,11308,QMLE-Trade,1996-1-18,0.1846
KO,11308,QMLE-Trade,1996-1-19,0.180025
KO,11308,QMLE-Trade,1996-1-22,0.149706
KO,11308,QMLE-Trade,1996-1-23,0.195396
KO,11308,QMLE-Trade,1996-1-24,0.184704
KO,11308,QMLE-Trade,1996-1-25,0.288066
KO,11308,QMLE-Trade,1996-1-26,0.149864
KO,11308,QMLE-Trade,1996-1-29,0.121124
KO,11308,QMLE-Trade,1996-1-30,0.107032
KO,11308,QMLE-Trade,1996-1-31,0.143783
KO,11308,QMLE-Trade,1996-2-1,0.12736
KO,11308,QMLE-Trade,1996-2-2,0.107761
KO,11308,QMLE-Trade,1996-2-5,0.127797
KO,11308,QMLE-Trade,1996-2-6,0.118286
KO,11308,QMLE-Trade,1996-2-7,0.168865
KO,11308,QMLE-Trade,1996-2-8,0.234877
KO,11308,QMLE-Trade,1996-2-9,0.194412
KO,11308,QMLE-Trade,1996-2-12,0.135877
KO,11308,QMLE-Trade,1996-2-13,0.352957
KO,11308,QMLE-Trade,1996-2-14,0.190403
KO,11308,QMLE-Trade,1996-2-15,0.186249
KO,11308,QMLE-Trade,1996-2-16,0.0971624
KO,11308,QMLE-Trade,1996-2-20,0.190896
KO,11308,QMLE-Trade,1996-2-21,0.196084
KO,11308,QMLE-Trade,1996-2-22,0.152229
KO,11308,QMLE-Trade,1996-2-23,0.230397
KO,11308,QMLE-Trade,1996-2-26,0.20251
KO,11308,QMLE-Trade,1996-2-27,0.183626
KO,11308,QMLE-Trade,1996-2-28,0.194834
KO,11308,QMLE-Trade,1996-2-29,0.308778
KO,11308,QMLE-Trade,1996-3-1,0.177447
KO,11308,QMLE-Trade,1996-3-4,0.207654
KO,11308,QMLE-Trade,1996-3-5,0.175124
KO,11308,QMLE-Trade,1996-3-6,0.142422
KO,11308,QMLE-Trade,1996-3-7,0.154079
KO,11308,QMLE-Trade,1996-3-8,0.270858
KO,11308,QMLE-Trade,1996-3-11,0.250844
KO,11308,QMLE-Trade,1996-3-12,0.20125
KO,11308,QMLE-Trade,1996-3-13,0.182341
KO,11308,QMLE-Trade,1996-3-14,0.168907
KO,11308,QMLE-Trade,1996-3-15,0.0828501
KO,11308,QMLE-Trade,1996-3-18,0.152133
KO,11308,QMLE-Trade,1996-3-19,0.143232
KO,11308,QMLE-Trade,1996-3-20,0.208576
KO,11308,QMLE-Trade,1996-3-21,0.140502
KO,11308,QMLE-Trade,1996-3-22,0.102998
KO,11308,QMLE-Trade,1996-3-25,0.0594142
KO,11308,QMLE-Trade,1996-3-26,0.142133
KO,11308,QMLE-Trade,1996-3-27,0.131647
KO,11308,QMLE-Trade,1996-3-28,0.0876395
KO,11308,QMLE-Trade,1996-3-29,0.127853
