Symbol,PN,Type,Date,Volatility
MCD,43449,QMLE-Trade,1996-1-2,0.253687
MCD,43449,QMLE-Trade,1996-1-3,0.213132
MCD,43449,QMLE-Trade,1996-1-4,0.383254
MCD,43449,QMLE-Trade,1996-1-5,0.226894
MCD,43449,QMLE-Trade,1996-1-8,0.0646971
MCD,43449,QMLE-Trade,1996-1-9,0.36519
MCD,43449,QMLE-Trade,1996-1-10,0.218113
MCD,43449,QMLE-Trade,1996-1-11,0.163137
MCD,43449,QMLE-Trade,1996-1-12,0.363561
MCD,43449,QMLE-Trade,1996-1-15,0.156342
MCD,43449,QMLE-Trade,1996-1-16,0.161983
MCD,43449,QMLE-Trade,1996-1-17,0.323787
MCD,43449,QMLE-Trade,1996-1-18,0.364535
MCD,43449,QMLE-Trade,1996-1-19,0.260064
MCD,43449,QMLE-Trade,1996-1-22,0.345694
MCD,43449,QMLE-Trade,1996-1-23,0.230591
MCD,43449,QMLE-Trade,1996-1-24,0.145924
MCD,43449,QMLE-Trade,1996-1-25,0.341486
MCD,43449,QMLE-Trade,1996-1-26,0.290483
MCD,43449,QMLE-Trade,1996-1-29,0.165038
MCD,43449,QMLE-Trade,1996-1-30,0.180297
MCD,43449,QMLE-Trade,1996-1-31,0.181961
MCD,43449,QMLE-Trade,1996-2-1,0.131808
MCD,43449,QMLE-Trade,1996-2-2,0.182946
MCD,43449,QMLE-Trade,1996-2-5,0.177757
MCD,43449,QMLE-Trade,1996-2-6,0.21983
MCD,43449,QMLE-Trade,1996-2-7,0.231906
MCD,43449,QMLE-Trade,1996-2-8,0.164291
MCD,43449,QMLE-Trade,1996-2-9,0.230245
MCD,43449,QMLE-Trade,1996-2-12,0.222576
MCD,43449,QMLE-Trade,1996-2-13,0.257008
MCD,43449,QMLE-Trade,1996-2-14,0.270342
MCD,43449,QMLE-Trade,1996-2-15,0.266228
MCD,43449,QMLE-Trade,1996-2-16,0.205492
MCD,43449,QMLE-Trade,1996-2-20,0.306605
MCD,43449,QMLE-Trade,1996-2-21,0.295506
MCD,43449,QMLE-Trade,1996-2-22,0.15133
MCD,43449,QMLE-Trade,1996-2-23,0.224881
MCD,43449,QMLE-Trade,1996-2-26,0.253913
MCD,43449,QMLE-Trade,1996-2-27,0.196079
MCD,43449,QMLE-Trade,1996-2-28,0.255805
MCD,43449,QMLE-Trade,1996-2-29,0.270249
MCD,43449,QMLE-Trade,1996-3-1,0.144874
MCD,43449,QMLE-Trade,1996-3-4,0.113556
MCD,43449,QMLE-Trade,1996-3-5,0.325528
MCD,43449,QMLE-Trade,1996-3-6,0.331165
MCD,43449,QMLE-Trade,1996-3-7,0.153807
MCD,43449,QMLE-Trade,1996-3-8,0.382227
