Symbol,PN,Type,Date,Volatility
MMM,22592,QMLE-Trade,1996-1-2,0.183517
MMM,22592,QMLE-Trade,1996-1-3,0.16136
MMM,22592,QMLE-Trade,1996-1-4,0.356924
MMM,22592,QMLE-Trade,1996-1-5,0.152417
MMM,22592,QMLE-Trade,1996-1-8,0.109038
MMM,22592,QMLE-Trade,1996-1-9,0.228838
MMM,22592,QMLE-Trade,1996-1-10,0.261592
MMM,22592,QMLE-Trade,1996-1-11,0.113723
MMM,22592,QMLE-Trade,1996-1-12,0.212118
MMM,22592,QMLE-Trade,1996-1-15,0.0925247
MMM,22592,QMLE-Trade,1996-1-16,0.226371
MMM,22592,QMLE-Trade,1996-1-17,0.294578
MMM,22592,QMLE-Trade,1996-1-18,0.241025
MMM,22592,QMLE-Trade,1996-1-19,0.0699432
MMM,22592,QMLE-Trade,1996-1-22,0.0461118
MMM,22592,QMLE-Trade,1996-1-23,0.144286
MMM,22592,QMLE-Trade,1996-1-24,0.114685
MMM,22592,QMLE-Trade,1996-1-25,0.177967
MMM,22592,QMLE-Trade,1996-1-26,0.180304
MMM,22592,QMLE-Trade,1996-1-29,0.114164
MMM,22592,QMLE-Trade,1996-1-30,0.196323
MMM,22592,QMLE-Trade,1996-1-31,0.234884
MMM,22592,QMLE-Trade,1996-2-1,0.381357
MMM,22592,QMLE-Trade,1996-2-2,0.371854
MMM,22592,QMLE-Trade,1996-2-5,0.304133
MMM,22592,QMLE-Trade,1996-2-6,0.133175
MMM,22592,QMLE-Trade,1996-2-7,0.145869
MMM,22592,QMLE-Trade,1996-2-8,0.211629
MMM,22592,QMLE-Trade,1996-2-9,0.251795
MMM,22592,QMLE-Trade,1996-2-12,0.155746
MMM,22592,QMLE-Trade,1996-2-13,0.234704
MMM,22592,QMLE-Trade,1996-2-14,0.286757
MMM,22592,QMLE-Trade,1996-2-15,0.225451
MMM,22592,QMLE-Trade,1996-2-16,0.157125
MMM,22592,QMLE-Trade,1996-2-20,0.267169
MMM,22592,QMLE-Trade,1996-2-21,0.224744
MMM,22592,QMLE-Trade,1996-2-22,0.271842
MMM,22592,QMLE-Trade,1996-2-23,0.392137
MMM,22592,QMLE-Trade,1996-2-26,0.197641
MMM,22592,QMLE-Trade,1996-2-27,0.271775
MMM,22592,QMLE-Trade,1996-2-28,0.045243
MMM,22592,QMLE-Trade,1996-2-29,0.178315
MMM,22592,QMLE-Trade,1996-3-1,0.230131
MMM,22592,QMLE-Trade,1996-3-4,0.151046
MMM,22592,QMLE-Trade,1996-3-5,0.0881616
MMM,22592,QMLE-Trade,1996-3-6,0.172468
MMM,22592,QMLE-Trade,1996-3-7,0.194845
MMM,22592,QMLE-Trade,1996-3-8,0.262806
MMM,22592,QMLE-Trade,1996-3-11,0.313801
MMM,22592,QMLE-Trade,1996-3-12,0.373908
MMM,22592,QMLE-Trade,1996-3-13,0.140818
MMM,22592,QMLE-Trade,1996-3-14,0.171693
MMM,22592,QMLE-Trade,1996-3-15,0.0387732
MMM,22592,QMLE-Trade,1996-3-18,0.213106
MMM,22592,QMLE-Trade,1996-3-19,0.168511
MMM,22592,QMLE-Trade,1996-3-20,0.0720777
MMM,22592,QMLE-Trade,1996-3-21,0.117021
MMM,22592,QMLE-Trade,1996-3-22,0.0758565
MMM,22592,QMLE-Trade,1996-3-25,0.222956
MMM,22592,QMLE-Trade,1996-3-26,0.129964
MMM,22592,QMLE-Trade,1996-3-27,0.0815967
MMM,22592,QMLE-Trade,1996-3-28,0.223533
MMM,22592,QMLE-Trade,1996-3-29,0.240764
MMM,22592,QMLE-Trade,1996-4-1,0.264576
MMM,22592,QMLE-Trade,1996-4-2,0.146121
MMM,22592,QMLE-Trade,1996-4-3,0.077699
MMM,22592,QMLE-Trade,1996-4-4,0.144183
MMM,22592,QMLE-Trade,1996-4-8,0.116405
MMM,22592,QMLE-Trade,1996-4-9,0.180901
MMM,22592,QMLE-Trade,1996-4-10,0.131816
MMM,22592,QMLE-Trade,1996-4-11,0.0935256
MMM,22592,QMLE-Trade,1996-4-12,0.0467536
MMM,22592,QMLE-Trade,1996-4-15,0.105329
MMM,22592,QMLE-Trade,1996-4-16,0.150826
MMM,22592,QMLE-Trade,1996-4-17,0.0952828
MMM,22592,QMLE-Trade,1996-4-18,0.0612108
MMM,22592,QMLE-Trade,1996-4-19,0.186864
MMM,22592,QMLE-Trade,1996-4-22,0.177984
MMM,22592,QMLE-Trade,1996-4-23,0.101591
MMM,22592,QMLE-Trade,1996-4-24,0.121964
MMM,22592,QMLE-Trade,1996-4-25,0.183901
MMM,22592,QMLE-Trade,1996-4-26,0.132283
MMM,22592,QMLE-Trade,1996-4-29,0.249009
MMM,22592,QMLE-Trade,1996-4-30,0.187472
MMM,22592,QMLE-Trade,1996-5-1,0.210089
MMM,22592,QMLE-Trade,1996-5-2,0.2464
MMM,22592,QMLE-Trade,1996-5-3,0.112924
MMM,22592,QMLE-Trade,1996-5-6,0.196179
MMM,22592,QMLE-Trade,1996-5-7,0.29205
MMM,22592,QMLE-Trade,1996-5-8,0.181865
MMM,22592,QMLE-Trade,1996-5-9,0.164329
MMM,22592,QMLE-Trade,1996-5-10,0.129909
MMM,22592,QMLE-Trade,1996-5-13,0.278373
MMM,22592,QMLE-Trade,1996-5-14,0.106843
MMM,22592,QMLE-Trade,1996-5-15,0.287951
MMM,22592,QMLE-Trade,1996-5-16,0.328912
MMM,22592,QMLE-Trade,1996-5-17,0.214756
MMM,22592,QMLE-Trade,1996-5-20,0.199788
MMM,22592,QMLE-Trade,1996-5-21,0.197484
MMM,22592,QMLE-Trade,1996-5-22,0.186095
MMM,22592,QMLE-Trade,1996-5-23,0.206026
MMM,22592,QMLE-Trade,1996-5-24,0.215222
MMM,22592,QMLE-Trade,1996-5-28,0.199482
MMM,22592,QMLE-Trade,1996-5-29,0.207704
MMM,22592,QMLE-Trade,1996-5-30,0.00140899
MMM,22592,QMLE-Trade,1996-5-31,0.133745
MMM,22592,QMLE-Trade,1996-6-3,0.145264
MMM,22592,QMLE-Trade,1996-6-4,0.0434775
MMM,22592,QMLE-Trade,1996-6-5,0.0985213
MMM,22592,QMLE-Trade,1996-6-6,0.139846
MMM,22592,QMLE-Trade,1996-6-7,0.221279
MMM,22592,QMLE-Trade,1996-6-10,0.0961626
MMM,22592,QMLE-Trade,1996-6-11,0.237514
MMM,22592,QMLE-Trade,1996-6-12,0.188744
MMM,22592,QMLE-Trade,1996-6-13,0.121888
MMM,22592,QMLE-Trade,1996-6-14,0.115889
MMM,22592,QMLE-Trade,1996-6-17,0.185457
MMM,22592,QMLE-Trade,1996-6-18,0.222856
MMM,22592,QMLE-Trade,1996-6-19,0.246851
MMM,22592,QMLE-Trade,1996-6-20,0.140474
MMM,22592,QMLE-Trade,1996-6-21,0.191494
MMM,22592,QMLE-Trade,1996-6-24,0.251471
MMM,22592,QMLE-Trade,1996-6-25,0.24767
MMM,22592,QMLE-Trade,1996-6-26,0.0971517
MMM,22592,QMLE-Trade,1996-6-27,0.1874
MMM,22592,QMLE-Trade,1996-6-28,0.171536
MMM,22592,QMLE-Trade,1996-7-1,0.315923
MMM,22592,QMLE-Trade,1996-7-2,0.243746
MMM,22592,QMLE-Trade,1996-7-3,0.269669
MMM,22592,QMLE-Trade,1996-7-5,0.328117
MMM,22592,QMLE-Trade,1996-7-8,0.236133
MMM,22592,QMLE-Trade,1996-7-9,0.0800487
MMM,22592,QMLE-Trade,1996-7-10,0.28276
MMM,22592,QMLE-Trade,1996-7-11,0.485933
MMM,22592,QMLE-Trade,1996-7-12,0.143596
MMM,22592,QMLE-Trade,1996-7-15,0.399083
MMM,22592,QMLE-Trade,1996-7-16,0.481809
MMM,22592,QMLE-Trade,1996-7-17,0.190651
MMM,22592,QMLE-Trade,1996-7-18,0.218485
MMM,22592,QMLE-Trade,1996-7-19,0.204899
MMM,22592,QMLE-Trade,1996-7-22,0.34377
MMM,22592,QMLE-Trade,1996-7-23,0.235117
MMM,22592,QMLE-Trade,1996-7-24,0.251932
MMM,22592,QMLE-Trade,1996-7-25,0.263151
MMM,22592,QMLE-Trade,1996-7-26,0.19179
MMM,22592,QMLE-Trade,1996-7-29,0.266434
MMM,22592,QMLE-Trade,1996-7-30,0.149891
MMM,22592,QMLE-Trade,1996-7-31,0.108592
MMM,22592,QMLE-Trade,1996-8-1,0.281261
MMM,22592,QMLE-Trade,1996-8-2,0.185117
MMM,22592,QMLE-Trade,1996-8-5,0.186589
MMM,22592,QMLE-Trade,1996-8-6,0.187087
MMM,22592,QMLE-Trade,1996-8-7,0.220037
MMM,22592,QMLE-Trade,1996-8-8,0.152562
MMM,22592,QMLE-Trade,1996-8-9,0.121636
MMM,22592,QMLE-Trade,1996-8-12,0.0641168
MMM,22592,QMLE-Trade,1996-8-13,0.0928699
MMM,22592,QMLE-Trade,1996-8-14,0.0499859
MMM,22592,QMLE-Trade,1996-8-15,0.127252
MMM,22592,QMLE-Trade,1996-8-16,0.0659766
MMM,22592,QMLE-Trade,1996-8-19,0.127158
MMM,22592,QMLE-Trade,1996-8-20,0.112214
MMM,22592,QMLE-Trade,1996-8-21,0.116834
MMM,22592,QMLE-Trade,1996-8-22,0.0372269
MMM,22592,QMLE-Trade,1996-8-23,0.103476
MMM,22592,QMLE-Trade,1996-8-26,0.158423
MMM,22592,QMLE-Trade,1996-8-27,0.203563
MMM,22592,QMLE-Trade,1996-8-28,0.134098
MMM,22592,QMLE-Trade,1996-8-29,0.253935
MMM,22592,QMLE-Trade,1996-8-30,0.273386
MMM,22592,QMLE-Trade,1996-9-3,0.0930759
MMM,22592,QMLE-Trade,1996-9-4,0.138446
MMM,22592,QMLE-Trade,1996-9-5,0.12945
MMM,22592,QMLE-Trade,1996-9-6,0.249002
MMM,22592,QMLE-Trade,1996-9-9,0.149611
MMM,22592,QMLE-Trade,1996-9-10,0.127074
MMM,22592,QMLE-Trade,1996-9-11,0.133243
MMM,22592,QMLE-Trade,1996-9-12,0.279156
MMM,22592,QMLE-Trade,1996-9-13,0.0549032
MMM,22592,QMLE-Trade,1996-9-16,0.0664681
MMM,22592,QMLE-Trade,1996-9-17,0.252899
MMM,22592,QMLE-Trade,1996-9-18,0.105943
