Symbol,PN,Type,Date,Volatility
MSFT,10107,QMLE-Trade,1996-1-2,0.297408
MSFT,10107,QMLE-Trade,1996-1-3,0.306841
MSFT,10107,QMLE-Trade,1996-1-4,0.322733
MSFT,10107,QMLE-Trade,1996-1-5,0.278608
MSFT,10107,QMLE-Trade,1996-1-8,0.0836246
MSFT,10107,QMLE-Trade,1996-1-9,0.346804
MSFT,10107,QMLE-Trade,1996-1-10,0.0449789
MSFT,10107,QMLE-Trade,1996-1-11,0.356288
MSFT,10107,QMLE-Trade,1996-1-12,0.313168
MSFT,10107,QMLE-Trade,1996-1-15,0.234681
MSFT,10107,QMLE-Trade,1996-1-16,0.319888
MSFT,10107,QMLE-Trade,1996-1-17,0.468477
MSFT,10107,QMLE-Trade,1996-1-18,0.286324
MSFT,10107,QMLE-Trade,1996-1-19,0.30998
MSFT,10107,QMLE-Trade,1996-1-22,0.261986
MSFT,10107,QMLE-Trade,1996-1-23,0.250681
MSFT,10107,QMLE-Trade,1996-1-24,0.245268
MSFT,10107,QMLE-Trade,1996-1-25,0.298726
MSFT,10107,QMLE-Trade,1996-1-26,0.220424
MSFT,10107,QMLE-Trade,1996-1-29,0.182558
MSFT,10107,QMLE-Trade,1996-1-30,0.121457
MSFT,10107,QMLE-Trade,1996-1-31,0.230649
MSFT,10107,QMLE-Trade,1996-2-1,0.190796
MSFT,10107,QMLE-Trade,1996-2-2,0.215695
MSFT,10107,QMLE-Trade,1996-2-5,0.321452
MSFT,10107,QMLE-Trade,1996-2-6,0.214763
MSFT,10107,QMLE-Trade,1996-2-7,0.162206
MSFT,10107,QMLE-Trade,1996-2-8,0.246896
MSFT,10107,QMLE-Trade,1996-2-9,0.224876
MSFT,10107,QMLE-Trade,1996-2-12,0.204954
MSFT,10107,QMLE-Trade,1996-2-13,0.21971
MSFT,10107,QMLE-Trade,1996-2-14,0.18609
MSFT,10107,QMLE-Trade,1996-2-15,0.17549
MSFT,10107,QMLE-Trade,1996-2-16,0.149346
MSFT,10107,QMLE-Trade,1996-2-20,0.146072
MSFT,10107,QMLE-Trade,1996-2-21,0.167774
MSFT,10107,QMLE-Trade,1996-2-22,0.158851
MSFT,10107,QMLE-Trade,1996-2-23,0.20393
MSFT,10107,QMLE-Trade,1996-2-26,0.18171
MSFT,10107,QMLE-Trade,1996-2-27,0.181397
MSFT,10107,QMLE-Trade,1996-2-28,0.153043
MSFT,10107,QMLE-Trade,1996-2-29,0.145039
MSFT,10107,QMLE-Trade,1996-3-1,0.240006
MSFT,10107,QMLE-Trade,1996-3-4,0.163135
MSFT,10107,QMLE-Trade,1996-3-5,0.158616
MSFT,10107,QMLE-Trade,1996-3-6,0.184786
MSFT,10107,QMLE-Trade,1996-3-7,0.13535
MSFT,10107,QMLE-Trade,1996-3-8,0.124715
MSFT,10107,QMLE-Trade,1996-3-11,0.207371
MSFT,10107,QMLE-Trade,1996-3-12,0.196035
MSFT,10107,QMLE-Trade,1996-3-13,0.18842
MSFT,10107,QMLE-Trade,1996-3-14,0.186433
MSFT,10107,QMLE-Trade,1996-3-15,0.204034
MSFT,10107,QMLE-Trade,1996-3-18,0.360342
MSFT,10107,QMLE-Trade,1996-3-19,0.198979
MSFT,10107,QMLE-Trade,1996-3-20,0.240943
MSFT,10107,QMLE-Trade,1996-3-21,0.219366
