Symbol,PN,Type,Date,Volatility
NKE,57665,QMLE-Trade,1996-1-2,0.294438
NKE,57665,QMLE-Trade,1996-1-3,0.22238
NKE,57665,QMLE-Trade,1996-1-4,0.33025
NKE,57665,QMLE-Trade,1996-1-5,0.220011
NKE,57665,QMLE-Trade,1996-1-8,0.251953
NKE,57665,QMLE-Trade,1996-1-9,0.360551
NKE,57665,QMLE-Trade,1996-1-10,0.223417
NKE,57665,QMLE-Trade,1996-1-11,0.48678
NKE,57665,QMLE-Trade,1996-1-12,0.320993
NKE,57665,QMLE-Trade,1996-1-15,0.311923
NKE,57665,QMLE-Trade,1996-1-16,0.255348
NKE,57665,QMLE-Trade,1996-1-17,0.198367
NKE,57665,QMLE-Trade,1996-1-18,0.374837
NKE,57665,QMLE-Trade,1996-1-19,0.216618
NKE,57665,QMLE-Trade,1996-1-22,0.258898
NKE,57665,QMLE-Trade,1996-1-23,0.105266
NKE,57665,QMLE-Trade,1996-1-24,0.241788
NKE,57665,QMLE-Trade,1996-1-25,0.168863
NKE,57665,QMLE-Trade,1996-1-26,0.000711755
NKE,57665,QMLE-Trade,1996-1-29,0.000535692
NKE,57665,QMLE-Trade,1996-1-30,0.184287
NKE,57665,QMLE-Trade,1996-1-31,0.178334
NKE,57665,QMLE-Trade,1996-2-1,0.587216
NKE,57665,QMLE-Trade,1996-2-2,0.345017
NKE,57665,QMLE-Trade,1996-2-5,0.117614
NKE,57665,QMLE-Trade,1996-2-6,0.179519
NKE,57665,QMLE-Trade,1996-2-7,0.319067
NKE,57665,QMLE-Trade,1996-2-8,0.282548
NKE,57665,QMLE-Trade,1996-2-9,0.138595
NKE,57665,QMLE-Trade,1996-2-12,0.0250924
NKE,57665,QMLE-Trade,1996-2-13,0.166443
NKE,57665,QMLE-Trade,1996-2-14,0.446674
NKE,57665,QMLE-Trade,1996-2-15,0.375561
NKE,57665,QMLE-Trade,1996-2-16,0.333561
NKE,57665,QMLE-Trade,1996-2-20,0.228738
NKE,57665,QMLE-Trade,1996-2-21,0.251988
NKE,57665,QMLE-Trade,1996-2-22,0.149488
NKE,57665,QMLE-Trade,1996-2-23,0.371969
NKE,57665,QMLE-Trade,1996-2-26,0.227974
NKE,57665,QMLE-Trade,1996-2-27,0.23998
NKE,57665,QMLE-Trade,1996-2-28,0.17702
NKE,57665,QMLE-Trade,1996-2-29,0.359161
NKE,57665,QMLE-Trade,1996-3-1,0.400625
NKE,57665,QMLE-Trade,1996-3-4,0.373087
NKE,57665,QMLE-Trade,1996-3-5,0.355263
NKE,57665,QMLE-Trade,1996-3-6,0.299138
NKE,57665,QMLE-Trade,1996-3-7,0.202947
NKE,57665,QMLE-Trade,1996-3-8,0.521482
NKE,57665,QMLE-Trade,1996-3-11,0.429563
NKE,57665,QMLE-Trade,1996-3-12,0.366558
NKE,57665,QMLE-Trade,1996-3-13,0.224735
NKE,57665,QMLE-Trade,1996-3-14,0.393205
NKE,57665,QMLE-Trade,1996-3-15,0.446113
NKE,57665,QMLE-Trade,1996-3-18,0.368704
NKE,57665,QMLE-Trade,1996-3-19,0.266789
NKE,57665,QMLE-Trade,1996-3-20,0.225742
NKE,57665,QMLE-Trade,1996-3-21,0.188274
NKE,57665,QMLE-Trade,1996-3-22,0.23633
NKE,57665,QMLE-Trade,1996-3-25,0.298874
NKE,57665,QMLE-Trade,1996-3-26,0.178055
NKE,57665,QMLE-Trade,1996-3-27,0.232597
NKE,57665,QMLE-Trade,1996-3-28,0.359351
NKE,57665,QMLE-Trade,1996-3-29,0.152393
NKE,57665,QMLE-Trade,1996-4-1,0.280229
NKE,57665,QMLE-Trade,1996-4-2,0.228816
NKE,57665,QMLE-Trade,1996-4-3,0.3238
NKE,57665,QMLE-Trade,1996-4-4,0.35592
NKE,57665,QMLE-Trade,1996-4-8,0.240482
NKE,57665,QMLE-Trade,1996-4-9,0.459386
NKE,57665,QMLE-Trade,1996-4-10,0.270987
NKE,57665,QMLE-Trade,1996-4-11,0.41013
NKE,57665,QMLE-Trade,1996-4-12,0.235977
NKE,57665,QMLE-Trade,1996-4-15,0.12662
NKE,57665,QMLE-Trade,1996-4-16,0.320902
NKE,57665,QMLE-Trade,1996-4-17,0.50552
NKE,57665,QMLE-Trade,1996-4-18,0.327978
NKE,57665,QMLE-Trade,1996-4-19,0.0783349
NKE,57665,QMLE-Trade,1996-4-22,0.140041
NKE,57665,QMLE-Trade,1996-4-23,0.0319114
NKE,57665,QMLE-Trade,1996-4-24,0.18717
NKE,57665,QMLE-Trade,1996-4-25,0.226923
NKE,57665,QMLE-Trade,1996-4-26,0.117966
NKE,57665,QMLE-Trade,1996-4-29,0.051614
NKE,57665,QMLE-Trade,1996-4-30,0.26011
NKE,57665,QMLE-Trade,1996-5-1,0.271478
NKE,57665,QMLE-Trade,1996-5-2,0.295088
NKE,57665,QMLE-Trade,1996-5-3,0.2052
NKE,57665,QMLE-Trade,1996-5-6,0.202318
NKE,57665,QMLE-Trade,1996-5-7,0.271504
NKE,57665,QMLE-Trade,1996-5-8,0.385002
NKE,57665,QMLE-Trade,1996-5-9,0.18874
NKE,57665,QMLE-Trade,1996-5-10,0.279255
NKE,57665,QMLE-Trade,1996-5-13,0.3332
NKE,57665,QMLE-Trade,1996-5-14,0.147173
NKE,57665,QMLE-Trade,1996-5-15,0.258766
NKE,57665,QMLE-Trade,1996-5-16,0.147537
NKE,57665,QMLE-Trade,1996-5-17,0.207982
NKE,57665,QMLE-Trade,1996-5-20,0.22846
NKE,57665,QMLE-Trade,1996-5-21,0.311287
NKE,57665,QMLE-Trade,1996-5-22,0.454796
