Symbol,PN,Type,Date,Volatility
NVDA,86580,QMLE-Trade,1999-1-22,2.48236
NVDA,86580,QMLE-Trade,1999-1-25,1.05777
NVDA,86580,QMLE-Trade,1999-1-26,1.19209
NVDA,86580,QMLE-Trade,1999-1-27,1.05082
NVDA,86580,QMLE-Trade,1999-1-28,0.0984726
NVDA,86580,QMLE-Trade,1999-1-29,0.376227
NVDA,86580,QMLE-Trade,1999-2-1,0.267404
NVDA,86580,QMLE-Trade,1999-2-2,1.2217
NVDA,86580,QMLE-Trade,1999-2-3,0.509548
NVDA,86580,QMLE-Trade,1999-2-4,0.599408
NVDA,86580,QMLE-Trade,1999-2-5,0.323879
NVDA,86580,QMLE-Trade,1999-2-8,0.339737
NVDA,86580,QMLE-Trade,1999-2-9,0.70133
NVDA,86580,QMLE-Trade,1999-2-10,0.314041
NVDA,86580,QMLE-Trade,1999-2-11,1.61907
NVDA,86580,QMLE-Trade,1999-2-12,0.73489
NVDA,86580,QMLE-Trade,1999-2-16,1.52368
NVDA,86580,QMLE-Trade,1999-2-17,0.758747
NVDA,86580,QMLE-Trade,1999-2-18,0.295735
NVDA,86580,QMLE-Trade,1999-2-19,0.67714
NVDA,86580,QMLE-Trade,1999-2-22,0.809966
NVDA,86580,QMLE-Trade,1999-2-23,0.812034
NVDA,86580,QMLE-Trade,1999-2-24,1.47327
NVDA,86580,QMLE-Trade,1999-2-25,0.851812
NVDA,86580,QMLE-Trade,1999-2-26,1.02361
NVDA,86580,QMLE-Trade,1999-3-1,0.892168
NVDA,86580,QMLE-Trade,1999-3-2,0.0188155
NVDA,86580,QMLE-Trade,1999-3-3,0.581728
NVDA,86580,QMLE-Trade,1999-3-4,0.764568
NVDA,86580,QMLE-Trade,1999-3-5,0.557454
NVDA,86580,QMLE-Trade,1999-3-8,0.56974
NVDA,86580,QMLE-Trade,1999-3-9,0.386331
NVDA,86580,QMLE-Trade,1999-3-10,0.448371
NVDA,86580,QMLE-Trade,1999-3-11,0.333736
NVDA,86580,QMLE-Trade,1999-3-12,0.472743
NVDA,86580,QMLE-Trade,1999-3-15,0.426826
