Symbol,PN,Type,Date,Volatility
PG,18163,QMLE-Trade,1996-1-2,0.189741
PG,18163,QMLE-Trade,1996-1-3,0.259135
PG,18163,QMLE-Trade,1996-1-4,0.400582
PG,18163,QMLE-Trade,1996-1-5,0.145346
PG,18163,QMLE-Trade,1996-1-8,0.296783
PG,18163,QMLE-Trade,1996-1-9,0.179851
PG,18163,QMLE-Trade,1996-1-10,0.368484
PG,18163,QMLE-Trade,1996-1-11,0.292913
PG,18163,QMLE-Trade,1996-1-12,0.265688
PG,18163,QMLE-Trade,1996-1-15,0.0994373
PG,18163,QMLE-Trade,1996-1-16,0.333673
PG,18163,QMLE-Trade,1996-1-17,0.478581
PG,18163,QMLE-Trade,1996-1-18,0.173773
PG,18163,QMLE-Trade,1996-1-19,0.171149
PG,18163,QMLE-Trade,1996-1-22,0.232724
PG,18163,QMLE-Trade,1996-1-23,0.219574
PG,18163,QMLE-Trade,1996-1-24,0.36029
PG,18163,QMLE-Trade,1996-1-25,0.369999
PG,18163,QMLE-Trade,1996-1-26,0.161368
PG,18163,QMLE-Trade,1996-1-29,0.244076
PG,18163,QMLE-Trade,1996-1-30,0.229656
PG,18163,QMLE-Trade,1996-1-31,0.352077
PG,18163,QMLE-Trade,1996-2-1,0.2705
PG,18163,QMLE-Trade,1996-2-2,0.226379
PG,18163,QMLE-Trade,1996-2-5,0.214301
PG,18163,QMLE-Trade,1996-2-6,0.190672
PG,18163,QMLE-Trade,1996-2-7,0.130074
PG,18163,QMLE-Trade,1996-2-8,0.277867
PG,18163,QMLE-Trade,1996-2-9,0.402423
PG,18163,QMLE-Trade,1996-2-12,0.228532
PG,18163,QMLE-Trade,1996-2-13,0.313132
PG,18163,QMLE-Trade,1996-2-14,0.347539
PG,18163,QMLE-Trade,1996-2-15,0.233337
PG,18163,QMLE-Trade,1996-2-16,0.246844
PG,18163,QMLE-Trade,1996-2-20,0.311992
PG,18163,QMLE-Trade,1996-2-21,0.19087
PG,18163,QMLE-Trade,1996-2-22,0.176526
PG,18163,QMLE-Trade,1996-2-23,0.214907
PG,18163,QMLE-Trade,1996-2-26,0.173504
PG,18163,QMLE-Trade,1996-2-27,0.205598
PG,18163,QMLE-Trade,1996-2-28,0.2365
PG,18163,QMLE-Trade,1996-2-29,0.211879
PG,18163,QMLE-Trade,1996-3-1,0.22926
PG,18163,QMLE-Trade,1996-3-4,0.225586
PG,18163,QMLE-Trade,1996-3-5,0.156424
PG,18163,QMLE-Trade,1996-3-6,0.169483
PG,18163,QMLE-Trade,1996-3-7,0.232924
PG,18163,QMLE-Trade,1996-3-8,0.329264
PG,18163,QMLE-Trade,1996-3-11,0.289634
PG,18163,QMLE-Trade,1996-3-12,0.283684
PG,18163,QMLE-Trade,1996-3-13,0.20666
PG,18163,QMLE-Trade,1996-3-14,0.176475
PG,18163,QMLE-Trade,1996-3-15,0.248612
PG,18163,QMLE-Trade,1996-3-18,0.156496
PG,18163,QMLE-Trade,1996-3-19,0.129056
PG,18163,QMLE-Trade,1996-3-20,0.199599
PG,18163,QMLE-Trade,1996-3-21,0.0698186
PG,18163,QMLE-Trade,1996-3-22,0.130744
PG,18163,QMLE-Trade,1996-3-25,0.188288
PG,18163,QMLE-Trade,1996-3-26,0.175638
PG,18163,QMLE-Trade,1996-3-27,0.215907
PG,18163,QMLE-Trade,1996-3-28,0.138248
PG,18163,QMLE-Trade,1996-3-29,0.179421
PG,18163,QMLE-Trade,1996-4-1,0.0879238
PG,18163,QMLE-Trade,1996-4-2,0.165866
PG,18163,QMLE-Trade,1996-4-3,0.124973
PG,18163,QMLE-Trade,1996-4-4,0.048104
PG,18163,QMLE-Trade,1996-4-8,0.15686
PG,18163,QMLE-Trade,1996-4-9,0.202476
PG,18163,QMLE-Trade,1996-4-10,0.316436
PG,18163,QMLE-Trade,1996-4-11,0.456879
PG,18163,QMLE-Trade,1996-4-12,0.269616
PG,18163,QMLE-Trade,1996-4-15,0.186546
PG,18163,QMLE-Trade,1996-4-16,0.181337
PG,18163,QMLE-Trade,1996-4-17,0.22492
PG,18163,QMLE-Trade,1996-4-18,0.110813
PG,18163,QMLE-Trade,1996-4-19,0.0745883
PG,18163,QMLE-Trade,1996-4-22,0.16639
PG,18163,QMLE-Trade,1996-4-23,0.0650569
PG,18163,QMLE-Trade,1996-4-24,0.125764
PG,18163,QMLE-Trade,1996-4-25,0.325594
PG,18163,QMLE-Trade,1996-4-26,0.204137
PG,18163,QMLE-Trade,1996-4-29,0.121013
PG,18163,QMLE-Trade,1996-4-30,0.0602924
PG,18163,QMLE-Trade,1996-5-1,0.186962
PG,18163,QMLE-Trade,1996-5-2,0.240776
PG,18163,QMLE-Trade,1996-5-3,0.242633
PG,18163,QMLE-Trade,1996-5-6,0.20677
PG,18163,QMLE-Trade,1996-5-7,0.0680918
PG,18163,QMLE-Trade,1996-5-8,0.217554
PG,18163,QMLE-Trade,1996-5-9,0.15436
PG,18163,QMLE-Trade,1996-5-10,0.142039
PG,18163,QMLE-Trade,1996-5-13,0.136228
PG,18163,QMLE-Trade,1996-5-14,0.179948
PG,18163,QMLE-Trade,1996-5-15,0.146889
PG,18163,QMLE-Trade,1996-5-16,0.198623
PG,18163,QMLE-Trade,1996-5-17,0.119239
PG,18163,QMLE-Trade,1996-5-20,0.134499
PG,18163,QMLE-Trade,1996-5-21,0.108446
PG,18163,QMLE-Trade,1996-5-22,0.124509
PG,18163,QMLE-Trade,1996-5-23,0.202423
PG,18163,QMLE-Trade,1996-5-24,0.126964
PG,18163,QMLE-Trade,1996-5-28,0.225227
PG,18163,QMLE-Trade,1996-5-29,0.211363
PG,18163,QMLE-Trade,1996-5-30,0.204556
PG,18163,QMLE-Trade,1996-5-31,0.144053
PG,18163,QMLE-Trade,1996-6-3,0.0658911
PG,18163,QMLE-Trade,1996-6-4,0.194434
PG,18163,QMLE-Trade,1996-6-5,0.171936
PG,18163,QMLE-Trade,1996-6-6,0.183275
PG,18163,QMLE-Trade,1996-6-7,0.240814
PG,18163,QMLE-Trade,1996-6-10,0.191228
PG,18163,QMLE-Trade,1996-6-11,0.171144
