Symbol,PN,Type,Date,Volatility
SHW,36468,QMLE-Trade,1996-1-2,0.216802
SHW,36468,QMLE-Trade,1996-1-3,0.246815
SHW,36468,QMLE-Trade,1996-1-4,0.332221
SHW,36468,QMLE-Trade,1996-1-5,0.237851
SHW,36468,QMLE-Trade,1996-1-9,0.480544
SHW,36468,QMLE-Trade,1996-1-10,0.438526
SHW,36468,QMLE-Trade,1996-1-11,0.146816
SHW,36468,QMLE-Trade,1996-1-12,0.11609
SHW,36468,QMLE-Trade,1996-1-15,0.0889243
SHW,36468,QMLE-Trade,1996-1-16,0.244091
SHW,36468,QMLE-Trade,1996-1-17,0.107023
SHW,36468,QMLE-Trade,1996-1-18,0.185417
SHW,36468,QMLE-Trade,1996-1-19,0.134182
SHW,36468,QMLE-Trade,1996-1-22,0.187904
SHW,36468,QMLE-Trade,1996-1-23,0.220059
SHW,36468,QMLE-Trade,1996-1-24,0.0862374
SHW,36468,QMLE-Trade,1996-1-25,0.170247
SHW,36468,QMLE-Trade,1996-1-26,0.293817
SHW,36468,QMLE-Trade,1996-1-29,0.133885
SHW,36468,QMLE-Trade,1996-1-30,0.0416055
SHW,36468,QMLE-Trade,1996-1-31,0.0793452
SHW,36468,QMLE-Trade,1996-2-1,0.00402837
SHW,36468,QMLE-Trade,1996-2-2,0.127523
SHW,36468,QMLE-Trade,1996-2-5,0.316035
SHW,36468,QMLE-Trade,1996-2-6,0.0834926
SHW,36468,QMLE-Trade,1996-2-7,0.224065
SHW,36468,QMLE-Trade,1996-2-8,0.262344
SHW,36468,QMLE-Trade,1996-2-9,0.0821701
SHW,36468,QMLE-Trade,1996-2-12,0.32475
SHW,36468,QMLE-Trade,1996-2-13,0.149508
SHW,36468,QMLE-Trade,1996-2-14,0.183206
SHW,36468,QMLE-Trade,1996-2-15,0.176814
SHW,36468,QMLE-Trade,1996-2-16,0.18798
SHW,36468,QMLE-Trade,1996-2-20,0.00310279
SHW,36468,QMLE-Trade,1996-2-21,0.216723
SHW,36468,QMLE-Trade,1996-2-22,0.438636
SHW,36468,QMLE-Trade,1996-2-23,0.588797
SHW,36468,QMLE-Trade,1996-2-26,0.3546
SHW,36468,QMLE-Trade,1996-2-27,0.225742
SHW,36468,QMLE-Trade,1996-2-28,0.0973399
SHW,36468,QMLE-Trade,1996-2-29,0.00921476
SHW,36468,QMLE-Trade,1996-3-1,0.148461
SHW,36468,QMLE-Trade,1996-3-4,0.113462
SHW,36468,QMLE-Trade,1996-3-5,0.250714
SHW,36468,QMLE-Trade,1996-3-6,0.186481
SHW,36468,QMLE-Trade,1996-3-7,0.25392
SHW,36468,QMLE-Trade,1996-3-8,0.441804
SHW,36468,QMLE-Trade,1996-3-11,0.46936
SHW,36468,QMLE-Trade,1996-3-12,0.495436
SHW,36468,QMLE-Trade,1996-3-13,0.122105
SHW,36468,QMLE-Trade,1996-3-14,0.229168
SHW,36468,QMLE-Trade,1996-3-15,0.117569
SHW,36468,QMLE-Trade,1996-3-18,0.446659
SHW,36468,QMLE-Trade,1996-3-19,0.141615
SHW,36468,QMLE-Trade,1996-3-20,0.554287
SHW,36468,QMLE-Trade,1996-3-21,0.0170339
SHW,36468,QMLE-Trade,1996-3-22,0.0124503
SHW,36468,QMLE-Trade,1996-3-25,0.320814
SHW,36468,QMLE-Trade,1996-3-26,0.223807
SHW,36468,QMLE-Trade,1996-3-27,0.0470752
SHW,36468,QMLE-Trade,1996-3-28,0.134394
SHW,36468,QMLE-Trade,1996-3-29,0.179009
SHW,36468,QMLE-Trade,1996-4-1,0.0426092
SHW,36468,QMLE-Trade,1996-4-2,0.00674316
SHW,36468,QMLE-Trade,1996-4-3,0.132516
SHW,36468,QMLE-Trade,1996-4-4,0.216928
SHW,36468,QMLE-Trade,1996-4-8,0.305864
SHW,36468,QMLE-Trade,1996-4-9,0.156971
SHW,36468,QMLE-Trade,1996-4-10,0.101904
SHW,36468,QMLE-Trade,1996-4-11,0.356641
SHW,36468,QMLE-Trade,1996-4-12,0.0846502
SHW,36468,QMLE-Trade,1996-4-15,0.206745
SHW,36468,QMLE-Trade,1996-4-16,0.292037
SHW,36468,QMLE-Trade,1996-4-17,0.148891
SHW,36468,QMLE-Trade,1996-4-18,0.276897
SHW,36468,QMLE-Trade,1996-4-19,0.101068
SHW,36468,QMLE-Trade,1996-4-22,0.0614842
SHW,36468,QMLE-Trade,1996-4-23,0.012201
SHW,36468,QMLE-Trade,1996-4-24,0.185979
SHW,36468,QMLE-Trade,1996-4-25,0.130583
SHW,36468,QMLE-Trade,1996-4-26,0.164671
SHW,36468,QMLE-Trade,1996-4-29,0.404105
SHW,36468,QMLE-Trade,1996-4-30,0.187866
SHW,36468,QMLE-Trade,1996-5-1,0.00876445
SHW,36468,QMLE-Trade,1996-5-2,0.221045
SHW,36468,QMLE-Trade,1996-5-3,0.226298
SHW,36468,QMLE-Trade,1996-5-6,0.133497
SHW,36468,QMLE-Trade,1996-5-7,0.000327717
SHW,36468,QMLE-Trade,1996-5-8,0.208906
SHW,36468,QMLE-Trade,1996-5-9,0.0742757
SHW,36468,QMLE-Trade,1996-5-10,0.31985
SHW,36468,QMLE-Trade,1996-5-13,0.0942516
SHW,36468,QMLE-Trade,1996-5-14,0.0600296
SHW,36468,QMLE-Trade,1996-5-15,0.0729984
SHW,36468,QMLE-Trade,1996-5-16,0.182123
SHW,36468,QMLE-Trade,1996-5-17,0.0556727
SHW,36468,QMLE-Trade,1996-5-20,0.249337
SHW,36468,QMLE-Trade,1996-5-21,0.108162
SHW,36468,QMLE-Trade,1996-5-22,0.310212
SHW,36468,QMLE-Trade,1996-5-23,0.306411
SHW,36468,QMLE-Trade,1996-5-24,0.31303
SHW,36468,QMLE-Trade,1996-5-28,0.138937
SHW,36468,QMLE-Trade,1996-5-29,0.11609
SHW,36468,QMLE-Trade,1996-5-30,0.212981
SHW,36468,QMLE-Trade,1996-5-31,0.173084
SHW,36468,QMLE-Trade,1996-6-3,0.00768855
SHW,36468,QMLE-Trade,1996-6-4,0.27227
SHW,36468,QMLE-Trade,1996-6-5,0.171515
SHW,36468,QMLE-Trade,1996-6-6,0.0372802
SHW,36468,QMLE-Trade,1996-6-7,0.396737
SHW,36468,QMLE-Trade,1996-6-10,0.0138377
SHW,36468,QMLE-Trade,1996-6-11,0.138296
SHW,36468,QMLE-Trade,1996-6-12,0.282753
SHW,36468,QMLE-Trade,1996-6-13,0.116863
SHW,36468,QMLE-Trade,1996-6-14,0.0229241
SHW,36468,QMLE-Trade,1996-6-17,0.267415
SHW,36468,QMLE-Trade,1996-6-18,0.189631
SHW,36468,QMLE-Trade,1996-6-19,0.0795176
SHW,36468,QMLE-Trade,1996-6-20,0.00150397
SHW,36468,QMLE-Trade,1996-6-21,0.0431488
SHW,36468,QMLE-Trade,1996-6-24,0.00497693
SHW,36468,QMLE-Trade,1996-6-25,0.320412
SHW,36468,QMLE-Trade,1996-6-26,0.196812
SHW,36468,QMLE-Trade,1996-6-27,0.304762
SHW,36468,QMLE-Trade,1996-6-28,0.218014
SHW,36468,QMLE-Trade,1996-7-1,0.00451497
SHW,36468,QMLE-Trade,1996-7-2,0.125129
SHW,36468,QMLE-Trade,1996-7-3,0.248088
SHW,36468,QMLE-Trade,1996-7-5,0.134538
SHW,36468,QMLE-Trade,1996-7-8,0.193799
SHW,36468,QMLE-Trade,1996-7-9,0.255931
SHW,36468,QMLE-Trade,1996-7-10,0.278095
SHW,36468,QMLE-Trade,1996-7-11,0.500632
SHW,36468,QMLE-Trade,1996-7-12,0.324407
SHW,36468,QMLE-Trade,1996-7-15,0.305296
SHW,36468,QMLE-Trade,1996-7-16,0.214276
SHW,36468,QMLE-Trade,1996-7-17,0.193303
SHW,36468,QMLE-Trade,1996-7-18,0.235609
SHW,36468,QMLE-Trade,1996-7-19,0.374509
SHW,36468,QMLE-Trade,1996-7-22,0.0334034
SHW,36468,QMLE-Trade,1996-7-23,0.175646
SHW,36468,QMLE-Trade,1996-7-24,0.00126518
SHW,36468,QMLE-Trade,1996-7-25,0.178129
SHW,36468,QMLE-Trade,1996-7-26,0.127678
SHW,36468,QMLE-Trade,1996-7-29,0.0495899
SHW,36468,QMLE-Trade,1996-7-31,0.15302
SHW,36468,QMLE-Trade,1996-8-1,0.343201
SHW,36468,QMLE-Trade,1996-8-2,0.00989516
SHW,36468,QMLE-Trade,1996-8-5,0.259104
SHW,36468,QMLE-Trade,1996-8-6,0.00948111
SHW,36468,QMLE-Trade,1996-8-7,0.00631231
SHW,36468,QMLE-Trade,1996-8-8,0.109644
SHW,36468,QMLE-Trade,1996-8-9,0.0181357
SHW,36468,QMLE-Trade,1996-8-12,0.190623
SHW,36468,QMLE-Trade,1996-8-13,0.219477
SHW,36468,QMLE-Trade,1996-8-14,0.0570012
SHW,36468,QMLE-Trade,1996-8-15,0.158411
SHW,36468,QMLE-Trade,1996-8-16,0.039279
SHW,36468,QMLE-Trade,1996-8-19,0.0093557
SHW,36468,QMLE-Trade,1996-8-20,0.0233173
SHW,36468,QMLE-Trade,1996-8-21,0.0242439
SHW,36468,QMLE-Trade,1996-8-23,0.0544692
SHW,36468,QMLE-Trade,1996-8-26,0.0514562
