Symbol,PN,Type,Date,Volatility
WMT,55976,QMLE-Trade,1996-1-2,0.349235
WMT,55976,QMLE-Trade,1996-1-3,0.339768
WMT,55976,QMLE-Trade,1996-1-4,0.28005
WMT,55976,QMLE-Trade,1996-1-5,0.162929
WMT,55976,QMLE-Trade,1996-1-8,0.165305
WMT,55976,QMLE-Trade,1996-1-9,0.36497
WMT,55976,QMLE-Trade,1996-1-10,0.302318
WMT,55976,QMLE-Trade,1996-1-11,0.169549
WMT,55976,QMLE-Trade,1996-1-12,0.284969
WMT,55976,QMLE-Trade,1996-1-15,0.0823924
WMT,55976,QMLE-Trade,1996-1-16,0.18528
WMT,55976,QMLE-Trade,1996-1-17,0.469533
WMT,55976,QMLE-Trade,1996-1-18,0.472859
WMT,55976,QMLE-Trade,1996-1-19,0.244883
WMT,55976,QMLE-Trade,1996-1-22,0.319698
WMT,55976,QMLE-Trade,1996-1-23,0.0768083
WMT,55976,QMLE-Trade,1996-1-24,0.252562
WMT,55976,QMLE-Trade,1996-1-25,0.0122848
WMT,55976,QMLE-Trade,1996-1-26,0.0218436
WMT,55976,QMLE-Trade,1996-1-29,0.116583
WMT,55976,QMLE-Trade,1996-1-30,0.120118
WMT,55976,QMLE-Trade,1996-1-31,0.268561
WMT,55976,QMLE-Trade,1996-2-1,0.31964
WMT,55976,QMLE-Trade,1996-2-2,0.297389
WMT,55976,QMLE-Trade,1996-2-5,0.263771
WMT,55976,QMLE-Trade,1996-2-6,0.257294
WMT,55976,QMLE-Trade,1996-2-7,0.106149
WMT,55976,QMLE-Trade,1996-2-8,0.172662
WMT,55976,QMLE-Trade,1996-2-9,0.220913
WMT,55976,QMLE-Trade,1996-2-12,0.234517
WMT,55976,QMLE-Trade,1996-2-13,0.340939
WMT,55976,QMLE-Trade,1996-2-14,0.305551
WMT,55976,QMLE-Trade,1996-2-15,0.265303
WMT,55976,QMLE-Trade,1996-2-16,0.119666
WMT,55976,QMLE-Trade,1996-2-20,0.222512
WMT,55976,QMLE-Trade,1996-2-21,0.427214
WMT,55976,QMLE-Trade,1996-2-22,0.252441
WMT,55976,QMLE-Trade,1996-2-23,0.537322
WMT,55976,QMLE-Trade,1996-2-26,0.274064
WMT,55976,QMLE-Trade,1996-2-27,0.540018
WMT,55976,QMLE-Trade,1996-2-28,0.387639
WMT,55976,QMLE-Trade,1996-2-29,0.3364
WMT,55976,QMLE-Trade,1996-3-1,0.413135
WMT,55976,QMLE-Trade,1996-3-4,0.377077
WMT,55976,QMLE-Trade,1996-3-5,0.187919
WMT,55976,QMLE-Trade,1996-3-6,0.15597
WMT,55976,QMLE-Trade,1996-3-7,0.252917
WMT,55976,QMLE-Trade,1996-3-8,0.465082
WMT,55976,QMLE-Trade,1996-3-11,0.275457
WMT,55976,QMLE-Trade,1996-3-12,0.366458
WMT,55976,QMLE-Trade,1996-3-13,0.255193
WMT,55976,QMLE-Trade,1996-3-14,0.358247
