Symbol,PN,Type,Date,Volatility
XLF,86455,QMLE-Trade,1998-12-22,0.129897
XLF,86455,QMLE-Trade,1998-12-23,0.139623
XLF,86455,QMLE-Trade,1998-12-24,0.0604971
XLF,86455,QMLE-Trade,1998-12-28,0.190319
XLF,86455,QMLE-Trade,1998-12-29,0.124631
XLF,86455,QMLE-Trade,1998-12-30,0.0263255
XLF,86455,QMLE-Trade,1998-12-31,0.11476
XLF,86455,QMLE-Trade,1999-1-4,0.451065
XLF,86455,QMLE-Trade,1999-1-5,0.159458
XLF,86455,QMLE-Trade,1999-1-6,0.158387
XLF,86455,QMLE-Trade,1999-1-7,0.260409
XLF,86455,QMLE-Trade,1999-1-8,0.155798
XLF,86455,QMLE-Trade,1999-1-11,0.416979
XLF,86455,QMLE-Trade,1999-1-12,0.230449
XLF,86455,QMLE-Trade,1999-1-13,0.428322
XLF,86455,QMLE-Trade,1999-1-14,0.293508
XLF,86455,QMLE-Trade,1999-1-15,0.175086
XLF,86455,QMLE-Trade,1999-1-19,0.401756
XLF,86455,QMLE-Trade,1999-1-20,0.194866
XLF,86455,QMLE-Trade,1999-1-21,0.191099
XLF,86455,QMLE-Trade,1999-1-22,0.00793011
XLF,86455,QMLE-Trade,1999-1-25,0.121866
XLF,86455,QMLE-Trade,1999-1-26,0.160036
XLF,86455,QMLE-Trade,1999-1-27,0.177045
XLF,86455,QMLE-Trade,1999-1-28,0.214673
XLF,86455,QMLE-Trade,1999-1-29,0.337505
XLF,86455,QMLE-Trade,1999-2-1,0.382094
XLF,86455,QMLE-Trade,1999-2-2,0.0531385
XLF,86455,QMLE-Trade,1999-2-3,0.247258
XLF,86455,QMLE-Trade,1999-2-4,0.164893
XLF,86455,QMLE-Trade,1999-2-5,0.130346
XLF,86455,QMLE-Trade,1999-2-8,0.260078
XLF,86455,QMLE-Trade,1999-2-9,0.171029
XLF,86455,QMLE-Trade,1999-2-10,0.0126752
XLF,86455,QMLE-Trade,1999-2-11,0.381235
XLF,86455,QMLE-Trade,1999-2-12,0.120913
XLF,86455,QMLE-Trade,1999-2-16,0.165323
XLF,86455,QMLE-Trade,1999-2-17,0.359692
XLF,86455,QMLE-Trade,1999-2-18,0.0472766
XLF,86455,QMLE-Trade,1999-2-19,0.282077
XLF,86455,QMLE-Trade,1999-2-22,0.193713
XLF,86455,QMLE-Trade,1999-2-23,0.00259443
XLF,86455,QMLE-Trade,1999-2-24,0.304221
XLF,86455,QMLE-Trade,1999-2-25,0.277881
XLF,86455,QMLE-Trade,1999-2-26,0.191257
XLF,86455,QMLE-Trade,1999-3-1,0.227177
XLF,86455,QMLE-Trade,1999-3-2,0.348897
XLF,86455,QMLE-Trade,1999-3-3,0.445555
XLF,86455,QMLE-Trade,1999-3-4,0.205616
XLF,86455,QMLE-Trade,1999-3-5,0.248569
XLF,86455,QMLE-Trade,1999-3-8,0.0879546
XLF,86455,QMLE-Trade,1999-3-9,0.236086
XLF,86455,QMLE-Trade,1999-3-10,0.15196
XLF,86455,QMLE-Trade,1999-3-11,0.192713
XLF,86455,QMLE-Trade,1999-3-12,0.084121
XLF,86455,QMLE-Trade,1999-3-15,0.0528398
XLF,86455,QMLE-Trade,1999-3-16,0.21956
XLF,86455,QMLE-Trade,1999-3-17,0.192006
XLF,86455,QMLE-Trade,1999-3-18,0.414066
XLF,86455,QMLE-Trade,1999-3-19,0.217514
XLF,86455,QMLE-Trade,1999-3-22,0.0833299
XLF,86455,QMLE-Trade,1999-3-23,0.205834
XLF,86455,QMLE-Trade,1999-3-24,0.0375176
XLF,86455,QMLE-Trade,1999-3-25,0.105242
XLF,86455,QMLE-Trade,1999-3-26,0.0641916
XLF,86455,QMLE-Trade,1999-3-29,0.0960392
XLF,86455,QMLE-Trade,1999-3-30,0.0842106
XLF,86455,QMLE-Trade,1999-3-31,0.10676
XLF,86455,QMLE-Trade,1999-4-1,0.032529
XLF,86455,QMLE-Trade,1999-4-5,0.0706629
XLF,86455,QMLE-Trade,1999-4-6,0.277939
XLF,86455,QMLE-Trade,1999-4-7,0.264579
XLF,86455,QMLE-Trade,1999-4-8,0.152681
XLF,86455,QMLE-Trade,1999-4-9,0.0660995
XLF,86455,QMLE-Trade,1999-4-12,0.184991
XLF,86455,QMLE-Trade,1999-4-13,0.168935
XLF,86455,QMLE-Trade,1999-4-14,0.227273
XLF,86455,QMLE-Trade,1999-4-15,0.11417
XLF,86455,QMLE-Trade,1999-4-16,0.248557
XLF,86455,QMLE-Trade,1999-4-19,0.378001
XLF,86455,QMLE-Trade,1999-4-20,0.114707
XLF,86455,QMLE-Trade,1999-4-21,0.0999278
XLF,86455,QMLE-Trade,1999-4-22,0.0852425
XLF,86455,QMLE-Trade,1999-4-23,0.153071
XLF,86455,QMLE-Trade,1999-4-26,0.273091
XLF,86455,QMLE-Trade,1999-4-27,0.27152
XLF,86455,QMLE-Trade,1999-4-28,0.192711
XLF,86455,QMLE-Trade,1999-4-29,0.26146
XLF,86455,QMLE-Trade,1999-4-30,0.425799
XLF,86455,QMLE-Trade,1999-5-3,0.179156
XLF,86455,QMLE-Trade,1999-5-4,0.233836
XLF,86455,QMLE-Trade,1999-5-5,0.2388
XLF,86455,QMLE-Trade,1999-5-6,0.181222
XLF,86455,QMLE-Trade,1999-5-7,0.130255
