Symbol,PN,Type,Date,Volatility
XLI,86456,QMLE-Trade,1999-1-4,0.363284
XLI,86456,QMLE-Trade,1999-1-8,0.20591
XLI,86456,QMLE-Trade,1999-1-12,0.0803679
XLI,86456,QMLE-Trade,1999-1-22,0.0139238
XLI,86456,QMLE-Trade,1999-3-25,0.112667
XLI,86456,QMLE-Trade,1999-4-7,0.0196989
XLI,86456,QMLE-Trade,1999-4-14,0.345858
XLI,86456,QMLE-Trade,1999-4-15,0.222892
XLI,86456,QMLE-Trade,1999-4-16,0.14227
XLI,86456,QMLE-Trade,1999-4-19,0.687246
XLI,86456,QMLE-Trade,1999-4-20,0.217192
XLI,86456,QMLE-Trade,1999-4-21,0.00210401
XLI,86456,QMLE-Trade,1999-4-22,0.0209501
XLI,86456,QMLE-Trade,1999-4-23,0.0871774
XLI,86456,QMLE-Trade,1999-4-26,0.0383104
XLI,86456,QMLE-Trade,1999-4-27,0.078783
XLI,86456,QMLE-Trade,1999-4-28,0.115242
XLI,86456,QMLE-Trade,1999-4-29,0.178365
XLI,86456,QMLE-Trade,1999-4-30,0.183246
XLI,86456,QMLE-Trade,1999-5-3,0.182557
XLI,86456,QMLE-Trade,1999-5-4,0.118669
XLI,86456,QMLE-Trade,1999-5-5,0.176023
XLI,86456,QMLE-Trade,1999-5-6,0.15328
XLI,86456,QMLE-Trade,1999-5-7,0.165664
XLI,86456,QMLE-Trade,1999-5-10,0.125182
XLI,86456,QMLE-Trade,1999-5-11,0.0499711
XLI,86456,QMLE-Trade,1999-5-12,0.0223326
XLI,86456,QMLE-Trade,1999-5-13,0.0883792
XLI,86456,QMLE-Trade,1999-5-14,0.00630941
XLI,86456,QMLE-Trade,1999-5-17,0.119566
XLI,86456,QMLE-Trade,1999-5-18,0.0555632
XLI,86456,QMLE-Trade,1999-5-19,0.149133
XLI,86456,QMLE-Trade,1999-5-20,0.0141467
XLI,86456,QMLE-Trade,1999-5-21,0.1251
XLI,86456,QMLE-Trade,1999-5-24,0.225199
XLI,86456,QMLE-Trade,1999-5-25,0.107503
XLI,86456,QMLE-Trade,1999-5-26,0.0120064
XLI,86456,QMLE-Trade,1999-5-27,0.122423
XLI,86456,QMLE-Trade,1999-6-10,0.103786
XLI,86456,QMLE-Trade,1999-6-16,0.0384081
XLI,86456,QMLE-Trade,1999-6-24,0.268189
XLI,86456,QMLE-Trade,1999-6-30,0.289016
XLI,86456,QMLE-Trade,1999-7-13,0.0600092
XLI,86456,QMLE-Trade,1999-9-21,0.0597149
XLI,86456,QMLE-Trade,1999-9-24,0.0769593
XLI,86456,QMLE-Trade,1999-9-28,0.255895
XLI,86456,QMLE-Trade,1999-9-29,0.170869
XLI,86456,QMLE-Trade,1999-9-30,0.13084
XLI,86456,QMLE-Trade,1999-10-5,0.263793
XLI,86456,QMLE-Trade,1999-10-6,0.0813689
XLI,86456,QMLE-Trade,1999-10-8,0.118747
XLI,86456,QMLE-Trade,1999-10-15,0.0273763
XLI,86456,QMLE-Trade,1999-11-5,0.00713895
XLI,86456,QMLE-Trade,1999-11-12,0.0608813
XLI,86456,QMLE-Trade,1999-11-15,0.150868
XLI,86456,QMLE-Trade,1999-11-16,0.103885
XLI,86456,QMLE-Trade,1999-11-22,0.180276
XLI,86456,QMLE-Trade,1999-11-23,0.0353332
XLI,86456,QMLE-Trade,1999-11-29,0.00316635
XLI,86456,QMLE-Trade,1999-11-30,0.0935369
XLI,86456,QMLE-Trade,1999-12-1,0.226132
XLI,86456,QMLE-Trade,1999-12-2,0.039494
XLI,86456,QMLE-Trade,1999-12-3,0.169589
XLI,86456,QMLE-Trade,1999-12-10,0.0753129
XLI,86456,QMLE-Trade,1999-12-13,0.0880895
XLI,86456,QMLE-Trade,1999-12-15,0.0865478
XLI,86456,QMLE-Trade,1999-12-17,0.0520077
XLI,86456,QMLE-Trade,1999-12-20,0.208104
XLI,86456,QMLE-Trade,1999-12-21,0.331019
XLI,86456,QMLE-Trade,1999-12-22,0.0484657
XLI,86456,QMLE-Trade,1999-12-27,0.053587
XLI,86456,QMLE-Trade,2000-1-3,0.312424
XLI,86456,QMLE-Trade,2000-1-4,0.127519
XLI,86456,QMLE-Trade,2000-1-5,0.0171804
XLI,86456,QMLE-Trade,2000-1-7,0.280519
XLI,86456,QMLE-Trade,2000-1-10,0.0331014
XLI,86456,QMLE-Trade,2000-1-11,0.151221
XLI,86456,QMLE-Trade,2000-1-12,0.0943336
XLI,86456,QMLE-Trade,2000-1-13,0.0735971
XLI,86456,QMLE-Trade,2000-1-18,0.0591022
XLI,86456,QMLE-Trade,2000-1-20,0.222455
XLI,86456,QMLE-Trade,2000-1-21,0.0673365
XLI,86456,QMLE-Trade,2000-1-24,0.316901
XLI,86456,QMLE-Trade,2000-1-25,0.00679231
XLI,86456,QMLE-Trade,2000-1-26,0.958727
XLI,86456,QMLE-Trade,2000-1-28,0.169594
XLI,86456,QMLE-Trade,2000-2-1,0.0598378
XLI,86456,QMLE-Trade,2000-2-3,0.196084
XLI,86456,QMLE-Trade,2000-2-4,0.0526955
XLI,86456,QMLE-Trade,2000-2-7,0.131074
XLI,86456,QMLE-Trade,2000-2-9,0.108358
XLI,86456,QMLE-Trade,2000-2-10,0.0701417
XLI,86456,QMLE-Trade,2000-2-11,0.125912
XLI,86456,QMLE-Trade,2000-2-14,0.121491
XLI,86456,QMLE-Trade,2000-2-15,0.326315
XLI,86456,QMLE-Trade,2000-2-16,0.088507
XLI,86456,QMLE-Trade,2000-2-17,0.0922579
XLI,86456,QMLE-Trade,2000-2-18,0.394913
XLI,86456,QMLE-Trade,2000-2-22,0.00160398
XLI,86456,QMLE-Trade,2000-2-23,0.194238
XLI,86456,QMLE-Trade,2000-2-24,0.326151
XLI,86456,QMLE-Trade,2000-2-25,0.190352
XLI,86456,QMLE-Trade,2000-2-28,0.1697
XLI,86456,QMLE-Trade,2000-2-29,0.0207394
XLI,86456,QMLE-Trade,2000-3-1,0.00221071
XLI,86456,QMLE-Trade,2000-3-2,0.0173124
XLI,86456,QMLE-Trade,2000-3-3,0.0913716
XLI,86456,QMLE-Trade,2000-3-6,0.10437
XLI,86456,QMLE-Trade,2000-3-7,0.361374
XLI,86456,QMLE-Trade,2000-3-8,0.14816
XLI,86456,QMLE-Trade,2000-3-9,0.0383096
XLI,86456,QMLE-Trade,2000-3-10,0.0988431
XLI,86456,QMLE-Trade,2000-3-13,0.147646
XLI,86456,QMLE-Trade,2000-3-14,0.104871
XLI,86456,QMLE-Trade,2000-3-15,0.506913
XLI,86456,QMLE-Trade,2000-3-16,0.42673
XLI,86456,QMLE-Trade,2000-3-17,0.00575319
XLI,86456,QMLE-Trade,2000-3-20,0.0596626
XLI,86456,QMLE-Trade,2000-3-21,0.30314
XLI,86456,QMLE-Trade,2000-3-30,0.226345
XLI,86456,QMLE-Trade,2000-3-31,0.00274066
XLI,86456,QMLE-Trade,2000-4-3,0.0159415
XLI,86456,QMLE-Trade,2000-4-4,0.586273
XLI,86456,QMLE-Trade,2000-4-7,0.0547814
XLI,86456,QMLE-Trade,2000-4-11,0.208078
XLI,86456,QMLE-Trade,2000-4-12,0.31773
XLI,86456,QMLE-Trade,2000-4-13,0.0872739
XLI,86456,QMLE-Trade,2000-4-14,0.39357
XLI,86456,QMLE-Trade,2000-4-17,0.011927
XLI,86456,QMLE-Trade,2000-4-18,0.0565116
XLI,86456,QMLE-Trade,2000-4-25,0.277301
XLI,86456,QMLE-Trade,2000-5-2,0.234217
XLI,86456,QMLE-Trade,2000-5-3,0.322762
XLI,86456,QMLE-Trade,2000-5-30,0.0758295
XLI,86456,QMLE-Trade,2000-6-7,0.0492262
XLI,86456,QMLE-Trade,2000-6-12,0.0791833
XLI,86456,QMLE-Trade,2000-6-14,0.102188
XLI,86456,QMLE-Trade,2000-6-19,0.269525
XLI,86456,QMLE-Trade,2000-6-20,0.0995155
XLI,86456,QMLE-Trade,2000-7-6,0.0630371
XLI,86456,QMLE-Trade,2000-7-10,0.138552
XLI,86456,QMLE-Trade,2000-7-11,0.266984
XLI,86456,QMLE-Trade,2000-7-31,0.163739
