Symbol,PN,Type,Date,Volatility
XLP,86452,QMLE-Trade,1998-12-22,0.205412
XLP,86452,QMLE-Trade,1998-12-23,0.151495
XLP,86452,QMLE-Trade,1998-12-24,0.0395278
XLP,86452,QMLE-Trade,1998-12-28,0.0984191
XLP,86452,QMLE-Trade,1998-12-29,0.239533
XLP,86452,QMLE-Trade,1998-12-30,0.0898828
XLP,86452,QMLE-Trade,1998-12-31,0.0639656
XLP,86452,QMLE-Trade,1999-1-4,0.259775
XLP,86452,QMLE-Trade,1999-1-5,0.0744097
XLP,86452,QMLE-Trade,1999-1-6,0.0940114
XLP,86452,QMLE-Trade,1999-1-7,0.0948138
XLP,86452,QMLE-Trade,1999-1-8,0.228757
XLP,86452,QMLE-Trade,1999-1-11,0.227842
XLP,86452,QMLE-Trade,1999-1-12,0.102175
XLP,86452,QMLE-Trade,1999-1-13,0.267614
XLP,86452,QMLE-Trade,1999-1-14,0.259223
XLP,86452,QMLE-Trade,1999-1-15,0.0265486
XLP,86452,QMLE-Trade,1999-1-19,0.394227
XLP,86452,QMLE-Trade,1999-1-20,0.191834
XLP,86452,QMLE-Trade,1999-1-21,0.159202
XLP,86452,QMLE-Trade,1999-1-22,0.0146139
XLP,86452,QMLE-Trade,1999-1-25,0.0107575
XLP,86452,QMLE-Trade,1999-1-26,0.205153
XLP,86452,QMLE-Trade,1999-1-27,0.147484
XLP,86452,QMLE-Trade,1999-1-28,0.20253
XLP,86452,QMLE-Trade,1999-1-29,0.0989175
XLP,86452,QMLE-Trade,1999-2-1,0.148088
XLP,86452,QMLE-Trade,1999-2-2,0.208233
XLP,86452,QMLE-Trade,1999-2-3,0.135233
XLP,86452,QMLE-Trade,1999-2-4,0.0236775
XLP,86452,QMLE-Trade,1999-2-5,0.119939
XLP,86452,QMLE-Trade,1999-2-8,0.143174
XLP,86452,QMLE-Trade,1999-2-9,0.101098
XLP,86452,QMLE-Trade,1999-2-10,0.0924878
XLP,86452,QMLE-Trade,1999-2-11,0.185031
XLP,86452,QMLE-Trade,1999-2-12,0.160471
XLP,86452,QMLE-Trade,1999-2-16,0.000864414
XLP,86452,QMLE-Trade,1999-2-17,0.264777
XLP,86452,QMLE-Trade,1999-2-18,0.143743
XLP,86452,QMLE-Trade,1999-2-19,0.0941506
XLP,86452,QMLE-Trade,1999-2-22,0.224427
XLP,86452,QMLE-Trade,1999-2-23,0.192307
XLP,86452,QMLE-Trade,1999-2-24,0.152372
XLP,86452,QMLE-Trade,1999-2-25,0.342658
XLP,86452,QMLE-Trade,1999-2-26,0.00464069
XLP,86452,QMLE-Trade,1999-3-1,0.0346734
XLP,86452,QMLE-Trade,1999-3-2,0.192521
XLP,86452,QMLE-Trade,1999-3-3,0.0818459
XLP,86452,QMLE-Trade,1999-3-4,0.0776847
XLP,86452,QMLE-Trade,1999-3-5,0.256027
XLP,86452,QMLE-Trade,1999-3-8,0.140516
XLP,86452,QMLE-Trade,1999-3-9,0.0118181
XLP,86452,QMLE-Trade,1999-3-10,0.0812738
XLP,86452,QMLE-Trade,1999-3-11,0.116405
XLP,86452,QMLE-Trade,1999-3-12,0.0629468
XLP,86452,QMLE-Trade,1999-3-15,0.0384222
XLP,86452,QMLE-Trade,1999-3-16,0.041667
XLP,86452,QMLE-Trade,1999-3-17,0.164073
XLP,86452,QMLE-Trade,1999-3-18,0.198991
XLP,86452,QMLE-Trade,1999-3-19,0.130982
XLP,86452,QMLE-Trade,1999-3-22,0.0414732
XLP,86452,QMLE-Trade,1999-3-23,0.201542
XLP,86452,QMLE-Trade,1999-3-24,0.0230384
XLP,86452,QMLE-Trade,1999-3-25,0.252439
XLP,86452,QMLE-Trade,1999-3-26,0.0020039
XLP,86452,QMLE-Trade,1999-3-29,0.0631336
XLP,86452,QMLE-Trade,1999-3-30,0.129621
XLP,86452,QMLE-Trade,1999-3-31,0.251049
XLP,86452,QMLE-Trade,1999-4-1,0.0105549
XLP,86452,QMLE-Trade,1999-4-5,0.0341629
XLP,86452,QMLE-Trade,1999-4-6,0.13367
XLP,86452,QMLE-Trade,1999-4-7,0.11824
XLP,86452,QMLE-Trade,1999-4-8,0.266385
XLP,86452,QMLE-Trade,1999-4-9,0.0859833
XLP,86452,QMLE-Trade,1999-4-12,0.171751
XLP,86452,QMLE-Trade,1999-4-13,0.564841
XLP,86452,QMLE-Trade,1999-4-14,0.362894
XLP,86452,QMLE-Trade,1999-4-15,0.22999
XLP,86452,QMLE-Trade,1999-4-16,0.0669355
XLP,86452,QMLE-Trade,1999-4-19,0.498143
XLP,86452,QMLE-Trade,1999-4-20,0.18032
XLP,86452,QMLE-Trade,1999-4-21,0.3446
XLP,86452,QMLE-Trade,1999-4-22,0.118894
XLP,86452,QMLE-Trade,1999-4-23,0.0544231
XLP,86452,QMLE-Trade,1999-4-26,0.0915523
XLP,86452,QMLE-Trade,1999-4-27,0.0535583
XLP,86452,QMLE-Trade,1999-4-28,0.266713
XLP,86452,QMLE-Trade,1999-4-29,0.123854
XLP,86452,QMLE-Trade,1999-4-30,0.215389
XLP,86452,QMLE-Trade,1999-5-3,0.155981
XLP,86452,QMLE-Trade,1999-5-4,0.177865
XLP,86452,QMLE-Trade,1999-5-5,0.404154
XLP,86452,QMLE-Trade,1999-5-6,0.159451
XLP,86452,QMLE-Trade,1999-5-7,0.130079
XLP,86452,QMLE-Trade,1999-5-10,0.137435
XLP,86452,QMLE-Trade,1999-5-11,0.122299
XLP,86452,QMLE-Trade,1999-5-12,0.181963
XLP,86452,QMLE-Trade,1999-5-13,0.103262
XLP,86452,QMLE-Trade,1999-5-14,0.0803072
XLP,86452,QMLE-Trade,1999-5-17,0.134436
XLP,86452,QMLE-Trade,1999-5-18,0.0805575
XLP,86452,QMLE-Trade,1999-5-19,0.183488
XLP,86452,QMLE-Trade,1999-5-20,0.0625877
XLP,86452,QMLE-Trade,1999-5-21,0.00559264
XLP,86452,QMLE-Trade,1999-5-24,0.177535
XLP,86452,QMLE-Trade,1999-5-25,0.22508
XLP,86452,QMLE-Trade,1999-5-26,0.0448458
XLP,86452,QMLE-Trade,1999-5-27,0.232964
XLP,86452,QMLE-Trade,1999-5-28,0.0792018
XLP,86452,QMLE-Trade,1999-6-1,0.374663
XLP,86452,QMLE-Trade,1999-6-2,0.0135777
XLP,86452,QMLE-Trade,1999-6-3,0.147754
XLP,86452,QMLE-Trade,1999-6-4,0.254071
XLP,86452,QMLE-Trade,1999-6-7,0.149835
XLP,86452,QMLE-Trade,1999-6-9,0.00634163
XLP,86452,QMLE-Trade,1999-6-10,0.0981876
XLP,86452,QMLE-Trade,1999-6-11,0.263367
XLP,86452,QMLE-Trade,1999-6-14,0.000567711
XLP,86452,QMLE-Trade,1999-6-15,0.0795138
XLP,86452,QMLE-Trade,1999-6-16,0.0416073
XLP,86452,QMLE-Trade,1999-6-17,0.186968
XLP,86452,QMLE-Trade,1999-6-18,0.049232
XLP,86452,QMLE-Trade,1999-6-21,0.357552
XLP,86452,QMLE-Trade,1999-6-22,0.136663
XLP,86452,QMLE-Trade,1999-6-23,0.0637395
XLP,86452,QMLE-Trade,1999-6-24,0.0536558
XLP,86452,QMLE-Trade,1999-6-25,0.364334
XLP,86452,QMLE-Trade,1999-6-28,0.0737763
XLP,86452,QMLE-Trade,1999-6-29,0.222513
XLP,86452,QMLE-Trade,1999-6-30,0.262497
XLP,86452,QMLE-Trade,1999-7-1,0.108184
XLP,86452,QMLE-Trade,1999-7-2,0.123023
XLP,86452,QMLE-Trade,1999-7-6,0.0401838
