Symbol,PN,Type,Date,Volatility
XLB,86449,QMLE-Trade,1999-1-4,0.358128
XLB,86449,QMLE-Trade,1999-1-5,0.173462
XLB,86449,QMLE-Trade,1999-1-7,0.109769
XLB,86449,QMLE-Trade,1999-1-8,0.367343
XLB,86449,QMLE-Trade,1999-2-4,0.413283
XLB,86449,QMLE-Trade,1999-2-5,0.245902
XLB,86449,QMLE-Trade,1999-2-8,0.0619021
XLB,86449,QMLE-Trade,1999-3-5,0.117578
XLB,86449,QMLE-Trade,1999-3-10,0.166474
XLB,86449,QMLE-Trade,1999-3-23,0.246794
XLB,86449,QMLE-Trade,1999-3-24,0.0603181
XLB,86449,QMLE-Trade,1999-3-25,0.0448182
XLB,86449,QMLE-Trade,1999-4-7,0.0725624
XLB,86449,QMLE-Trade,1999-4-12,0.123681
XLB,86449,QMLE-Trade,1999-4-13,0.0266759
XLB,86449,QMLE-Trade,1999-4-14,0.710863
XLB,86449,QMLE-Trade,1999-4-15,0.400637
XLB,86449,QMLE-Trade,1999-4-16,0.159984
XLB,86449,QMLE-Trade,1999-4-19,0.583762
XLB,86449,QMLE-Trade,1999-4-20,0.268046
XLB,86449,QMLE-Trade,1999-4-21,0.0203735
XLB,86449,QMLE-Trade,1999-4-22,0.304837
XLB,86449,QMLE-Trade,1999-4-26,0.074324
XLB,86449,QMLE-Trade,1999-4-27,0.355383
XLB,86449,QMLE-Trade,1999-4-28,0.56729
XLB,86449,QMLE-Trade,1999-4-29,0.308706
XLB,86449,QMLE-Trade,1999-4-30,0.267629
XLB,86449,QMLE-Trade,1999-5-3,0.221242
XLB,86449,QMLE-Trade,1999-5-4,0.130315
XLB,86449,QMLE-Trade,1999-5-5,0.168964
XLB,86449,QMLE-Trade,1999-5-6,0.386757
XLB,86449,QMLE-Trade,1999-5-7,0.0619255
XLB,86449,QMLE-Trade,1999-5-10,0.196126
XLB,86449,QMLE-Trade,1999-5-11,0.12425
XLB,86449,QMLE-Trade,1999-5-12,0.292466
XLB,86449,QMLE-Trade,1999-5-13,0.0857348
XLB,86449,QMLE-Trade,1999-5-14,0.00872423
XLB,86449,QMLE-Trade,1999-5-17,0.107219
XLB,86449,QMLE-Trade,1999-5-18,0.27821
XLB,86449,QMLE-Trade,1999-5-19,0.417244
XLB,86449,QMLE-Trade,1999-5-20,0.132496
XLB,86449,QMLE-Trade,1999-5-21,0.0389204
XLB,86449,QMLE-Trade,1999-5-24,0.385924
XLB,86449,QMLE-Trade,1999-5-25,0.202968
XLB,86449,QMLE-Trade,1999-5-26,0.192809
XLB,86449,QMLE-Trade,1999-5-27,0.213034
XLB,86449,QMLE-Trade,1999-5-28,0.302055
XLB,86449,QMLE-Trade,1999-6-1,0.310166
XLB,86449,QMLE-Trade,1999-6-2,0.0412907
XLB,86449,QMLE-Trade,1999-6-3,0.00676335
XLB,86449,QMLE-Trade,1999-6-9,0.0324178
XLB,86449,QMLE-Trade,1999-6-14,0.120067
XLB,86449,QMLE-Trade,1999-6-15,0.125924
XLB,86449,QMLE-Trade,1999-6-16,0.0812241
XLB,86449,QMLE-Trade,1999-6-21,0.250185
XLB,86449,QMLE-Trade,1999-6-22,0.201456
XLB,86449,QMLE-Trade,1999-6-24,0.218745
XLB,86449,QMLE-Trade,1999-6-28,0.0602689
XLB,86449,QMLE-Trade,1999-6-30,0.0370952
XLB,86449,QMLE-Trade,1999-7-1,0.169723
XLB,86449,QMLE-Trade,1999-7-2,0.155319
XLB,86449,QMLE-Trade,1999-7-6,0.00598689
XLB,86449,QMLE-Trade,1999-7-9,0.0556389
XLB,86449,QMLE-Trade,1999-7-15,0.118804
XLB,86449,QMLE-Trade,1999-7-27,0.0791366
XLB,86449,QMLE-Trade,1999-8-4,0.147926
XLB,86449,QMLE-Trade,1999-8-5,0.243555
XLB,86449,QMLE-Trade,1999-8-12,0.0481407
XLB,86449,QMLE-Trade,1999-8-18,0.0395622
XLB,86449,QMLE-Trade,1999-8-23,0.0457604
XLB,86449,QMLE-Trade,1999-8-24,0.0135238
XLB,86449,QMLE-Trade,1999-8-25,0.288212
XLB,86449,QMLE-Trade,1999-9-1,0.175378
XLB,86449,QMLE-Trade,1999-9-2,0.0599107
XLB,86449,QMLE-Trade,1999-9-7,0.153206
XLB,86449,QMLE-Trade,1999-9-8,0.0221383
XLB,86449,QMLE-Trade,1999-9-9,0.031896
XLB,86449,QMLE-Trade,1999-9-16,0.0995
XLB,86449,QMLE-Trade,1999-9-17,0.0430224
XLB,86449,QMLE-Trade,1999-9-23,0.0199481
XLB,86449,QMLE-Trade,1999-9-24,0.112379
XLB,86449,QMLE-Trade,1999-9-30,0.179604
XLB,86449,QMLE-Trade,1999-10-1,0.321171
XLB,86449,QMLE-Trade,1999-10-4,0.0214055
XLB,86449,QMLE-Trade,1999-10-6,0.0343022
XLB,86449,QMLE-Trade,1999-10-7,0.129838
XLB,86449,QMLE-Trade,1999-10-8,0.127958
XLB,86449,QMLE-Trade,1999-10-15,0.143465
XLB,86449,QMLE-Trade,1999-10-18,0.0684437
XLB,86449,QMLE-Trade,1999-10-22,0.0128954
XLB,86449,QMLE-Trade,1999-10-27,0.226744
XLB,86449,QMLE-Trade,1999-10-28,0.151422
XLB,86449,QMLE-Trade,1999-11-5,0.102931
XLB,86449,QMLE-Trade,1999-11-10,0.0138878
XLB,86449,QMLE-Trade,1999-11-12,0.00247137
XLB,86449,QMLE-Trade,1999-11-15,0.321595
XLB,86449,QMLE-Trade,1999-11-17,0.0233591
XLB,86449,QMLE-Trade,1999-11-23,0.0898396
XLB,86449,QMLE-Trade,1999-11-29,0.185479
XLB,86449,QMLE-Trade,1999-11-30,0.0786005
XLB,86449,QMLE-Trade,1999-12-1,0.0376196
XLB,86449,QMLE-Trade,1999-12-2,0.226704
XLB,86449,QMLE-Trade,1999-12-3,0.096102
XLB,86449,QMLE-Trade,1999-12-6,0.00619034
XLB,86449,QMLE-Trade,1999-12-8,0.00544478
XLB,86449,QMLE-Trade,1999-12-14,0.148807
XLB,86449,QMLE-Trade,1999-12-15,0.201995
XLB,86449,QMLE-Trade,1999-12-16,0.0685454
XLB,86449,QMLE-Trade,1999-12-17,0.113216
XLB,86449,QMLE-Trade,1999-12-20,0.415852
XLB,86449,QMLE-Trade,1999-12-21,0.0502594
XLB,86449,QMLE-Trade,1999-12-22,0.00572162
XLB,86449,QMLE-Trade,1999-12-23,0.214541
XLB,86449,QMLE-Trade,1999-12-27,0.058422
XLB,86449,QMLE-Trade,1999-12-28,0.267609
XLB,86449,QMLE-Trade,1999-12-29,0.182187
XLB,86449,QMLE-Trade,1999-12-30,0.137442
XLB,86449,QMLE-Trade,1999-12-31,0.24883
XLB,86449,QMLE-Trade,2000-1-3,0.310942
XLB,86449,QMLE-Trade,2000-1-4,0.0918758
XLB,86449,QMLE-Trade,2000-1-5,0.323421
XLB,86449,QMLE-Trade,2000-1-6,0.262144
XLB,86449,QMLE-Trade,2000-1-7,0.147588
XLB,86449,QMLE-Trade,2000-1-10,0.15399
XLB,86449,QMLE-Trade,2000-1-11,0.0396757
XLB,86449,QMLE-Trade,2000-1-12,0.156899
XLB,86449,QMLE-Trade,2000-1-13,0.00442065
XLB,86449,QMLE-Trade,2000-1-14,0.0543231
XLB,86449,QMLE-Trade,2000-1-18,0.204512
XLB,86449,QMLE-Trade,2000-1-19,0.196361
XLB,86449,QMLE-Trade,2000-1-20,0.271106
XLB,86449,QMLE-Trade,2000-1-21,0.176789
XLB,86449,QMLE-Trade,2000-1-24,0.477462
XLB,86449,QMLE-Trade,2000-1-25,0.496019
XLB,86449,QMLE-Trade,2000-1-26,0.440847
XLB,86449,QMLE-Trade,2000-1-27,0.00237096
XLB,86449,QMLE-Trade,2000-2-1,0.131239
XLB,86449,QMLE-Trade,2000-2-2,0.103727
XLB,86449,QMLE-Trade,2000-2-3,0.397972
XLB,86449,QMLE-Trade,2000-2-7,0.279278
XLB,86449,QMLE-Trade,2000-2-8,0.0890361
XLB,86449,QMLE-Trade,2000-2-9,0.294968
XLB,86449,QMLE-Trade,2000-2-10,0.00725587
XLB,86449,QMLE-Trade,2000-2-11,0.141633
XLB,86449,QMLE-Trade,2000-2-14,0.00847794
XLB,86449,QMLE-Trade,2000-2-15,0.283808
XLB,86449,QMLE-Trade,2000-2-16,0.156092
XLB,86449,QMLE-Trade,2000-2-17,0.117055
XLB,86449,QMLE-Trade,2000-2-18,0.323605
XLB,86449,QMLE-Trade,2000-2-22,0.0921973
XLB,86449,QMLE-Trade,2000-2-23,0.135109
XLB,86449,QMLE-Trade,2000-2-24,0.587373
XLB,86449,QMLE-Trade,2000-2-25,0.143048
XLB,86449,QMLE-Trade,2000-2-28,0.308221
XLB,86449,QMLE-Trade,2000-2-29,0.103539
XLB,86449,QMLE-Trade,2000-3-1,0.262613
XLB,86449,QMLE-Trade,2000-3-2,0.215855
XLB,86449,QMLE-Trade,2000-3-3,0.454434
XLB,86449,QMLE-Trade,2000-3-6,0.283978
XLB,86449,QMLE-Trade,2000-3-7,0.399485
XLB,86449,QMLE-Trade,2000-3-8,0.203365
XLB,86449,QMLE-Trade,2000-3-9,0.11049
XLB,86449,QMLE-Trade,2000-3-10,0.00784426
XLB,86449,QMLE-Trade,2000-3-13,0.324579
XLB,86449,QMLE-Trade,2000-3-15,0.561564
XLB,86449,QMLE-Trade,2000-3-16,0.352849
XLB,86449,QMLE-Trade,2000-3-17,0.310132
XLB,86449,QMLE-Trade,2000-3-21,0.170654
XLB,86449,QMLE-Trade,2000-3-22,0.224917
XLB,86449,QMLE-Trade,2000-3-23,0.449293
XLB,86449,QMLE-Trade,2000-3-28,0.27887
XLB,86449,QMLE-Trade,2000-3-29,0.0558816
XLB,86449,QMLE-Trade,2000-3-30,0.434931
XLB,86449,QMLE-Trade,2000-3-31,0.0115161
XLB,86449,QMLE-Trade,2000-4-3,0.0865081
XLB,86449,QMLE-Trade,2000-4-4,0.641931
XLB,86449,QMLE-Trade,2000-4-6,0.260115
XLB,86449,QMLE-Trade,2000-4-10,0.169372
XLB,86449,QMLE-Trade,2000-4-11,0.282203
XLB,86449,QMLE-Trade,2000-4-12,0.381639
XLB,86449,QMLE-Trade,2000-4-13,0.0924242
XLB,86449,QMLE-Trade,2000-4-14,0.400128
XLB,86449,QMLE-Trade,2000-4-17,0.172681
XLB,86449,QMLE-Trade,2000-4-18,0.195723
XLB,86449,QMLE-Trade,2000-4-19,0.339561
XLB,86449,QMLE-Trade,2000-4-25,0.0560716
XLB,86449,QMLE-Trade,2000-5-4,0.0728791
XLB,86449,QMLE-Trade,2000-5-9,0.276639
XLB,86449,QMLE-Trade,2000-5-10,0.282542
XLB,86449,QMLE-Trade,2000-5-16,0.206984
XLB,86449,QMLE-Trade,2000-5-17,0.106215
XLB,86449,QMLE-Trade,2000-5-19,0.0257865
XLB,86449,QMLE-Trade,2000-5-22,0.185802
XLB,86449,QMLE-Trade,2000-5-24,0.0635361
XLB,86449,QMLE-Trade,2000-5-25,0.311795
XLB,86449,QMLE-Trade,2000-6-7,0.255387
XLB,86449,QMLE-Trade,2000-6-8,0.0227657
XLB,86449,QMLE-Trade,2000-6-12,0.463726
XLB,86449,QMLE-Trade,2000-6-13,0.252504
XLB,86449,QMLE-Trade,2000-6-14,0.587832
XLB,86449,QMLE-Trade,2000-6-19,0.207069
XLB,86449,QMLE-Trade,2000-6-20,0.195209
XLB,86449,QMLE-Trade,2000-6-21,0.155561
XLB,86449,QMLE-Trade,2000-6-22,0.299158
XLB,86449,QMLE-Trade,2000-6-26,0.275107
XLB,86449,QMLE-Trade,2000-6-28,0.220279
XLB,86449,QMLE-Trade,2000-6-29,0.0645102
XLB,86449,QMLE-Trade,2000-7-5,0.408307
XLB,86449,QMLE-Trade,2000-7-6,0.293663
XLB,86449,QMLE-Trade,2000-7-7,0.278195
XLB,86449,QMLE-Trade,2000-7-10,0.282898
XLB,86449,QMLE-Trade,2000-7-11,0.244497
XLB,86449,QMLE-Trade,2000-7-12,0.293672
XLB,86449,QMLE-Trade,2000-7-13,0.1463
XLB,86449,QMLE-Trade,2000-7-17,0.184614
XLB,86449,QMLE-Trade,2000-7-18,0.00268484
XLB,86449,QMLE-Trade,2000-7-20,0.15688
XLB,86449,QMLE-Trade,2000-7-21,0.312885
XLB,86449,QMLE-Trade,2000-7-24,0.282762
XLB,86449,QMLE-Trade,2000-7-25,0.18733
XLB,86449,QMLE-Trade,2000-8-2,0.00343718
XLB,86449,QMLE-Trade,2000-8-7,0.100442
XLB,86449,QMLE-Trade,2000-8-8,0.179205
XLB,86449,QMLE-Trade,2000-8-9,0.00175729
XLB,86449,QMLE-Trade,2000-8-10,0.317778
XLB,86449,QMLE-Trade,2000-8-11,0.0923362
XLB,86449,QMLE-Trade,2000-8-15,0.0878342
XLB,86449,QMLE-Trade,2000-8-16,0.0846403
XLB,86449,QMLE-Trade,2000-8-17,0.135944
XLB,86449,QMLE-Trade,2000-8-21,0.289821
XLB,86449,QMLE-Trade,2000-8-22,0.0266893
XLB,86449,QMLE-Trade,2000-8-23,0.148454
XLB,86449,QMLE-Trade,2000-8-24,0.00234284
XLB,86449,QMLE-Trade,2000-8-29,0.0949265
XLB,86449,QMLE-Trade,2000-9-1,0.0406613
XLB,86449,QMLE-Trade,2000-9-5,0.218859
XLB,86449,QMLE-Trade,2000-9-6,0.0317212
XLB,86449,QMLE-Trade,2000-9-7,0.291313
XLB,86449,QMLE-Trade,2000-9-8,0.205732
XLB,86449,QMLE-Trade,2000-9-11,0.0596609
XLB,86449,QMLE-Trade,2000-9-12,0.0833791
XLB,86449,QMLE-Trade,2000-9-14,0.083761
XLB,86449,QMLE-Trade,2000-9-18,0.186455
XLB,86449,QMLE-Trade,2000-9-19,0.253315
XLB,86449,QMLE-Trade,2000-9-20,0.229363
XLB,86449,QMLE-Trade,2000-9-21,0.190486
