Symbol,PN,Type,Date,Volatility
XLK,86457,QMLE-Trade,1998-12-22,0.313836
XLK,86457,QMLE-Trade,1998-12-23,0.216843
XLK,86457,QMLE-Trade,1998-12-24,0.0346123
XLK,86457,QMLE-Trade,1998-12-28,0.230533
XLK,86457,QMLE-Trade,1998-12-29,0.193977
XLK,86457,QMLE-Trade,1998-12-30,0.245035
XLK,86457,QMLE-Trade,1998-12-31,0.148935
XLK,86457,QMLE-Trade,1999-1-4,0.321134
XLK,86457,QMLE-Trade,1999-1-5,0.166829
XLK,86457,QMLE-Trade,1999-1-6,0.148015
XLK,86457,QMLE-Trade,1999-1-7,0.214595
XLK,86457,QMLE-Trade,1999-1-8,0.296158
XLK,86457,QMLE-Trade,1999-1-11,0.330207
XLK,86457,QMLE-Trade,1999-1-12,0.367707
XLK,86457,QMLE-Trade,1999-1-13,0.58272
XLK,86457,QMLE-Trade,1999-1-14,0.238824
XLK,86457,QMLE-Trade,1999-1-15,0.208851
XLK,86457,QMLE-Trade,1999-1-19,0.23231
XLK,86457,QMLE-Trade,1999-1-20,0.302673
XLK,86457,QMLE-Trade,1999-1-21,0.386804
XLK,86457,QMLE-Trade,1999-1-22,0.317882
XLK,86457,QMLE-Trade,1999-1-25,0.262813
XLK,86457,QMLE-Trade,1999-1-26,0.211472
XLK,86457,QMLE-Trade,1999-1-27,0.271254
XLK,86457,QMLE-Trade,1999-1-28,0.184779
XLK,86457,QMLE-Trade,1999-1-29,0.221098
XLK,86457,QMLE-Trade,1999-2-1,0.269955
XLK,86457,QMLE-Trade,1999-2-2,0.285055
XLK,86457,QMLE-Trade,1999-2-3,0.202031
XLK,86457,QMLE-Trade,1999-2-4,0.346373
XLK,86457,QMLE-Trade,1999-2-5,0.433193
XLK,86457,QMLE-Trade,1999-2-8,0.264877
XLK,86457,QMLE-Trade,1999-2-9,0.407562
XLK,86457,QMLE-Trade,1999-2-10,0.470547
XLK,86457,QMLE-Trade,1999-2-11,0.276055
XLK,86457,QMLE-Trade,1999-2-12,0.48013
XLK,86457,QMLE-Trade,1999-2-16,0.255825
XLK,86457,QMLE-Trade,1999-2-17,0.404962
XLK,86457,QMLE-Trade,1999-2-18,0.400367
XLK,86457,QMLE-Trade,1999-2-19,0.22925
XLK,86457,QMLE-Trade,1999-2-22,0.277971
XLK,86457,QMLE-Trade,1999-2-23,0.340094
XLK,86457,QMLE-Trade,1999-2-24,0.297212
XLK,86457,QMLE-Trade,1999-2-25,0.342791
XLK,86457,QMLE-Trade,1999-2-26,0.35685
XLK,86457,QMLE-Trade,1999-3-1,0.270969
XLK,86457,QMLE-Trade,1999-3-2,0.284247
XLK,86457,QMLE-Trade,1999-3-3,0.281336
XLK,86457,QMLE-Trade,1999-3-4,0.320035
XLK,86457,QMLE-Trade,1999-3-5,0.206826
XLK,86457,QMLE-Trade,1999-3-8,0.190115
XLK,86457,QMLE-Trade,1999-3-9,0.337984
XLK,86457,QMLE-Trade,1999-3-10,0.202186
XLK,86457,QMLE-Trade,1999-3-11,0.355485
XLK,86457,QMLE-Trade,1999-3-12,0.249147
XLK,86457,QMLE-Trade,1999-3-15,0.27609
XLK,86457,QMLE-Trade,1999-3-16,0.202417
XLK,86457,QMLE-Trade,1999-3-17,0.15984
XLK,86457,QMLE-Trade,1999-3-18,0.174089
XLK,86457,QMLE-Trade,1999-3-19,0.282272
XLK,86457,QMLE-Trade,1999-3-22,0.261357
XLK,86457,QMLE-Trade,1999-3-23,0.247408
XLK,86457,QMLE-Trade,1999-3-24,0.37153
XLK,86457,QMLE-Trade,1999-3-25,0.0775585
XLK,86457,QMLE-Trade,1999-3-26,0.220301
XLK,86457,QMLE-Trade,1999-3-29,0.170282
XLK,86457,QMLE-Trade,1999-3-30,0.251936
XLK,86457,QMLE-Trade,1999-3-31,0.285532
XLK,86457,QMLE-Trade,1999-4-1,0.344675
XLK,86457,QMLE-Trade,1999-4-5,0.17422
XLK,86457,QMLE-Trade,1999-4-6,0.347879
XLK,86457,QMLE-Trade,1999-4-7,0.414469
XLK,86457,QMLE-Trade,1999-4-8,0.422392
XLK,86457,QMLE-Trade,1999-4-9,0.226053
XLK,86457,QMLE-Trade,1999-4-12,0.271428
XLK,86457,QMLE-Trade,1999-4-13,0.284867
XLK,86457,QMLE-Trade,1999-4-14,0.394629
XLK,86457,QMLE-Trade,1999-4-15,0.443935
XLK,86457,QMLE-Trade,1999-4-16,0.422679
XLK,86457,QMLE-Trade,1999-4-19,0.473123
XLK,86457,QMLE-Trade,1999-4-20,0.461385
XLK,86457,QMLE-Trade,1999-4-21,0.26304
XLK,86457,QMLE-Trade,1999-4-22,0.260447
XLK,86457,QMLE-Trade,1999-4-23,0.319976
XLK,86457,QMLE-Trade,1999-4-26,0.295615
XLK,86457,QMLE-Trade,1999-4-27,0.309158
XLK,86457,QMLE-Trade,1999-4-28,0.297573
XLK,86457,QMLE-Trade,1999-4-29,0.609361
XLK,86457,QMLE-Trade,1999-4-30,0.396258
XLK,86457,QMLE-Trade,1999-5-3,0.253289
XLK,86457,QMLE-Trade,1999-5-4,0.218179
XLK,86457,QMLE-Trade,1999-5-5,0.394777
XLK,86457,QMLE-Trade,1999-5-6,0.443018
XLK,86457,QMLE-Trade,1999-5-7,0.235313
XLK,86457,QMLE-Trade,1999-5-10,0.18529
XLK,86457,QMLE-Trade,1999-5-11,0.248577
XLK,86457,QMLE-Trade,1999-5-12,0.32797
XLK,86457,QMLE-Trade,1999-5-13,0.258677
XLK,86457,QMLE-Trade,1999-5-14,0.225284
XLK,86457,QMLE-Trade,1999-5-17,0.201534
XLK,86457,QMLE-Trade,1999-5-18,0.1712
XLK,86457,QMLE-Trade,1999-5-19,0.279061
XLK,86457,QMLE-Trade,1999-5-20,0.239721
XLK,86457,QMLE-Trade,1999-5-21,0.164974
