Symbol,PN,Type,Date,Volatility
XLU,86458,QMLE-Trade,1998-12-23,0.0382303
XLU,86458,QMLE-Trade,1999-1-4,0.247922
XLU,86458,QMLE-Trade,1999-1-5,0.0439163
XLU,86458,QMLE-Trade,1999-1-6,0.0632722
XLU,86458,QMLE-Trade,1999-1-7,0.39949
XLU,86458,QMLE-Trade,1999-1-8,0.0916594
XLU,86458,QMLE-Trade,1999-1-11,0.248015
XLU,86458,QMLE-Trade,1999-1-12,0.147144
XLU,86458,QMLE-Trade,1999-1-13,0.18446
XLU,86458,QMLE-Trade,1999-1-14,0.0344339
XLU,86458,QMLE-Trade,1999-1-15,0.122658
XLU,86458,QMLE-Trade,1999-1-19,0.0966734
XLU,86458,QMLE-Trade,1999-1-20,0.139961
XLU,86458,QMLE-Trade,1999-1-22,0.218057
XLU,86458,QMLE-Trade,1999-1-25,0.282734
XLU,86458,QMLE-Trade,1999-1-26,0.282696
XLU,86458,QMLE-Trade,1999-1-27,0.135834
XLU,86458,QMLE-Trade,1999-1-28,0.199636
XLU,86458,QMLE-Trade,1999-1-29,0.203116
XLU,86458,QMLE-Trade,1999-2-1,0.0993908
XLU,86458,QMLE-Trade,1999-2-2,0.316869
XLU,86458,QMLE-Trade,1999-2-4,0.142015
XLU,86458,QMLE-Trade,1999-2-8,0.0125222
XLU,86458,QMLE-Trade,1999-2-9,0.0991376
XLU,86458,QMLE-Trade,1999-2-10,0.11559
XLU,86458,QMLE-Trade,1999-2-17,0.244959
XLU,86458,QMLE-Trade,1999-2-18,0.267705
XLU,86458,QMLE-Trade,1999-2-19,0.150463
XLU,86458,QMLE-Trade,1999-2-23,0.185434
XLU,86458,QMLE-Trade,1999-2-24,0.255731
XLU,86458,QMLE-Trade,1999-2-25,0.61427
XLU,86458,QMLE-Trade,1999-2-26,0.2957
XLU,86458,QMLE-Trade,1999-3-5,0.231095
XLU,86458,QMLE-Trade,1999-3-8,0.030839
XLU,86458,QMLE-Trade,1999-3-9,0.0218907
XLU,86458,QMLE-Trade,1999-3-10,0.0106588
XLU,86458,QMLE-Trade,1999-3-11,0.14391
