Symbol,PN,Type,Date,Volatility
XLV,86451,QMLE-Trade,1999-1-4,0.175229
XLV,86451,QMLE-Trade,1999-1-6,0.0768957
XLV,86451,QMLE-Trade,1999-1-7,0.0443071
XLV,86451,QMLE-Trade,1999-1-8,0.0126615
XLV,86451,QMLE-Trade,1999-1-11,0.236939
XLV,86451,QMLE-Trade,1999-1-12,0.168955
XLV,86451,QMLE-Trade,1999-1-13,0.331992
XLV,86451,QMLE-Trade,1999-1-14,0.147115
XLV,86451,QMLE-Trade,1999-1-19,0.293702
XLV,86451,QMLE-Trade,1999-1-20,0.21596
XLV,86451,QMLE-Trade,1999-1-21,0.41365
XLV,86451,QMLE-Trade,1999-1-22,0.0530477
XLV,86451,QMLE-Trade,1999-1-25,0.069921
XLV,86451,QMLE-Trade,1999-1-26,0.0877832
XLV,86451,QMLE-Trade,1999-1-27,0.0486007
XLV,86451,QMLE-Trade,1999-1-28,0.152196
XLV,86451,QMLE-Trade,1999-1-29,0.0246916
XLV,86451,QMLE-Trade,1999-2-1,0.0928269
XLV,86451,QMLE-Trade,1999-2-2,0.296261
XLV,86451,QMLE-Trade,1999-2-3,0.165313
XLV,86451,QMLE-Trade,1999-2-4,0.0472874
XLV,86451,QMLE-Trade,1999-2-5,0.140662
XLV,86451,QMLE-Trade,1999-2-9,0.489683
XLV,86451,QMLE-Trade,1999-2-10,0.130585
XLV,86451,QMLE-Trade,1999-2-11,0.207864
XLV,86451,QMLE-Trade,1999-2-16,0.0956492
XLV,86451,QMLE-Trade,1999-2-17,0.239755
XLV,86451,QMLE-Trade,1999-2-18,0.159997
XLV,86451,QMLE-Trade,1999-2-19,0.0204163
XLV,86451,QMLE-Trade,1999-2-22,0.153951
XLV,86451,QMLE-Trade,1999-2-24,0.272424
XLV,86451,QMLE-Trade,1999-2-25,0.0280143
XLV,86451,QMLE-Trade,1999-2-26,0.113328
XLV,86451,QMLE-Trade,1999-3-1,0.00843396
XLV,86451,QMLE-Trade,1999-3-2,0.153239
XLV,86451,QMLE-Trade,1999-3-3,0.146419
XLV,86451,QMLE-Trade,1999-3-4,0.00592993
XLV,86451,QMLE-Trade,1999-3-5,0.152207
XLV,86451,QMLE-Trade,1999-3-8,0.0117846
XLV,86451,QMLE-Trade,1999-3-9,0.164773
XLV,86451,QMLE-Trade,1999-3-10,0.111634
XLV,86451,QMLE-Trade,1999-3-11,0.282644
XLV,86451,QMLE-Trade,1999-3-12,0.097152
XLV,86451,QMLE-Trade,1999-3-15,0.0320989
XLV,86451,QMLE-Trade,1999-3-16,0.0229004
XLV,86451,QMLE-Trade,1999-3-18,0.108436
XLV,86451,QMLE-Trade,1999-3-19,0.0138973
XLV,86451,QMLE-Trade,1999-3-22,0.0529631
XLV,86451,QMLE-Trade,1999-3-23,0.201272
XLV,86451,QMLE-Trade,1999-3-24,0.176174
XLV,86451,QMLE-Trade,1999-3-25,0.0410026
XLV,86451,QMLE-Trade,1999-3-29,0.0921067
XLV,86451,QMLE-Trade,1999-3-30,0.0075128
XLV,86451,QMLE-Trade,1999-4-1,0.150414
XLV,86451,QMLE-Trade,1999-4-8,0.120904
XLV,86451,QMLE-Trade,1999-4-9,0.00523903
