Symbol,PN,Type,Date,Volatility
XLY,86453,QMLE-Trade,1999-1-6,0.136098
XLY,86453,QMLE-Trade,1999-1-7,0.143789
XLY,86453,QMLE-Trade,1999-1-8,0.0669667
XLY,86453,QMLE-Trade,1999-1-11,0.199574
XLY,86453,QMLE-Trade,1999-2-1,0.051447
XLY,86453,QMLE-Trade,1999-2-8,0.340954
XLY,86453,QMLE-Trade,1999-2-10,0.00382816
XLY,86453,QMLE-Trade,1999-2-11,0.311788
XLY,86453,QMLE-Trade,1999-2-24,0.330479
XLY,86453,QMLE-Trade,1999-3-2,0.193403
XLY,86453,QMLE-Trade,1999-3-5,0.0107265
XLY,86453,QMLE-Trade,1999-3-9,0.102385
XLY,86453,QMLE-Trade,1999-3-10,0.0148001
XLY,86453,QMLE-Trade,1999-3-11,0.0446013
XLY,86453,QMLE-Trade,1999-3-12,0.100576
XLY,86453,QMLE-Trade,1999-3-15,0.199576
XLY,86453,QMLE-Trade,1999-3-23,0.184675
XLY,86453,QMLE-Trade,1999-3-24,0.119307
XLY,86453,QMLE-Trade,1999-3-31,0.062271
XLY,86453,QMLE-Trade,1999-4-5,0.0554714
XLY,86453,QMLE-Trade,1999-4-6,0.0112858
XLY,86453,QMLE-Trade,1999-4-9,0.0878989
XLY,86453,QMLE-Trade,1999-4-12,0.458163
XLY,86453,QMLE-Trade,1999-4-14,0.250389
XLY,86453,QMLE-Trade,1999-4-15,0.391748
XLY,86453,QMLE-Trade,1999-4-16,0.000321092
XLY,86453,QMLE-Trade,1999-4-19,0.715233
XLY,86453,QMLE-Trade,1999-4-20,0.1723
XLY,86453,QMLE-Trade,1999-4-21,0.279321
XLY,86453,QMLE-Trade,1999-4-22,0.012605
XLY,86453,QMLE-Trade,1999-4-26,0.0787479
XLY,86453,QMLE-Trade,1999-4-29,0.0972123
XLY,86453,QMLE-Trade,1999-4-30,0.935355
XLY,86453,QMLE-Trade,1999-5-3,0.21567
XLY,86453,QMLE-Trade,1999-5-4,0.278186
XLY,86453,QMLE-Trade,1999-5-5,0.0736678
XLY,86453,QMLE-Trade,1999-5-7,0.0418011
XLY,86453,QMLE-Trade,1999-5-11,0.135722
XLY,86453,QMLE-Trade,1999-5-12,0.0339293
XLY,86453,QMLE-Trade,1999-5-13,0.133242
XLY,86453,QMLE-Trade,1999-5-17,0.0782768
XLY,86453,QMLE-Trade,1999-5-20,0.0286929
XLY,86453,QMLE-Trade,1999-5-25,0.183443
XLY,86453,QMLE-Trade,1999-6-18,0.0978008
XLY,86453,QMLE-Trade,1999-7-15,0.0174586
XLY,86453,QMLE-Trade,1999-7-20,0.246653
XLY,86453,QMLE-Trade,1999-7-26,0.157154
XLY,86453,QMLE-Trade,1999-8-5,0.0351541
XLY,86453,QMLE-Trade,1999-8-24,0.0193122
XLY,86453,QMLE-Trade,1999-9-10,0.0581541
XLY,86453,QMLE-Trade,1999-9-24,0.0130766
XLY,86453,QMLE-Trade,1999-9-30,0.196164
XLY,86453,QMLE-Trade,1999-10-6,0.136021
XLY,86453,QMLE-Trade,1999-11-5,0.0822378
XLY,86453,QMLE-Trade,1999-11-17,0.127225
XLY,86453,QMLE-Trade,1999-11-29,0.124963
XLY,86453,QMLE-Trade,1999-11-30,0.222656
XLY,86453,QMLE-Trade,1999-12-17,0.00190316
XLY,86453,QMLE-Trade,1999-12-20,0.229117
