PERMNO,Date,RET,RETX
84398,2/01/1996,0.010673,0.010673
84398,3/01/1996,0.002766,0.002766
84398,4/01/1996,-0.009529,-0.009529
84398,5/01/1996,-0.002025,-0.002025
84398,8/01/1996,0.003805,0.003805
84398,9/01/1996,-0.017185,-0.017185
84398,10/01/1996,-0.013114,-0.013114
84398,11/01/1996,0.005993,0.005993
84398,12/01/1996,-0.001554,-0.001554
84398,15/01/1996,-0.002075,-0.002075
84398,16/01/1996,0.012217,0.012217
84398,17/01/1996,-0.003082,-0.003082
84398,18/01/1996,0.003349,0.003349
84398,19/01/1996,0.006675,0.006675
84398,22/01/1996,0.000255,0.000255
84398,23/01/1996,0.002295,0.002295
84398,24/01/1996,0.00814,0.00814
84398,25/01/1996,-0.003533,-0.003533
84398,26/01/1996,0.00861,0.00861
84398,29/01/1996,0.004017,0.004017
84398,30/01/1996,0.008502,0.008502
84398,31/01/1996,0.010414,0.010414
84398,1/02/1996,0.003681,0.003681
84398,2/02/1996,-0.004156,-0.004156
84398,5/02/1996,0.008102,0.008102
84398,6/02/1996,0.009498,0.009498
84398,7/02/1996,0.00579,0.00579
84398,8/02/1996,0.010794,0.010794
84398,9/02/1996,-0.000237,-0.000237
84398,12/02/1996,0.007596,0.007596
84398,13/02/1996,-0.00212,-0.00212
84398,14/02/1996,-0.008735,-0.008735
84398,15/02/1996,-0.006192,-0.006192
84398,16/02/1996,-0.004074,-0.004074
84398,20/02/1996,-0.009865,-0.009865
84398,21/02/1996,0.012394,0.012394
84398,22/02/1996,0.015843,0.015843
84398,23/02/1996,-0.002836,-0.002836
84398,26/02/1996,-0.014218,-0.014218
84398,27/02/1996,-0.003125,-0.003125
84398,28/02/1996,-0.004582,-0.004582
84398,29/02/1996,-0.00969,-0.00969
84398,1/03/1996,0.0159,0.0159
84398,4/03/1996,0.005779,0.005779
84398,5/03/1996,0.009337,0.009337
84398,6/03/1996,-0.008776,-0.008776
84398,7/03/1996,0.005025,0.005025
84398,8/03/1996,-0.032381,-0.032381
84398,11/03/1996,0.011565,0.011565
84398,12/03/1996,-0.007784,-0.007784
84398,13/03/1996,0.006864,0.006864
84398,14/03/1996,0.004383,0.004383
84398,15/03/1996,-0.000662,-0.005091
84398,18/03/1996,0.01925,0.01925
84398,19/03/1996,-0.002152,-0.002152
84398,20/03/1996,-0.001198,-0.001198
84398,21/03/1996,-0.002399,-0.002399
84398,22/03/1996,0.002645,0.002645
84398,25/03/1996,-0.001918,-0.001918
84398,26/03/1996,0.004805,0.004805
84398,27/03/1996,-0.009087,-0.009087
84398,28/03/1996,0.003861,0.003861
84398,29/03/1996,-0.004808,-0.004808
84398,1/04/1996,0.011594,0.011594
84398,2/04/1996,0.00191,0.00191
84398,3/04/1996,0,0
84398,4/04/1996,-0.000715,-0.000715
84398,8/04/1996,-0.017171,-0.017171
84398,9/04/1996,-0.003883,-0.003883
84398,10/04/1996,-0.017783,-0.017783
84398,11/04/1996,-0.00124,-0.00124
84398,12/04/1996,0.012665,0.012665
84398,15/04/1996,0.008337,0.008337
84398,16/04/1996,0.002918,0.002918
84398,17/04/1996,-0.002425,-0.002425
84398,18/04/1996,0.001458,0.001458
84398,19/04/1996,0.002427,0.002427
84398,22/04/1996,0.007748,0.007748
84398,23/04/1996,0.003123,0.003123
84398,24/04/1996,-0.003593,-0.003593
84398,25/04/1996,0.004567,0.004567
84398,26/04/1996,0.002154,0.002154
84398,29/04/1996,0,0
84398,30/04/1996,-0.000716,-0.000716
84398,1/05/1996,0.002151,0.002151
84398,2/05/1996,-0.017167,-0.017167
84398,3/05/1996,-0.001456,-0.001456
84398,6/05/1996,-0.000972,-0.000972
84398,7/05/1996,-0.004134,-0.004134
84398,8/05/1996,0.012454,0.012454
84398,9/05/1996,-0.000724,-0.000724
84398,10/05/1996,0.009896,0.009896
84398,13/05/1996,0.015057,0.015057
84398,14/05/1996,0.006122,0.006122
84398,15/05/1996,-0.00117,-0.00117
84398,16/05/1996,0.002109,0.002109
84398,17/05/1996,0.005378,0.005378
84398,20/05/1996,0.006744,0.006744
84398,21/05/1996,-0.001386,-0.001386
84398,22/05/1996,0.009484,0.009484
84398,23/05/1996,-0.004125,-0.004125
84398,24/05/1996,0.003912,0.003912
84398,28/05/1996,-0.010085,-0.010085
84398,29/05/1996,-0.006715,-0.006715
84398,30/05/1996,0.005128,0.005128
84398,31/05/1996,-0.007421,-0.007421
84398,3/06/1996,0.002804,0.002804
84398,4/06/1996,0.00699,0.00699
84398,5/06/1996,0.008792,0.008792
84398,6/06/1996,-0.007339,-0.007339
84398,7/06/1996,0,0
84398,10/06/1996,-0.003235,-0.003235
84398,11/06/1996,-0.000927,-0.000927
84398,12/06/1996,-0.001856,-0.001856
84398,13/06/1996,0,0
84398,14/06/1996,-0.004184,-0.004184
84398,17/06/1996,-0.0007,-0.0007
84398,18/06/1996,-0.008176,-0.008176
84398,19/06/1996,0.004475,0.004475
84398,20/06/1996,-0.000703,-0.000703
84398,21/06/1996,0.008555,0.003285
84398,24/06/1996,0.001871,0.001871
84398,25/06/1996,-0.001167,-0.001167
